timestamp,dr4bt9,dr7342,dr4fv5,dr4dqj,dqfy2g,dqfxdx,dr70n3,dr49fp,dr5rdq,dr4wz2,dr4vhj,dr5n4c,dr5m0w,dr6brw,dr54y1,dr71mq,dr43jh,dr4yvb,dr6fh2,dr5pm1,dr68mj
2018-01-01 00:00:00,134.509,129.512,182.006,133.507,89.484,34.708,217.823,57.69,223.308,18.903,98.839,145.604,136.463,96.175,265.817,70.254,23.683,67.578,66.749,88.293,37.656
2018-01-01 01:00:00,195.598,189.909,271.036,188.192,129.97,47.833,318.548,79.807,324.334,25.666,140.659,216.14,199.984,137.647,376.355,100.704,34.622,91.925,91.177,128.998,51.284
2018-01-01 02:00:00,189.458,209.014,284.799,195.356,136.655,48.327,326.892,82.361,333.142,26.092,145.389,224.243,205.814,145.334,383.695,101.748,35.819,91.511,91.786,133.029,57.164
2018-01-01 03:00:00,190.013,228.79,308.165,200.528,139.912,50.552,339.727,84.168,345.849,26.661,150.257,237.528,212.721,153.851,392.731,105.149,37.59,96.392,95.879,137.474,57.531
2018-01-01 04:00:00,196.215,237.841,326.587,207.818,141.966,53.19,349.384,86.086,370.466,27.49,158.301,254.218,221.963,155.745,411.071,112.082,40.246,105.033,99.576,145.689,56.986
2018-01-01 05:00:00,210.236,247.564,330.923,214.305,149.748,55.962,353.824,90.916,388.62,29.927,161.69,275.758,230.697,158.912,419.637,120.467,42.041,108.1,100.99,150.924,57.734
2018-01-01 06:00:00,237.082,249.611,352.963,223.702,150.718,64.629,365.222,96.955,393.972,30.058,168.771,281.947,248.831,159.97,423.762,130.619,44.163,109.782,103.559,155.143,59.594
2018-01-01 07:00:00,262.114,255.372,350.633,228.813,146.577,68.187,365.48,99.805,388.117,31.3,170.406,271.901,251.999,164.736,429.887,131.066,44.183,111.214,103.162,157.736,58.113
2018-01-01 08:00:00,260.256,251.764,339.528,217.037,145.839,66.777,360.211,93.6,379.397,29.801,161.294,264.947,243.209,156.209,418.429,128.165,42.111,113.876,101.042,152.706,57.053
2018-01-01 09:00:00,240.231,224.662,311.902,195.413,135.744,62.406,332.729,82.896,356.427,26.69,147.732,244.813,232.967,138.842,397.723,119.821,39.532,105.519,94.868,141.718,55.011
2018-01-01 10:00:00,225.003,206.744,282.88,174.626,120.492,58.641,285.153,76.703,315.685,26.01,139.311,211.892,216.586,129.664,374.473,102.327,35.417,102.337,84.926,123.28,53.632
2018-01-01 11:00:00,216.276,195.86,257.123,162.713,112.617,53.303,253.32,71.911,302.005,24.572,132.418,197.627,204.199,122.718,361.366,91.038,32.718,100.421,79.347,115.465,49.76
2018-01-01 12:00:00,198.247,186.738,226.646,155.799,109.08,47.426,232.487,69.549,279.566,22.32,119.957,188.841,193.208,119.502,346.963,82.744,29.772,91.741,72.715,107.624,46.481
2018-01-01 13:00:00,178.443,166.851,222.078,144.435,104.756,43.814,220.193,67.131,250.935,21.747,116.305,173.175,176.949,110.31,322.88,75.238,27.561,89.462,68.567,96.815,45.032
2018-01-01 14:00:00,171.024,158.279,209.971,134.928,94.651,38.646,213.588,62.39,243.241,19.628,108.628,164.717,160.221,104.244,296.543,71.09,26.646,84.677,64.412,92.378,43.47
2018-01-01 15:00:00,170.09,157.212,204.629,141.468,95.228,38.93,218.19,65.752,245.689,18.247,102.148,174.161,152.948,102.794,277.352,72.707,26.783,80.567,60.937,92.083,41.972
2018-01-01 16:00:00,168.863,155.919,217.887,147.29,99.039,43.514,218.529,66.656,250.182,19.391,108.905,176.762,155.074,101.627,287.894,70.685,26.878,85.841,61.415,96.056,42.992
