timestamp,dr4bt9,dr7342,dr4fv5,dr4dqj,dqfy2g,dqfxdx,dr70n3,dr49fp,dr5rdq,dr4wz2,dr4vhj,dr5n4c,dr5m0w,dr6brw,dr54y1,dr71mq,dr43jh,dr4yvb,dr6fh2,dr5pm1,dr68mj
2018-01-01 00:00:00,246.72,403.139,322.973,296.715,130.16,74.888,457.794,143.573,398.916,55.57,238.038,399.325,344.262,279.204,456.809,192.99,42.641,177.04,112.093,264.244,68.955
2018-01-01 01:00:00,343.216,554.648,458.237,407.577,184.197,103.511,638.471,194.407,557.582,73.496,327.929,554.297,476.23,381.379,629.758,265.049,60.383,241.018,151.205,365.577,94.163
2018-01-01 02:00:00,324.622,568.678,468.631,403.892,189.033,100.73,642.261,196.281,559.214,72.097,330.494,557.515,476.249,385.164,634.663,263.41,61.385,235.022,146.031,364.305,96.938
2018-01-01 03:00:00,317.616,589.959,494.387,405.958,193.112,102.566,654.728,197.867,575.879,72.798,334.69,569.916,482.529,392.034,643.026,266.281,62.874,238.864,149.451,369.48,97.163
2018-01-01 04:00:00,324.275,609.876,520.663,417.88,196.706,108.237,673.297,204.518,610.259,75.288,350.202,603.29,499.765,401.782,669.107,278.847,67.625,252.859,154.588,385.179,98.444
2018-01-01 05:00:00,353.54,655.195,540.268,444.293,209.137,120.185,708.252,219.095,654.008,82.842,372.33,660.519,534.987,429.229,702.614,303.654,72.101,268.403,162.135,416.473,102.866
2018-01-01 06:00:00,407.068,725.223,605.433,493.119,216.124,139.032,782.752,248.057,706.391,92.329,415.972,732.827,605.501,473.11,766.338,353.933,79.747,297.702,178.941,472.943,114.69
2018-01-01 07:00:00,463.967,792.226,640.184,532.595,221.549,149.857,843.77,270.938,745.487,105.617,447.557,781.704,650.41,521.746,829.369,383.866,82.965,325.745,190.992,518.212,120.239
2018-01-01 08:00:00,488.016,823.784,645.278,547.693,225.901,155.024,870.934,275.747,757.919,106.684,452.007,814.707,663.28,540.664,840.034,400.429,83.214,342.366,194.929,533.596,123.462
2018-01-01 09:00:00,477.162,826.508,628.728,541.879,218.692,159.105,872.413,277.055,764.06,109.694,446.162,833.565,677.232,545.66,842.274,404.482,81.064,342.202,192.339,544.963,122.969
2018-01-01 10:00:00,466.392,817.782,607.555,528.985,203.659,157.174,833.079,270.441,729.215,110.575,446.976,806.842,671.066,554.425,827.806,386.199,78.513,341.859,185.659,535.862,122.772
2018-01-01 11:00:00,457.779,809.242,581.147,522.84,192.925,151.095,805.626,266.512,716.515,110.173,440.458,800.063,661.646,539.239,816.779,377.721,77.542,342.281,183.635,536.378,121.892
2018-01-01 12:00:00,431.096,794.92,551.945,511.342,189.924,142.407,777.358,261.894,694.164,107.689,425.989,786.329,647.867,537.62,791.9,374.483,73.69,329.01,170.794,521.733,116.203
