timestamp,9whpkt,9w4bv7,9tvty9,9w5nww,9wt86c,9wns8m,9wjg3n,9tu00c,9tvbdk,9tffjw,9wjqre,9wq5uz,9tdtmq,9ty6wf,9tvpbq,9wkkhc,9terh5,9w742t,9wmksq,9tuc99,9wnrex,9wkpsn,9wn3t1,9w7gpb,9w6zxn,9wm3z4,9wkdh9,9tgu2v,9w5cqe,9wsbh4,9whsw6,9wqrt6,9whj98
2018-01-01 00:00:00,93.761,1.986,10.709,3.27,22.895,31.886,0.789,19.59,15.62,4.804,4.613,2.164,1.416,10.626,12.474,5.872,2.76,9.523,0.06,19.231,9.785,3.166,10.614,15.79,17.764,7.472,27.859,2.308,2.653,6.265,3.273,10.246,9.639
2018-01-01 01:00:00,132.503,2.728,16.763,4.976,31.412,45.759,1.574,28.689,23.07,8.011,6.354,3.013,2.152,38.799,17.49,6.678,4.998,13.201,0.094,26.694,14.261,4.794,16.159,22.136,23.855,10.751,39.621,3.617,4.034,8.821,4.606,14.283,13.187
2018-01-01 02:00:00,93.385,1.447,35.984,3.318,22.851,47.705,1.911,35.924,49.872,5.313,5.318,2.921,1.446,48.045,15.581,4.738,3.298,10.756,0.068,31.702,13.735,3.879,16.314,13.604,15.637,8.881,27.926,2.535,1.991,6.707,2.825,9.919,8.976
2018-01-01 03:00:00,100.294,0.647,41.207,3.299,20.167,47.705,1.948,40.325,54.444,4.076,5.463,3.026,1.259,51.281,21.727,6.225,2.69,11.31,0.07,35.379,13.562,4.664,13.302,14.054,15.604,8.595,32.565,2.183,1.85,6.066,2.169,6.254,9.161
2018-01-01 04:00:00,123.263,0.811,42.312,3.813,22.337,50.9,2.143,49.404,56.95,5.123,5.52,2.988,1.785,52.604,24.874,7.616,3.412,11.472,0.076,42.468,13.112,4.712,14.126,17.389,17.47,8.617,34.63,2.652,2.698,6.443,2.265,7.107,10.946
2018-01-01 05:00:00,136.504,1.319,41.501,4.325,25.788,52.959,2.593,53.165,60.564,6.236,6.456,2.988,3.389,53.978,27.638,8.715,3.968,13.422,0.084,46.656,14.904,4.79,17.817,23.497,19.808,7.928,35.481,2.615,4.177,7.05,2.744,8.636,12.674
2018-01-01 06:00:00,152.742,2.261,45.593,4.799,30.208,54.491,2.742,54.314,68.258,7.164,6.728,2.945,4.407,55.17,30.255,8.936,4.686,16.402,0.081,50.767,16.486,4.924,23.064,27.934,22.111,7.99,35.807,3.832,6.538,7.515,2.726,9.499,15.34
2018-01-01 07:00:00,167.664,2.5,48.939,5.445,30.797,59.74,3.279,58.815,70.429,9.003,6.031,3.602,3.897,66.366,32.2,8.849,7.119,18.156,0.09,55.368,17.682,5.107,22.022,24.602,25.158,8.178,37.772,3.817,9.095,7.375,3.215,10.178,16.962
2018-01-01 08:00:00,194.958,2.68,51.558,6.84,32.358,63.093,4.659,68.278,70.244,8.322,6.933,3.761,3.715,75.814,37.583,10.003,8.745,19.745,0.099,63.445,21.191,5.956,19.53,26.701,26.927,8.789,45.5,4.558,9.96,7.51,3.036,10.81,16.566
2018-01-01 09:00:00,201.229,3.097,52.688,7.418,33.906,62.177,4.247,78.313,73.925,7.686,7.519,3.717,3.449,75.523,37.83,10.723,8.355,18.682,0.085,64.06,22.49,5.9,20.809,27.711,27.88,8.94,46.37,7.534,7.557,8.356,2.878,11.635,16.227
2018-01-01 10:00:00,194.443,2.887,52.937,6.467,32.097,57.174,3.712,71.779,77.661,6.735,7.058,3.518,2.758,70.98,36.208,11.729,6.88,17.011,0.072,57.378,21.008,4.23,22.162,26.509,25.573,8.45,40.227,6.688,6.305,7.829,2.386,11.615,16.277
2018-01-01 11:00:00,158.844,2.556,51.83,4.31,24.504,49.193,3.068,55.537,75.943,5.031,6.326,3.288,2.664,66.215,29.303,9.06,4.958,13.249,0.07,38.751,18.96,3.217,19.418,22.564,22.062,8.069,29.609,4.718,5.415,5.057,1.514,10.215,14.149
2018-01-01 12:00:00,117.432,2.97,52.742,2.844,16.849,41.628,2.201,40.317,78.471,3.748,6.08,3.001,2.484,58.228,19.688,4.886,3.279,8.804,0.063,25.668,16.481,2.494,25.458,16.863,18.389,8.466,19.865,2.378,3.878,3.702,2.075,12.736,11.217
2018-01-01 13:00:00,82.406,2.371,49.922,2.224,9.836,33.169,1.51,28.189,76.393,2.529,4.901,2.622,1.529,47.325,11.849,2.527,2.079,5.728,0.056,16.312,15.466,1.954,23.939,12.531,13.59,7.377,14.12,1.013,2.905,2.758,1.553,11.695,8.727
2018-01-01 14:00:00,61.331,0.93,44.818,1.536,5.905,29.957,1.002,19.399,74.826,1.059,3.786,2.553,0.872,36.813,6.585,1.47,0.897,2.922,0.05,10.871,12.423,1.416,16.942,8.545,8.506,7.46,11.991,0.848,2.351,2.237,0.974,9.381,5.947
2018-01-01 15:00:00,38.906,0.318,39.3,0.95,4.469,24.351,0.803,14.463,69.784,0.435,3.01,2.405,0.742,29.756,3.439,1.014,0.357,1.347,0.038,6.642,8.894,1.224,16.035,7.829,5.227,6.448,9.321,0.42,1.657,1.856,0.756,7.793,3.552
2018-01-01 16:00:00,25.824,0.184,30.805,0.779,5.389,20.663,0.717,12.134,66.507,0.671,2.106,2.009,0.568,25.803,1.712,0.707,0.101,0.804,0.028,4.704,7.367,0.939,15.466,5.554,3.351,4.82,7.599,0.026,0.943,1.764,0.55,7.023,2.085
2018-01-01 17:00:00,18.1,0.077,27.454,0.311,6.071,17.869,0.75,9.478,65.372,0.616,2.014,1.981,0.571,26.695,1.938,0.253,0.075,0.403,0.032,4.79,6.581,0.843,12.3,3.294,2.2,4.443,6.323,0.009,2.161,1.981,0.4,7.656,0.814
2018-01-01 18:00:00,15.716,0.011,27.003,0.713,6.394,22.244,0.957,10.178,63.324,0.44,2.355,2.1,0.454,30.42,1.949,0.408,0.053,0.139,0.04,5.549,6.944,1.459,11.404,2.103,1.994,5.077,5.949,0.011,2.44,1.863,0.387,8.465,0.574
2018-01-01 19:00:00,22.832,0.011,31.012,0.895,8.447,28.619,1.442,13.171,66.267,0.546,2.948,2.271,0.447,37.727,3.212,0.746,0.291,0.228,0.041,9.328,9.265,1.598,13.388,3.015,2.793,6.054,6.664,0.015,1.875,3.25,0.452,8.969,1.152
2018-01-01 20:00:00,34.76,0.015,34.716,1.195,9.902,34.674,1.857,17.482,64.357,0.719,3.447,2.076,0.388,45.096,6.219,1.871,0.617,0.853,0.042,13.348,11.211,1.887,14.133,4.24,4.262,6.595,8.82,0.205,2.087,3.689,0.39,9.192,2.266
2018-01-01 21:00:00,52.352,0.019,41.819,1.702,11.119,39.94,2.296,26.06,66.971,1.08,4.311,2.028,0.473,48.138,9.555,3.37,1.101,1.429,0.056,17.681,11.046,2.337,14.491,5.729,5.45,7.336,12.792,0.332,2.164,4.129,0.958,10.308,3.595
2018-01-01 22:00:00,51.409,0.268,50.159,1.676,13.077,43.569,2.394,33.857,72.065,2.472,4.855,2.033,0.814,49.273,11.394,3.709,0.909,2.368,0.057,22.417,12.497,2.206,15.803,5.365,6.983,7.805,12.923,0.804,1.351,4.667,1.396,10.801,3.96
2018-01-01 23:00:00,49.466,0.52,50.364,1.288,13.725,44.69,1.207,32.987,73.267,3.23,4.694,2.525,1.017,50.919,11.668,3.637,0.911,4.721,0.055,25.685,13.472,2.027,16.286,6.129,9.81,8.144,14.029,1.287,1.055,4.706,1.734,11.136,4.838
2018-01-02 00:00:00,60.209,0.717,51.439,1.897,16.983,48.659,1.327,37.258,73.154,4.066,5.198,2.687,1.174,56.287,12.36,4.104,1.502,7.017,0.059,29.369,14.16,2.252,18.31,8.648,11.113,8.403,16.811,1.928,1.439,4.981,2.052,11.938,6.601
2018-01-02 01:00:00,72.399,0.969,51.331,2.474,21.483,54.483,1.717,43.166,73.79,4.786,5.229,2.924,1.393,58.611,12.363,3.411,2.546,9.548,0.061,32.052,15.825,2.571,20.928,11.039,12.312,8.505,18.764,2.466,1.667,6.108,2.449,12.865,7.656
2018-01-02 02:00:00,77.585,1.455,52.548,2.759,22.744,56.827,2.084,45.066,77.593,6.034,4.38,3.01,1.618,60.246,13.327,3.393,3.308,11.218,0.06,37.168,17.332,2.642,22.778,12.419,13.666,8.139,20.447,3.019,1.939,6.948,2.58,11.865,8.644
2018-01-02 03:00:00,81.195,1.163,53.826,2.889,24.859,56.592,2.745,48.756,77.436,6.61,3.261,3.093,1.866,63.16,14.218,3.898,4.121,12.701,0.052,41.953,17.209,2.803,17.38,13.326,14.521,6.422,22.605,3.596,2.146,7.468,1.894,8.47,9.157
2018-01-02 04:00:00,97.816,1.288,57.264,3.347,27.63,58.97,3.088,61.88,82.982,7.554,2.633,3.075,2.5,66.321,14.627,4.467,4.799,13.067,0.049,49.255,16.549,3.082,18.593,15.541,14.75,5.749,24.404,3.939,2.673,7.857,1.73,8.864,10.252
2018-01-02 05:00:00,107.885,1.659,60.043,3.561,31.576,61.409,3.337,67.59,88.214,9.024,3.473,3.192,4.733,67.582,14.945,5.44,5.408,14.505,0.054,52.959,17.299,3.334,22.195,20.973,15.896,5.139,25.982,3.843,3.946,8.287,1.868,10.186,11.444
