timestamp,9whpkt,9w4bv7,9tvty9,9w5nww,9wt86c,9wns8m,9wjg3n,9tu00c,9tvbdk,9tffjw,9wjqre,9wq5uz,9tdtmq,9ty6wf,9tvpbq,9wkkhc,9terh5,9w742t,9wmksq,9tuc99,9wnrex,9wkpsn,9wn3t1,9w7gpb,9w6zxn,9wm3z4,9wkdh9,9tgu2v,9w5cqe,9wsbh4,9whsw6,9wqrt6,9whj98
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,10.5,3.0,6.0,10.5,8.0,22.5,18.0,21.0,8.5,14.0,7.0,15.5,14.0,23.0,15.5,8.5,14.0,3.0,7.0,16.5,18.0,8.5,18.0,10.5,4.0,7.0,8.5,14.0,10.5,8.0,12.5,15.5,10.5
2018-01-01 08:00:00,133.0,102.0,39.0,133.0,103.5,130.0,107.0,173.5,43.0,150.0,62.5,120.0,150.0,55.0,144.0,131.5,150.0,99.0,62.5,162.0,107.0,131.5,107.0,133.0,102.5,62.5,131.5,150.0,133.0,103.5,155.5,120.0,133.0
2018-01-01 09:00:00,327.0,285.5,118.5,327.0,257.0,284.0,260.5,354.0,90.0,339.5,149.0,253.0,339.5,103.0,367.0,325.5,339.5,274.0,149.0,334.5,260.5,325.5,260.5,327.0,240.0,149.0,325.5,339.5,327.0,257.0,343.0,253.0,327.0
