timestamp,9whpkt,9w4bv7,9tvty9,9w5nww,9wt86c,9wns8m,9wjg3n,9tu00c,9tvbdk,9tffjw,9wjqre,9wq5uz,9tdtmq,9ty6wf,9tvpbq,9wkkhc,9terh5,9w742t,9wmksq,9tuc99,9wnrex,9wkpsn,9wn3t1,9w7gpb,9w6zxn,9wm3z4,9wkdh9,9tgu2v,9w5cqe,9wsbh4,9whsw6,9wqrt6,9whj98
2018-01-01 00:00:00,407.288,4.018,29.767,12.662,30.548,49.341,1.568,90.723,35.51,16.312,7.019,2.62,3.2,24.762,25.025,11.586,9.33,32.025,1.698,40.181,13.826,16.823,15.894,62.972,61.119,20.701,95.716,5.843,7.475,21.269,8.946,12.527,36.142
2018-01-01 01:00:00,496.2,5.132,40.085,16.312,40.658,65.284,2.615,109.638,43.95,19.57,9.16,3.592,4.484,58.076,32.876,13.225,12.684,38.358,2.09,52.124,19.44,18.745,22.486,72.246,70.821,23.88,119.648,7.975,9.41,27.143,10.735,16.97,42.446
2018-01-01 02:00:00,394.499,3.067,58.44,11.796,30.78,63.467,2.884,107.805,70.377,15.305,7.525,3.294,3.525,67.526,30.432,10.424,9.916,35.025,1.657,51.929,19.463,14.605,21.431,54.79,53.036,18.89,91.419,6.197,6.267,20.319,7.741,12.062,37.273
2018-01-01 03:00:00,393.155,2.164,63.784,11.425,27.813,62.487,2.929,110.776,74.054,12.875,7.642,3.574,2.992,70.115,34.32,11.885,8.454,33.703,1.572,55.228,18.648,15.044,17.67,55.849,50.478,17.962,92.317,5.524,6.069,18.092,6.916,7.815,36.497
2018-01-01 04:00:00,413.753,2.294,64.118,11.913,29.442,65.847,3.121,115.723,75.571,12.866,7.593,3.459,3.513,72.048,37.165,12.768,9.153,31.814,1.547,62.392,17.083,15.718,18.591,57.121,50.12,17.991,94.317,5.899,7.049,18.745,7.011,8.616,33.961
2018-01-01 05:00:00,431.392,3.04,63.19,12.127,32.058,68.58,3.586,118.364,79.506,14.499,8.486,3.635,5.179,73.736,40.3,14.496,9.802,34.705,1.617,67.396,18.858,14.988,22.323,64.104,53.906,17.497,96.468,5.697,8.301,18.273,7.961,10.189,36.338
2018-01-01 06:00:00,465.054,3.944,67.878,12.941,37.118,71.293,3.854,123.545,88.319,15.501,8.77,3.506,6.334,77.919,44.255,15.964,10.687,38.368,1.718,73.635,20.542,15.083,27.716,70.657,57.871,18.717,100.206,7.107,10.931,19.997,8.015,11.301,40.774
2018-01-01 07:00:00,515.5,4.692,72.858,15.822,38.201,80.887,4.535,137.901,95.21,18.582,8.438,4.109,6.225,94.753,48.714,15.621,14.093,42.507,2.149,81.23,22.071,16.535,27.666,74.374,65.883,20.222,108.426,8.918,14.372,22.758,9.569,12.403,47.333
2018-01-01 08:00:00,613.34,5.147,81.115,19.184,40.996,86.607,6.04,167.556,102.427,20.019,10.408,4.097,6.287,109.364,58.48,18.743,17.711,50.24,2.499,95.919,28.398,20.32,26.206,92.082,76.035,23.646,131.57,10.598,15.816,25.793,9.991,13.449,54.204
2018-01-01 09:00:00,671.183,5.683,85.031,21.523,43.096,87.063,5.819,191.741,107.819,20.953,10.94,4.355,7.325,112.236,60.844,19.923,18.341,54.7,3.02,98.934,30.407,22.365,30.036,98.48,89.254,25.929,147.472,13.425,14.64,27.223,10.286,14.43,58.164
2018-01-01 10:00:00,698.706,6.264,88.571,20.529,41.336,85.253,5.431,199.875,113.014,20.22,10.609,4.298,7.634,109.469,61.456,20.441,16.709,57.466,3.215,94.624,27.487,21.338,31.667,104.623,91.584,27.022,142.4,13.574,14.476,27.26,10.003,17.95,59.069
2018-01-01 11:00:00,704.09,5.425,90.53,19.851,33.897,80.803,4.659,185.619,114.372,19.308,9.702,3.963,6.116,103.979,55.841,18.153,16.01,52.958,3.243,75.408,25.39,21.637,29.551,100.877,86.651,27.449,132.834,11.838,13.266,24.56,9.277,13.624,56.683
2018-01-01 12:00:00,676.28,5.342,94.674,19.056,26.155,71.729,3.577,166.684,117.809,18.37,9.596,3.495,5.6,100.045,43.336,14.684,15.868,48.582,3.102,62.558,22.947,22.944,37.211,93.936,80.67,25.732,126.816,9.642,11.312,23.78,9.711,16.43,52.448
2018-01-01 13:00:00,621.283,4.437,89.742,16.71,19.783,62.332,2.861,152.757,115.881,17.41,8.715,3.11,4.592,86.869,36.094,11.932,12.951,45.386,3.087,53.062,21.322,20.253,32.903,88.318,74.889,23.339,116.924,7.013,11.154,21.976,9.502,14.845,47.665
2018-01-01 14:00:00,593.182,3.14,82.815,16.641,15.949,60.414,2.306,143.597,109.916,16.559,6.892,3.244,4.049,72.452,29.77,10.784,12.023,43.243,3.07,45.153,18.144,17.368,24.792,84.342,76.798,23.119,114.737,6.427,9.883,20.098,8.464,12.133,43.598
2018-01-01 15:00:00,545.344,2.605,73.703,16.653,13.429,51.747,2.054,132.025,104.585,16.038,8.856,2.824,3.58,59.949,25.039,9.594,12.437,39.936,2.661,41.441,13.749,15.743,24.31,78.827,61.551,20.253,105.436,4.827,9.562,20.975,8.681,10.114,40.178
2018-01-01 16:00:00,504.374,2.695,63.032,15.14,13.802,45.853,2.072,128.232,100.294,15.304,5.443,2.394,2.716,55.57,20.725,8.288,10.986,38.971,2.289,38.253,12.075,15.262,21.857,75.148,57.467,18.747,97.784,4.528,8.47,17.728,8.616,9.152,37.71
2018-01-01 17:00:00,487.959,2.171,59.919,14.112,14.83,40.705,2.161,123.928,101.583,14.79,5.627,2.518,2.88,58.663,20.605,7.165,9.566,36.152,2.129,37.987,11.515,14.213,19.053,72.179,59.444,17.779,93.65,4.714,9.003,19.855,7.04,9.847,39.867
2018-01-01 18:00:00,502.557,2.532,61.508,14.814,17.523,46.42,2.34,130.648,100.493,14.301,5.897,2.533,2.907,66.913,21.895,7.771,10.769,36.822,2.638,39.581,12.597,15.725,19.673,73.812,60.116,18.96,98.701,4.819,9.688,22.319,6.89,11.109,41.166
2018-01-01 19:00:00,549.072,3.322,67.843,15.517,21.627,56.628,3.031,144.259,109.269,16.14,6.362,2.797,3.897,73.931,24.508,8.952,11.643,42.168,2.833,46.082,15.713,18.435,21.133,80.098,69.413,24.597,111.616,5.712,10.184,23.951,8.235,11.561,44.849
2018-01-01 20:00:00,583.444,3.849,75.489,16.593,21.723,67.56,3.502,159.961,109.704,18.218,6.891,2.807,5.019,83.035,31.29,11.981,13.228,44.715,2.667,54.222,18.536,19.615,23.192,86.564,77.406,26.677,117.773,9.434,11.577,28.375,9.616,12.461,52.277
2018-01-01 21:00:00,606.934,4.012,82.414,18.49,22.631,72.839,3.933,167.358,112.997,18.285,8.035,3.568,3.873,88.611,34.557,14.775,14.427,42.099,2.694,60.025,18.374,20.487,23.599,93.572,80.003,28.881,129.225,9.047,12.358,26.879,10.242,13.491,54.308
2018-01-01 22:00:00,591.109,3.813,88.674,17.797,24.092,76.077,3.916,167.256,115.74,22.918,8.69,3.119,4.398,88.246,34.503,14.562,15.018,43.263,2.818,64.415,19.753,20.271,26.097,89.374,77.091,26.17,125.406,10.514,8.846,27.633,11.237,14.477,48.927
2018-01-01 23:00:00,543.825,3.648,88.308,17.066,23.663,73.921,2.425,151.862,113.652,17.917,7.892,3.468,5.161,83.444,32.866,15.31,12.749,41.473,2.134,62.097,19.81,17.431,25.583,81.072,74.921,25.12,116.86,10.2,8.753,26.808,10.49,14.363,45.95
2018-01-02 00:00:00,487.994,3.124,81.915,15.738,25.955,72.723,2.412,139.964,105.612,21.242,8.319,3.201,4.105,82.232,30.612,14.205,10.876,38.586,1.832,61.427,19.767,14.452,25.787,71.63,69.321,23.335,100.816,8.326,8.222,24.142,9.511,15.453,44.475
2018-01-02 01:00:00,418.9,2.947,75.932,12.546,29.216,74.891,2.714,131.464,99.962,17.046,8.059,3.595,3.758,81.363,27.331,10.309,10.422,36.842,1.699,58.517,21.335,12.974,27.803,62.008,55.524,21.16,88.727,6.846,6.922,22.31,8.394,15.58,41.939
2018-01-02 02:00:00,379.754,3.107,74.628,11.737,30.459,73.816,3.09,119.987,100.607,15.568,6.711,3.621,3.723,82.119,26.158,10.664,10.195,34.546,1.911,59.566,22.362,11.756,29.098,56.801,49.947,18.36,81.181,6.839,6.475,21.563,7.777,14.001,35.661
2018-01-02 03:00:00,366.554,2.828,75.736,11.679,31.656,72.886,3.827,119.926,101.943,15.562,5.046,3.498,4.063,83.41,25.719,10.04,10.335,33.876,1.436,64.105,21.38,11.448,22.953,52.809,49.301,15.84,80.7,6.862,6.7,21.76,6.861,10.241,32.908
2018-01-02 04:00:00,381.53,2.81,79.678,11.431,34.154,75.485,4.133,130.966,104.653,16.495,4.4,3.363,4.722,86.549,25.552,9.664,10.951,33.34,1.309,72.545,20.624,11.583,23.329,55.968,48.05,14.704,81.009,7.136,7.013,21.623,6.453,10.545,32.975
2018-01-02 05:00:00,395.8,3.675,82.826,11.973,38.443,77.844,4.385,137.822,109.069,17.926,5.227,3.484,6.599,89.025,26.254,10.359,11.762,35.393,1.363,75.438,21.462,12.089,27.163,62.26,48.326,14.553,83.326,7.242,8.361,21.755,6.558,11.917,35.066
2018-01-02 06:00:00,422.575,4.421,88.369,12.467,43.852,80.141,4.722,137.566,118.709,19.307,6.324,3.597,8.048,93.755,26.156,11.834,13.533,41.068,1.605,79.418,22.762,13.614,34.889,69.17,51.979,15.659,90.824,8.89,10.293,22.375,7.0,12.589,38.412
2018-01-02 07:00:00,471.543,4.994,93.154,13.97,44.633,87.914,7.183,147.338,123.204,22.584,7.108,4.169,8.068,107.889,27.558,13.415,16.565,44.246,1.886,88.572,24.004,15.444,38.622,67.096,58.669,18.787,101.19,9.234,13.281,25.133,8.004,13.452,45.354
2018-01-02 08:00:00,566.31,5.427,99.449,17.286,46.611,96.086,9.017,172.787,128.636,23.552,9.622,4.178,7.706,114.391,33.699,15.869,19.615,48.546,2.25,101.41,30.825,18.757,35.454,84.341,69.739,21.935,122.414,10.787,15.54,28.219,9.627,15.119,51.717
2018-01-02 09:00:00,620.476,5.878,102.106,18.959,48.945,95.942,6.212,198.219,132.192,24.053,9.505,4.154,7.289,110.586,33.823,17.551,19.128,53.821,2.578,103.858,33.354,21.031,34.691,97.052,82.684,23.781,129.613,15.426,12.919,30.163,9.752,15.109,52.272
2018-01-02 10:00:00,622.342,6.039,107.176,16.522,43.556,84.077,4.674,203.878,131.48,23.519,8.148,3.497,6.98,108.839,33.156,17.055,18.964,55.382,2.947,98.738,30.935,20.766,33.007,97.951,79.926,25.444,124.997,14.028,12.96,28.235,9.499,11.791,51.465
2018-01-02 11:00:00,616.734,6.149,99.941,16.281,34.581,76.813,3.733,188.479,125.856,21.343,6.225,2.438,5.962,107.168,32.308,14.586,18.786,53.71,2.317,86.89,24.89,18.475,26.686,97.641,80.287,23.093,126.046,10.952,11.907,26.433,11.233,9.697,50.622
2018-01-02 12:00:00,594.3,6.736,88.533,14.386,26.184,66.022,2.884,175.602,121.537,19.65,5.309,2.637,5.584,106.604,28.363,11.625,14.467,50.848,2.3,69.559,21.73,17.655,31.348,87.563,72.91,19.86,116.278,9.582,10.011,25.017,11.858,11.43,50.383
2018-01-02 13:00:00,569.788,5.74,78.658,14.046,23.883,53.021,2.307,153.004,112.775,17.064,3.917,2.462,5.057,99.345,26.054,10.617,12.634,46.556,2.265,55.201,20.038,17.131,27.76,85.809,69.593,18.081,112.263,8.24,9.617,22.375,8.962,10.019,47.617
2018-01-02 14:00:00,548.604,3.726,66.245,14.144,17.103,47.514,1.857,145.816,100.282,14.971,3.29,2.408,4.072,85.796,26.149,10.198,10.603,43.186,2.102,51.176,15.947,16.047,20.64,78.664,66.789,20.503,107.705,6.394,9.268,20.52,8.544,6.695,39.947
2018-01-02 15:00:00,516.237,2.896,57.082,14.131,15.512,39.404,1.634,131.734,86.493,15.503,2.864,2.058,2.992,73.149,25.885,8.785,10.365,42.418,1.996,39.93,11.393,16.24,17.594,74.937,68.705,21.035,99.751,5.186,7.842,18.235,10.448,4.824,37.886
2018-01-02 16:00:00,494.523,2.873,48.178,14.692,14.243,36.076,1.591,123.339,75.639,15.457,2.561,1.388,2.485,63.686,22.571,7.345,10.904,40.104,1.917,37.794,9.662,17.765,16.214,71.681,60.747,16.243,96.667,4.542,7.502,18.24,8.035,3.946,36.557
2018-01-02 17:00:00,487.856,2.323,44.062,15.447,12.722,34.3,1.62,119.788,74.585,15.699,2.547,1.209,2.624,63.078,21.87,7.136,10.209,40.944,1.854,37.148,9.555,15.569,12.737,68.321,56.24,17.756,94.96,4.556,8.15,17.303,6.963,3.774,37.573
2018-01-02 18:00:00,495.41,2.436,44.615,17.226,14.982,38.006,1.829,126.297,72.609,14.583,2.74,1.132,2.465,68.835,25.307,8.186,11.285,38.649,2.011,39.64,8.626,15.732,12.484,71.165,60.203,16.318,98.597,4.95,8.206,18.511,7.104,4.238,39.878
2018-01-02 19:00:00,549.459,3.566,52.122,17.564,20.538,45.416,2.157,144.038,76.714,16.721,4.544,1.518,3.278,84.337,31.195,11.04,12.417,41.207,2.453,48.617,11.071,20.521,14.799,75.683,69.502,18.966,113.649,6.581,8.812,22.624,8.899,5.682,44.023
2018-01-02 20:00:00,569.011,4.325,61.07,15.744,21.97,51.274,2.542,151.928,81.562,18.524,5.72,1.665,3.688,93.692,34.04,11.996,12.814,44.697,2.672,52.275,13.226,19.767,17.319,83.814,76.585,20.718,119.57,7.333,11.058,27.256,10.044,7.331,48.586
2018-01-02 21:00:00,586.379,4.218,73.309,16.777,26.263,59.122,2.883,163.175,93.875,18.096,6.041,1.975,3.878,93.708,36.277,12.778,13.364,43.717,2.585,56.031,13.847,19.505,19.733,97.505,78.693,22.909,130.435,7.47,10.546,28.831,12.197,10.14,52.143
