timestamp,9r5buv,9qqnnb,9qfvq4,9rmfp1,9qsqgj,9rj76j,9r7gxf,9rhfbx,9qwq45,9qgjzx,9qgg17,9qtpvz,9r5y19,9r5025,9r4zsy,9rn21r,9qfyep
2018-01-01 00:00:00,0.005,11.558,0.04,0.064,0.0,0.0,0.001,0.0,0.018,0.083,0.0,0.013,0.0,0.0,1.84,0.002,0.111
2018-01-01 01:00:00,0.006,13.585,0.049,0.09,0.0,0.0,0.001,0.0,0.006,0.072,0.0,0.016,0.0,0.0,1.834,0.002,0.106
2018-01-01 02:00:00,0.006,12.525,0.049,0.091,0.0,0.0,0.001,0.0,0.0,0.025,0.002,0.012,0.0,0.0,1.463,0.013,0.107
2018-01-01 03:00:00,0.007,12.689,0.045,0.079,0.0,0.0,0.002,0.0,0.0,0.056,0.003,0.042,0.0,0.0,1.922,0.001,0.142
2018-01-01 04:00:00,0.006,10.941,0.033,0.052,0.0,0.0,0.002,0.0,0.0,0.053,0.0,0.033,0.0,0.0,2.021,0.0,0.174
2018-01-01 05:00:00,0.005,9.586,0.118,0.037,0.0,0.0,0.002,0.0,0.0,0.041,0.0,0.011,0.0,0.0,1.75,0.0,0.13
2018-01-01 06:00:00,0.008,9.077,0.091,0.021,0.0,0.0,0.002,0.0,0.0,0.03,0.015,0.008,0.0,0.015,1.305,0.001,0.127
2018-01-01 07:00:00,0.006,8.614,0.056,0.033,0.0,0.0,0.002,0.0,0.0,0.024,0.014,0.005,0.0,0.0,1.304,0.0,0.115
2018-01-01 08:00:00,0.006,9.274,0.016,0.022,0.0,0.0,0.002,0.0,0.0,0.003,0.0,0.007,0.0,0.0,2.184,0.0,0.116
2018-01-01 09:00:00,0.006,11.552,0.003,0.049,0.0,0.0,0.002,0.0,0.0,0.061,0.0,0.019,0.0,0.0,3.079,0.0,0.133
2018-01-01 10:00:00,0.005,15.646,0.002,0.111,0.0,0.0,0.002,0.0,0.022,0.068,0.007,0.03,0.0,0.0,5.15,0.002,0.161
2018-01-01 11:00:00,0.005,21.522,0.026,0.123,0.0,0.0,0.009,0.0,0.016,0.08,0.0,0.037,0.0,0.0,5.621,0.004,0.365
2018-01-01 12:00:00,0.006,33.41,0.032,0.229,0.0,0.0,0.004,0.0,0.009,0.058,0.018,0.046,0.0,0.005,7.432,0.023,0.64
2018-01-01 13:00:00,0.047,47.573,0.105,0.288,0.0,0.0,0.007,0.0,0.008,0.136,0.05,0.082,0.0,0.017,8.736,0.035,0.861
2018-01-01 14:00:00,0.104,60.912,0.222,0.354,0.0,0.0,0.014,0.0,0.011,0.26,0.051,0.134,0.005,0.04,10.349,0.042,0.987
