timestamp,9r5buv,9qqnnb,9qfvq4,9rmfp1,9qsqgj,9rj76j,9r7gxf,9rhfbx,9qwq45,9qgjzx,9qgg17,9qtpvz,9r5y19,9r5025,9r4zsy,9rn21r,9qfyep
2018-01-01 00:00:00,9.267,360.699,10.166,48.765,2.225,5.987,16.617,2.332,8.563,2.648,4.058,27.907,2.783,0.048,86.807,14.125,6.451
2018-01-01 01:00:00,11.505,550.757,15.525,62.097,3.524,8.274,23.309,3.38,11.561,4.893,5.268,39.475,3.905,0.07,120.854,18.325,9.844
2018-01-01 02:00:00,12.598,554.216,17.513,64.83,4.313,8.379,23.523,3.384,8.004,5.153,5.658,42.807,4.211,0.089,129.391,15.693,11.091
2018-01-01 03:00:00,6.335,351.761,9.323,32.248,1.634,3.805,16.114,2.104,7.578,2.497,3.784,20.769,3.655,0.038,66.087,8.847,4.789
2018-01-01 04:00:00,4.221,355.811,6.767,21.15,1.322,2.383,12.475,1.884,8.753,1.813,3.141,15.399,3.242,0.014,43.633,7.841,2.75
2018-01-01 05:00:00,5.617,460.028,7.384,21.484,4.96,2.425,13.179,2.198,9.114,2.123,3.826,15.417,3.313,0.013,50.459,8.846,3.665
2018-01-01 06:00:00,7.586,558.5,7.473,28.127,5.671,2.599,16.436,1.537,8.756,2.69,4.654,22.376,3.452,0.01,59.94,8.54,5.521
2018-01-01 07:00:00,8.138,612.842,7.375,30.483,6.285,2.456,13.993,2.046,8.932,3.285,4.734,26.044,3.801,0.011,63.192,10.968,6.348
2018-01-01 08:00:00,9.96,676.623,9.407,29.972,6.158,2.401,12.883,2.534,9.245,3.089,4.888,24.668,3.989,0.013,65.835,12.053,4.866
2018-01-01 09:00:00,13.584,764.104,9.863,31.925,5.891,2.456,13.204,4.55,8.691,3.289,6.395,26.007,5.878,0.015,70.621,13.746,4.451
2018-01-01 10:00:00,15.235,762.929,7.966,40.213,5.361,2.381,12.395,4.83,7.7,3.432,7.341,25.729,6.352,0.017,78.255,13.33,4.771
2018-01-01 11:00:00,12.75,665.11,4.277,37.11,3.999,1.942,11.368,4.562,6.531,3.581,6.31,19.347,5.309,0.019,66.54,14.233,5.076
2018-01-01 12:00:00,8.622,463.05,2.789,31.965,2.89,1.308,6.345,2.824,5.208,2.336,4.633,13.853,3.696,0.016,45.96,12.553,4.207
2018-01-01 13:00:00,4.523,295.192,1.977,23.489,2.066,0.829,3.952,2.075,3.972,1.447,3.099,8.165,2.603,0.013,31.63,7.839,2.918
2018-01-01 14:00:00,2.686,148.431,0.928,16.619,1.624,0.556,5.237,1.378,3.19,0.722,2.166,6.493,1.727,0.012,22.504,4.849,1.641
2018-01-01 15:00:00,1.804,76.862,0.754,13.108,1.207,0.344,5.322,1.892,1.851,0.339,1.33,3.604,0.943,0.011,14.054,4.274,0.908
2018-01-01 16:00:00,1.028,40.153,0.406,10.115,0.645,0.227,2.615,1.297,1.233,0.188,0.625,1.36,0.299,0.008,8.985,2.633,1.35
