timestamp,dre6k8,dr8826,dr72rk,dr6pf7,dr803c,dr9s9t,dpx89j,dr3rvd,drd1xs,drgwdf,dre8kd,dr9fkf,drd8n1,dr7td1,dpxgpq,drgdcj,drgjtn,drej62,dr8kss,dre28b,drg02e,drdwvn,drcfm3,dr5rjj,drf354,dr8en6,drdhn5,dr8z28,dreh41,dr5xtq,dr5ruz,dpxzpp,drdq52,dr9udj,dr95bc,dr75t1,dr8r7z,dr9z1z,drdds8,dr7e9v,dr5rrc,dredzp,dr5q8z,dr765e,drft5d,drempr,dre7e4,dre461,dr9334,dr977u,dr8brn,drk2cv,dr6v6d,dr3xzy,dr99eb,dr7nwh,drerzb,drey2u,dr9pnr,dr7d1g,dr86gv,dr94t6
2018-01-01 00:00:00,0.926,0.069,0.721,0.164,0.268,0.105,0.156,0.036,0.058,0.045,0.054,0.052,0.071,0.307,1.946,0.06,0.0,0.034,0.05,0.112,0.0,0.108,0.179,5.34,0.005,0.065,0.041,2.633,0.004,5.915,55.625,0.41,0.314,0.678,0.108,0.675,0.073,0.192,0.107,0.195,5.308,1.592,0.225,0.49,0.164,0.216,0.2,0.017,0.018,0.016,0.096,2.107,0.071,0.077,0.111,0.365,0.072,0.072,0.112,3.005,0.029,0.029
2018-01-01 01:00:00,1.19,0.094,0.79,0.184,0.376,0.137,0.211,0.037,0.079,0.061,0.072,0.065,0.1,0.447,2.53,0.12,0.0,0.034,0.068,0.144,0.0,0.0,0.036,6.886,0.0,0.082,0.0,3.485,0.003,7.267,73.075,0.57,0.0,0.919,0.137,0.853,0.104,0.262,0.018,0.255,6.615,2.111,0.238,0.631,0.033,0.267,0.258,0.024,0.025,0.021,0.139,2.629,0.091,0.095,0.145,0.508,0.086,0.089,0.16,3.76,0.037,0.04
2018-01-01 02:00:00,1.447,0.095,0.766,0.166,0.366,0.138,0.178,0.033,0.081,0.062,0.071,0.064,0.101,0.415,2.547,0.069,0.0,0.033,0.067,0.149,0.0,0.0,0.035,6.725,0.0,0.086,0.0,3.576,0.003,7.105,73.157,0.565,0.0,0.889,0.148,0.878,0.102,0.265,0.017,0.258,6.577,2.114,0.25,0.63,0.032,0.286,0.259,0.025,0.029,0.019,0.143,2.635,0.09,0.095,0.137,0.496,0.094,0.087,0.118,3.715,0.037,0.04
2018-01-01 03:00:00,1.377,0.093,0.683,0.162,0.357,0.134,0.174,0.033,0.078,0.063,0.077,0.069,0.102,0.412,2.607,0.09,0.0,0.038,0.067,0.153,0.0,0.0,0.035,6.433,0.0,0.085,0.0,3.604,0.002,7.017,73.072,0.549,0.0,0.93,0.175,0.9,0.101,0.268,0.015,0.262,6.413,2.11,0.192,0.521,0.033,0.282,0.264,0.027,0.026,0.019,0.174,2.594,0.092,0.093,0.139,0.478,0.083,0.084,0.102,3.736,0.037,0.029
2018-01-01 04:00:00,1.39,0.096,0.667,0.16,0.351,0.134,0.181,0.033,0.08,0.063,0.079,0.079,0.116,0.408,2.845,0.08,0.0,0.042,0.065,0.149,0.0,0.0,0.033,6.082,0.0,0.087,0.0,3.66,0.002,6.912,74.6,0.535,0.0,0.97,0.159,0.891,0.102,0.263,0.014,0.244,6.444,2.085,0.205,0.5,0.031,0.279,0.261,0.028,0.026,0.019,0.188,2.874,0.092,0.093,0.142,0.465,0.084,0.085,0.104,3.724,0.037,0.028
2018-01-01 05:00:00,1.444,0.098,0.606,0.193,0.356,0.141,0.193,0.077,0.081,0.074,0.086,0.08,0.124,0.427,3.078,0.057,0.0,0.044,0.065,0.144,0.0,0.0,0.033,5.931,0.0,0.088,0.0,3.802,0.005,7.058,77.1,0.548,0.0,1.052,0.151,1.016,0.106,0.259,0.013,0.246,6.69,1.863,0.241,0.527,0.031,0.32,0.269,0.03,0.026,0.043,0.153,2.722,0.097,0.101,0.143,0.466,0.089,0.083,0.113,3.722,0.039,0.031
2018-01-01 06:00:00,1.523,0.095,1.14,0.175,0.357,0.136,0.201,0.092,0.081,0.064,0.088,0.08,0.111,0.452,3.055,0.059,0.0,0.039,0.064,0.15,0.0,0.0,0.01,6.275,0.0,0.09,0.0,4.138,0.004,7.332,78.656,0.588,0.0,1.058,0.146,1.069,0.108,0.254,0.009,0.246,7.279,1.511,0.263,0.496,0.044,0.442,0.301,0.026,0.025,0.037,0.141,2.484,0.101,0.099,0.156,0.429,0.022,0.02,0.116,3.714,0.038,0.031
2018-01-01 07:00:00,1.712,0.094,1.971,0.192,0.37,0.153,0.225,0.082,0.08,0.064,0.09,0.105,0.104,0.432,3.328,0.054,0.0,0.039,0.065,0.145,0.0,0.0,0.008,6.537,0.0,0.09,0.0,4.355,0.004,7.567,82.463,0.627,0.0,0.179,0.142,1.133,0.106,0.251,0.021,0.248,7.764,1.513,0.294,0.473,0.019,0.537,0.33,0.026,0.025,0.031,0.143,2.114,0.099,0.099,0.166,0.414,0.006,0.0,0.122,3.846,0.05,0.031
2018-01-01 08:00:00,1.773,0.09,2.322,0.215,0.378,0.189,0.236,0.083,0.08,0.064,0.094,0.115,0.1,0.496,3.634,0.053,0.0,0.038,0.062,0.152,0.0,0.0,0.0,6.757,0.0,0.095,0.0,4.521,0.005,9.882,86.745,0.63,0.0,1.338,0.141,1.184,0.105,0.255,0.053,0.257,7.981,1.528,0.29,0.474,0.0,0.58,0.355,0.029,0.025,0.028,0.131,2.297,0.092,0.1,0.17,0.381,0.016,0.0,0.119,4.589,0.057,0.029
2018-01-01 09:00:00,1.912,0.084,2.638,0.283,0.357,0.196,0.259,0.082,0.09,0.064,0.09,0.214,0.093,0.718,3.879,0.192,0.0,0.036,0.06,0.149,0.004,0.0,0.001,7.202,0.0,0.099,0.0,4.892,0.009,12.691,95.251,0.705,0.024,2.115,0.143,1.198,0.099,0.25,0.132,0.256,9.597,1.566,0.321,0.431,0.106,0.645,0.381,0.024,0.025,0.022,0.15,2.857,0.088,0.104,0.161,0.371,0.126,0.047,0.113,5.547,0.059,0.02
