timestamp,dre6k8,dr8826,dr72rk,dr6pf7,dr803c,dr9s9t,dpx89j,dr3rvd,drd1xs,drgwdf,dre8kd,dr9fkf,drd8n1,dr7td1,dpxgpq,drgdcj,drgjtn,drej62,dr8kss,dre28b,drg02e,drdwvn,drcfm3,dr5rjj,drf354,dr8en6,drdhn5,dr8z28,dreh41,dr5xtq,dr5ruz,dpxzpp,drdq52,dr9udj,dr95bc,dr75t1,dr8r7z,dr9z1z,drdds8,dr7e9v,dr5rrc,dredzp,dr5q8z,dr765e,drft5d,drempr,dre7e4,dre461,dr9334,dr977u,dr8brn,drk2cv,dr6v6d,dr3xzy,dr99eb,dr7nwh,drerzb,drey2u,dr9pnr,dr7d1g,dr86gv,dr94t6
2018-01-01 00:00:00,307.725,30.078,464.456,144.894,57.609,41.718,87.686,36.45,32.473,79.712,76.405,31.088,36.179,192.076,467.426,53.942,51.761,40.808,35.751,46.077,18.703,62.12,109.044,877.903,20.508,40.28,23.75,516.466,33.491,559.641,1826.074,119.948,151.341,414.951,89.946,201.78,22.581,62.404,48.384,102.828,759.4,120.195,152.705,135.237,75.439,166.144,113.254,25.472,16.152,25.207,54.804,660.554,55.973,23.034,62.579,145.035,76.775,46.451,68.279,529.623,27.446,20.915
2018-01-01 01:00:00,416.688,40.113,645.74,197.216,81.337,58.4,116.712,52.136,43.118,119.545,102.462,41.843,53.478,281.624,631.443,77.758,76.838,54.025,49.141,62.954,27.269,94.874,161.496,1208.42,28.969,55.798,31.588,705.405,43.946,753.695,2562.763,168.406,213.977,569.213,124.148,268.648,31.425,86.325,69.923,140.332,1043.32,158.317,210.292,186.006,107.347,220.129,150.737,34.061,24.045,34.832,78.792,929.356,78.333,33.407,90.307,207.446,96.529,58.932,88.97,739.038,37.495,27.219
2018-01-01 02:00:00,410.658,40.001,643.961,197.904,81.755,59.829,117.032,50.73,44.054,121.844,104.13,42.281,53.345,282.434,619.884,75.178,75.709,52.095,47.819,62.328,29.198,96.136,163.552,1214.272,30.148,56.506,30.748,700.148,41.442,744.532,2603.522,165.572,220.902,570.413,123.157,270.146,29.479,89.81,68.065,135.288,1037.833,162.927,207.784,181.078,112.556,222.813,152.924,34.977,24.405,35.462,81.48,918.135,76.495,32.167,88.021,203.686,92.119,59.205,87.1,713.549,38.027,26.737
2018-01-01 03:00:00,421.496,41.186,651.6,201.372,82.37,62.699,120.296,52.086,45.245,124.827,107.855,44.509,54.895,286.947,618.302,74.499,78.295,54.794,47.735,64.535,28.531,97.935,167.08,1220.365,30.979,55.913,31.121,703.707,41.78,749.605,2630.717,165.027,227.222,584.964,123.111,275.624,29.536,93.658,68.96,135.665,1046.541,170.702,208.958,186.927,115.277,231.748,159.749,37.287,24.73,34.861,82.38,944.068,80.318,32.485,87.044,202.965,93.985,60.086,86.331,731.733,37.843,27.86
2018-01-01 04:00:00,440.794,41.705,692.445,203.035,82.382,65.611,124.545,53.645,47.528,127.914,113.029,46.181,55.138,297.673,632.851,76.709,80.253,57.253,50.691,67.147,27.912,100.384,172.449,1275.856,32.681,58.688,34.405,725.892,44.781,778.966,2717.064,164.713,238.889,616.256,126.929,286.296,31.53,100.62,69.401,148.703,1086.252,176.131,217.412,192.951,118.788,241.711,167.457,38.26,25.398,35.535,86.897,989.771,84.168,32.631,88.129,209.198,101.238,62.933,87.509,773.37,38.89,29.152
2018-01-01 05:00:00,467.351,43.401,747.916,214.367,88.935,71.098,129.922,58.214,49.498,135.609,116.32,48.465,58.746,316.286,676.411,82.295,85.545,59.292,54.546,72.227,29.055,106.262,184.384,1369.372,34.43,63.956,34.38,786.608,45.956,855.774,2899.349,174.879,254.703,681.459,134.284,304.42,35.667,108.785,74.818,154.997,1159.942,187.128,234.125,201.851,122.562,251.953,176.72,40.035,26.413,38.772,91.725,1051.995,85.606,33.228,93.51,222.741,115.17,66.383,98.713,817.186,38.055,30.167
2018-01-01 06:00:00,516.437,47.941,863.486,232.039,99.342,83.131,140.759,67.141,56.652,145.465,128.718,53.628,63.993,373.003,767.454,89.275,92.38,64.682,65.284,81.01,30.909,125.259,199.208,1519.718,38.097,70.818,39.17,888.24,53.714,977.814,3174.018,195.94,293.311,769.062,150.106,340.225,39.104,120.461,85.001,177.943,1290.17,204.172,264.487,231.314,136.485,280.142,188.804,43.928,29.593,43.195,97.831,1205.386,94.263,40.392,102.217,254.721,130.064,73.369,109.794,906.255,42.494,32.804
2018-01-01 07:00:00,555.68,54.587,948.682,250.036,104.908,94.514,154.112,75.271,60.407,155.095,130.907,59.579,70.259,402.739,862.599,92.989,96.182,69.762,68.699,86.299,31.384,137.927,214.457,1674.514,39.374,73.645,46.232,968.552,58.982,1048.379,3428.36,211.752,319.016,828.659,166.48,370.474,44.863,134.385,96.696,187.51,1428.378,222.059,294.574,246.686,148.938,295.042,198.684,46.502,30.081,43.928,109.608,1331.176,108.648,44.461,112.643,275.225,140.182,79.083,117.535,983.768,47.715,34.667
2018-01-01 08:00:00,552.239,54.282,975.598,259.133,117.879,101.971,162.788,78.87,60.363,152.989,131.756,60.05,69.583,409.268,892.156,91.567,98.214,72.32,73.606,87.2,31.656,143.584,219.887,1729.193,42.671,81.37,48.666,993.34,58.82,1112.681,3483.187,218.743,337.93,841.382,169.167,373.358,44.834,141.084,102.695,185.908,1489.672,225.363,308.896,244.048,153.749,296.387,202.241,47.433,29.754,43.631,113.952,1395.987,107.265,45.19,110.74,272.822,141.194,81.911,123.25,996.994,50.624,36.307
2018-01-01 09:00:00,554.994,53.557,980.501,254.015,114.167,106.231,164.267,79.134,59.023,136.661,127.24,60.599,69.323,401.269,914.703,84.753,94.466,69.939,72.338,86.493,30.334,140.742,210.637,1737.882,44.449,79.545,47.692,1002.713,60.883,1153.993,3475.074,219.952,337.801,834.097,169.385,375.785,44.989,141.984,102.259,177.655,1506.929,221.192,308.125,246.751,149.499,298.686,204.448,45.384,28.158,42.612,111.415,1405.891,99.443,43.332,108.942,259.851,135.288,79.975,124.784,1002.54,49.946,35.596
