timestamp,dnusum,dphpyn,dpm2rg,dpqw6s,dnvxv0,dphner,dpn7ts,dnum7x,dp5b7e,dpnqfe,dphkmc,dph7j6,dnunjj,dph2m4,dpnxcv,dpjtpx,dpm03h,dpmvs6,dp5u63,dp7gj6,dphvph,dpmk6h,dpj4pg,dph9hb,dphgrh,dpkhts,dnvkz4,dpqk0f,dph3fb,dpn5ck,dngyup,dpk90p,dphx24,dpnm4w,dpk5nu,dnuwct,dpj2eh,dpjwz8,dpm60d,dnvmbn,dpntf4,dpjmu7,dpqneb,dnv7d7,dpjk54,dphmvb,dpme9z,dpkths,dphdyn,dpq961,dphygk,dpmcbk,dnvwmk,dp5yd5,dph5g7,dpn3fx,dph41u,dpjc3j,dpjnec,dpjer7,dpn44x,dpkur5,dp7cgm,dpjd0e,dphcw1,dnuyq0,dpq60q,dp5f1f,dpk1ms,dpjrcw,dnuzty,dpkgk0,dnuuz6,dpkcum,dphj7z,dpq0hm,dpq1bw,dpqdfp,dpnn45,dphtnz,dp7b7j,dnvr6c,dph0k9,dpn03t,dpmb28,dp7u7n,dpke31,dpkb24
2018-01-01 00:00:00,42.17,84.256,28.239,36.024,69.928,29.965,40.311,78.891,338.069,14.226,22.548,86.357,257.007,59.296,62.994,21.238,26.795,423.215,43.989,25.217,78.846,47.138,115.772,55.665,669.493,17.153,44.775,43.553,146.993,22.125,692.721,89.185,38.648,6.431,29.579,71.136,49.468,13.674,40.838,31.417,56.379,35.619,70.408,76.806,82.283,35.06,127.649,187.623,30.595,81.204,45.269,65.052,19.122,36.789,105.835,3.907,487.117,11.187,15.168,39.52,8.672,20.735,7.708,30.194,43.542,37.788,81.409,42.396,24.505,76.613,103.566,34.642,99.005,42.662,51.406,139.554,121.239,56.385,37.579,30.349,23.203,21.799,192.205,29.985,55.182,31.269,39.516,11.351
2018-01-01 01:00:00,52.421,109.294,37.425,43.439,104.859,39.163,56.425,97.64,445.739,20.86,30.069,116.661,324.628,76.175,87.474,31.841,36.587,547.816,58.952,32.053,104.224,63.19,168.343,71.107,894.959,23.71,60.775,57.992,198.466,33.485,863.843,118.897,52.977,10.813,38.931,89.073,72.308,20.621,53.566,47.187,78.646,46.877,90.511,101.277,119.689,47.006,182.158,251.044,38.289,110.913,62.208,87.509,28.022,49.593,142.019,5.499,647.164,17.289,20.924,59.868,12.629,27.791,9.873,45.828,62.451,56.865,113.928,57.063,31.996,100.199,148.698,44.587,130.89,57.445,68.779,192.091,167.909,78.521,57.047,41.418,30.932,30.911,239.401,43.858,76.712,40.99,52.399,15.944
2018-01-01 02:00:00,52.321,112.97,37.804,43.685,108.937,37.518,59.088,104.448,458.854,21.636,31.165,119.977,331.818,80.208,92.815,33.528,35.186,566.848,57.549,31.168,110.186,67.384,172.371,73.669,934.548,24.564,62.918,57.521,201.204,37.564,887.759,119.842,53.015,12.173,38.254,91.156,76.153,21.726,55.967,49.553,82.238,47.611,93.068,105.49,123.521,47.796,186.323,255.78,40.139,116.134,62.146,88.908,30.358,51.832,139.46,6.508,638.084,20.87,20.177,62.72,13.981,28.481,9.64,48.266,66.726,61.966,118.149,58.774,32.189,99.686,153.139,46.188,134.793,58.175,68.886,204.248,177.336,85.67,59.874,41.879,30.132,32.518,254.111,43.9,79.377,40.272,55.193,15.298
2018-01-01 03:00:00,50.757,113.553,39.465,44.635,114.908,36.333,60.236,107.964,461.321,22.602,31.082,120.204,341.132,84.434,96.802,35.18,35.718,583.738,56.769,30.708,118.687,68.614,174.398,74.672,1002.244,24.368,65.049,56.075,189.669,40.31,921.885,121.029,52.961,12.837,37.102,91.821,79.013,21.71,56.717,53.96,84.913,53.664,98.966,111.08,126.163,45.727,187.75,264.731,42.491,120.265,61.915,91.211,30.402,52.564,133.387,6.926,615.904,22.437,20.932,66.24,14.959,29.489,9.124,51.148,67.87,64.167,122.97,58.534,30.402,103.787,155.675,43.713,140.475,60.102,71.088,210.882,181.977,89.203,62.643,43.204,30.914,34.388,258.034,43.874,82.309,38.69,54.946,15.575
2018-01-01 04:00:00,53.241,108.585,40.439,45.432,121.468,36.614,62.944,107.989,448.337,23.97,28.234,112.271,360.268,89.32,98.671,36.271,35.446,606.755,55.722,32.353,121.121,70.575,178.559,76.478,1023.743,25.734,65.161,59.602,174.757,40.008,963.99,119.882,52.266,13.414,37.532,96.691,81.442,21.058,58.317,55.893,86.525,57.919,104.302,113.964,131.896,46.176,197.008,272.552,43.222,119.624,63.968,94.367,32.33,51.774,131.252,6.505,595.586,21.924,21.606,71.955,14.956,33.099,9.214,54.178,68.503,65.141,123.777,59.874,29.223,105.756,160.259,46.393,144.859,60.105,67.47,215.166,187.476,91.293,65.162,43.922,31.015,35.046,255.725,45.684,82.419,39.384,55.368,15.709
2018-01-01 05:00:00,55.734,110.251,42.169,47.859,126.68,36.654,64.996,114.312,454.862,26.165,27.878,113.317,379.72,93.53,100.895,38.384,35.006,615.83,57.265,33.019,117.064,73.117,181.248,77.9,990.054,28.045,66.347,61.269,177.328,42.984,997.252,124.217,51.663,14.469,38.073,95.026,82.002,21.736,59.73,54.732,89.618,51.238,107.087,117.148,136.047,48.557,201.209,280.287,43.183,122.517,64.781,96.594,35.409,49.865,136.97,6.903,619.928,21.679,20.841,75.425,14.712,34.238,9.538,57.687,69.358,65.595,128.997,61.248,29.377,115.51,163.545,49.013,152.72,60.011,69.096,219.003,188.666,91.481,68.094,43.371,31.035,35.197,263.017,48.07,85.136,39.652,56.561,14.798
2018-01-01 06:00:00,56.853,116.683,42.416,49.684,126.459,40.507,69.66,120.443,463.517,26.092,29.708,117.22,394.246,90.014,109.363,40.719,35.72,624.187,65.25,34.394,118.679,71.595,183.96,77.881,954.127,29.739,71.421,59.176,186.866,44.997,1014.524,125.742,50.794,16.277,39.671,95.87,79.854,23.588,59.343,51.397,94.799,51.391,111.172,120.413,131.064,51.68,206.75,281.025,40.033,132.477,66.5,105.131,36.01,48.974,143.741,7.348,677.508,21.951,21.71,71.909,15.034,32.318,9.902,59.432,64.874,61.229,138.288,67.794,32.029,118.684,157.453,48.142,160.215,57.995,87.29,225.427,198.206,97.669,74.163,42.911,32.102,33.698,273.323,50.077,87.997,40.866,54.128,13.843
2018-01-01 07:00:00,58.065,116.843,40.456,50.307,128.759,43.682,72.478,122.289,480.161,24.835,31.547,127.501,391.572,85.471,112.878,39.842,34.729,641.357,69.63,34.668,120.302,71.312,171.101,77.27,953.632,28.354,76.178,61.116,198.372,47.787,1031.117,127.303,53.206,16.593,42.52,101.186,71.949,22.656,59.413,47.009,96.47,51.23,112.329,124.731,116.771,54.578,202.167,273.997,39.181,131.14,65.472,107.72,35.27,52.197,141.668,7.583,709.47,22.598,21.34,74.569,15.393,30.504,10.607,58.983,59.867,55.975,141.699,72.272,33.655,115.153,144.002,47.361,165.568,59.369,93.761,228.883,200.646,101.225,74.07,43.292,33.067,30.328,282.647,52.404,86.04,43.108,53.219,14.269
2018-01-01 08:00:00,58.159,121.863,40.599,50.628,127.858,44.74,74.466,121.88,475.052,25.203,32.307,134.081,389.909,91.369,111.814,38.799,32.83,649.978,71.245,33.648,114.924,71.259,161.529,76.794,938.458,28.167,74.631,64.128,208.229,48.056,1034.002,137.659,56.294,16.476,44.574,105.085,65.751,21.406,59.358,44.506,93.318,49.945,114.496,125.783,110.117,59.521,202.486,275.577,39.975,132.329,63.089,105.549,34.103,55.704,144.717,7.324,726.616,22.753,20.427,76.536,15.358,29.698,10.691,61.745,55.872,53.729,139.154,72.016,34.616,116.55,134.741,47.202,164.367,63.605,94.941,228.152,197.512,98.079,70.006,42.739,34.224,28.556,283.755,53.972,82.904,43.602,53.042,14.259
2018-01-01 09:00:00,55.075,121.981,38.999,49.636,116.214,45.733,70.801,114.227,440.98,24.125,31.862,130.161,375.476,96.867,106.759,35.446,31.683,638.028,66.932,31.661,111.641,72.555,154.164,78.291,898.513,26.919,71.045,63.078,204.02,44.974,977.936,137.835,52.167,17.241,38.646,100.634,60.91,19.298,56.44,43.876,87.892,48.417,110.835,117.661,103.447,59.456,181.597,263.084,38.831,123.788,61.021,98.597,29.748,55.2,143.591,6.693,708.057,21.346,21.718,71.013,14.466,29.194,10.352,58.487,52.524,50.087,127.209,68.516,34.862,114.979,126.613,47.05,152.86,62.41,92.816,218.229,185.921,93.487,64.572,41.646,33.951,26.415,270.441,50.932,77.628,40.878,53.061,13.117
