timestamp,dnusum,dphpyn,dpm2rg,dpqw6s,dnvxv0,dphner,dpn7ts,dnum7x,dp5b7e,dpnqfe,dphkmc,dph7j6,dnunjj,dph2m4,dpnxcv,dpjtpx,dpm03h,dpmvs6,dp5u63,dp7gj6,dphvph,dpmk6h,dpj4pg,dph9hb,dphgrh,dpkhts,dnvkz4,dpqk0f,dph3fb,dpn5ck,dngyup,dpk90p,dphx24,dpnm4w,dpk5nu,dnuwct,dpj2eh,dpjwz8,dpm60d,dnvmbn,dpntf4,dpjmu7,dpqneb,dnv7d7,dpjk54,dphmvb,dpme9z,dpkths,dphdyn,dpq961,dphygk,dpmcbk,dnvwmk,dp5yd5,dph5g7,dpn3fx,dph41u,dpjc3j,dpjnec,dpjer7,dpn44x,dpkur5,dp7cgm,dpjd0e,dphcw1,dnuyq0,dpq60q,dp5f1f,dpk1ms,dpjrcw,dnuzty,dpkgk0,dnuuz6,dpkcum,dphj7z,dpq0hm,dpq1bw,dpqdfp,dpnn45,dphtnz,dp7b7j,dnvr6c,dph0k9,dpn03t,dpmb28,dp7u7n,dpke31,dpkb24
2018-01-01 00:00:00,49.652,117.789,43.382,62.971,84.143,43.701,63.541,90.691,450.617,22.227,33.108,131.424,318.105,72.787,96.133,29.546,38.984,902.716,58.782,39.257,138.37,81.785,158.556,66.4,1132.65,28.489,53.004,70.051,200.396,39.893,1012.356,121.755,46.299,11.268,37.199,81.278,56.972,22.627,57.578,39.511,79.421,51.045,144.675,94.262,134.451,50.282,218.058,371.718,43.642,167.664,63.982,110.837,24.054,48.05,141.76,7.105,707.482,15.439,23.186,62.971,12.098,37.456,12.83,36.963,58.247,45.509,129.939,53.065,35.291,117.834,123.819,51.613,123.218,64.51,68.792,270.03,316.891,130.427,64.406,46.303,33.043,23.94,258.744,49.736,81.978,43.422,81.927,18.002
2018-01-01 01:00:00,62.05,153.665,58.307,78.96,123.844,56.755,87.288,113.851,595.463,32.33,44.252,177.072,405.629,94.13,131.066,42.618,53.094,1182.036,77.91,48.946,183.487,107.444,228.735,85.896,1503.043,39.679,72.197,92.376,272.985,57.436,1286.767,162.799,62.518,16.961,48.646,103.211,82.446,30.984,76.194,57.546,112.08,66.937,190.017,124.859,185.22,67.185,304.701,498.012,55.197,223.188,88.012,149.86,34.917,64.443,191.163,9.927,944.105,22.492,32.341,91.308,16.784,50.397,16.587,55.867,82.531,67.089,177.995,71.792,45.535,156.333,175.593,66.899,163.762,85.501,92.249,361.985,430.392,175.397,93.578,63.004,43.356,34.093,331.805,69.852,113.736,55.614,110.93,24.17
2018-01-01 02:00:00,61.659,153.16,57.489,78.136,127.89,53.712,87.317,118.804,603.895,32.415,43.354,177.06,406.642,98.044,132.059,43.978,50.682,1182.657,76.208,46.249,185.728,110.284,230.685,87.434,1520.666,38.289,74.23,88.835,269.347,59.916,1292.194,161.191,61.956,18.204,47.207,104.761,85.751,31.311,76.998,59.952,113.892,66.314,190.252,127.648,186.239,65.35,302.824,494.598,56.015,225.078,85.228,148.601,37.008,66.092,186.338,11.112,915.343,26.159,30.797,94.144,17.506,49.791,16.282,58.755,84.712,71.972,180.708,71.178,44.881,152.235,179.141,66.802,165.913,84.297,90.365,371.268,434.413,179.901,94.88,62.821,41.066,35.671,343.462,69.882,114.872,53.799,111.064,23.321
2018-01-01 03:00:00,59.802,154.08,57.835,78.816,134.587,52.392,87.254,122.595,604.114,32.555,42.878,177.13,413.515,101.961,135.563,45.629,51.212,1197.027,74.648,45.486,194.956,111.365,231.043,88.229,1589.043,37.888,76.236,87.573,256.46,62.866,1320.935,162.993,61.758,18.905,46.042,104.56,89.064,30.848,77.82,63.98,117.251,72.096,193.838,133.394,188.8,63.03,303.259,500.68,57.215,228.776,85.436,149.537,36.845,66.569,179.191,11.108,887.488,28.111,31.358,97.306,18.534,50.468,16.819,60.587,86.464,73.984,185.155,70.803,41.334,155.622,180.865,63.555,170.731,86.461,93.83,379.022,436.462,180.206,97.598,63.874,41.884,37.16,343.366,69.641,118.523,52.336,106.652,23.845
2018-01-01 04:00:00,62.727,151.114,59.871,81.197,141.751,53.097,91.38,123.731,598.207,34.363,40.911,170.595,436.393,107.704,138.289,47.472,51.959,1237.969,74.654,47.667,199.753,113.303,236.175,90.739,1629.964,39.865,77.049,93.589,243.123,63.228,1376.759,161.269,61.209,19.668,46.635,110.525,92.546,30.513,79.794,66.088,118.326,77.743,200.744,136.634,197.792,64.561,317.971,514.828,57.993,230.393,88.793,155.665,38.947,65.904,178.301,11.142,875.689,27.857,32.894,105.311,19.078,55.006,16.862,63.693,87.091,76.086,188.097,73.049,40.294,160.495,187.912,67.527,175.912,87.262,90.562,388.86,446.25,186.242,101.719,65.865,43.308,38.12,341.541,72.313,119.674,53.698,108.543,23.868
2018-01-01 05:00:00,66.349,156.823,62.995,87.97,149.241,54.991,98.433,131.593,622.781,38.094,41.479,179.457,467.386,114.935,146.108,50.661,53.067,1304.307,79.163,50.298,200.678,119.983,245.348,94.939,1656.731,43.373,79.357,99.791,251.602,69.293,1455.865,167.98,61.826,21.254,47.756,111.624,94.404,32.474,84.8,66.452,125.461,73.913,212.973,144.178,209.548,67.81,330.483,545.259,60.55,241.769,91.87,167.783,42.955,65.334,187.561,12.814,930.666,27.903,33.675,112.327,19.173,59.89,17.295,68.794,89.889,77.909,202.1,77.305,41.663,177.049,194.175,71.462,187.959,89.25,95.504,408.35,475.54,198.09,108.722,67.449,44.075,40.137,355.373,76.288,126.179,54.911,115.372,23.608
2018-01-01 06:00:00,71.232,174.851,68.213,103.885,153.734,62.168,109.157,141.552,668.985,41.405,46.525,197.387,506.659,112.43,163.388,57.144,56.838,1438.501,95.551,55.922,218.086,125.58,261.885,99.198,1762.744,47.877,87.125,106.466,277.406,75.23,1556.277,178.104,62.261,25.205,51.606,118.095,95.469,37.34,89.738,65.791,137.516,77.836,236.512,151.782,220.81,75.357,363.314,591.277,61.04,274.892,99.99,188.015,44.507,68.238,207.139,14.563,1057.465,29.262,37.919,119.008,20.074,61.411,18.465,74.56,89.4,76.236,225.102,86.452,46.212,192.589,194.539,74.964,204.753,93.814,121.723,451.495,542.489,225.705,122.045,73.292,47.878,38.245,388.774,84.779,139.355,59.414,124.339,24.475
2018-01-01 07:00:00,75.859,187.371,70.866,112.649,160.551,70.741,118.3,146.119,727.056,42.821,50.55,219.856,519.081,113.443,175.452,59.076,58.964,1600.707,104.819,58.687,243.511,135.505,259.66,99.604,1910.903,50.969,93.146,116.407,304.198,82.41,1661.682,192.378,67.716,26.503,56.387,123.374,92.731,39.507,97.141,65.002,144.159,84.863,258.8,159.961,221.579,82.773,381.55,629.505,63.622,302.106,104.281,202.66,45.011,74.923,214.324,16.076,1158.226,31.502,39.763,132.194,21.678,63.544,19.832,80.51,90.536,72.91,242.463,95.216,51.399,203.452,186.859,79.402,220.999,102.719,131.375,490.952,609.74,245.568,128.928,78.934,50.875,35.576,421.532,93.029,146.788,64.088,134.709,27.748
2018-01-01 08:00:00,76.513,194.293,73.838,117.632,159.331,72.93,120.79,145.663,732.319,41.958,52.18,230.32,522.32,120.569,178.544,58.517,57.856,1661.84,109.316,61.137,237.758,138.564,254.613,100.363,1931.518,49.45,92.15,122.327,318.393,81.183,1686.764,203.736,71.083,26.419,59.373,128.972,85.626,39.778,96.137,62.252,144.543,88.323,266.917,166.087,220.441,88.722,399.342,657.894,65.418,308.764,103.647,207.268,44.132,80.184,224.912,15.953,1204.593,32.235,39.551,137.795,22.16,65.001,21.435,78.701,90.023,72.236,237.596,94.415,52.365,206.336,178.886,82.805,219.752,110.274,135.227,500.601,618.244,250.637,124.635,76.99,56.328,34.368,420.948,93.019,146.373,65.086,137.955,28.513
2018-01-01 09:00:00,70.414,193.351,71.783,116.412,147.739,73.056,120.38,138.409,708.327,40.046,52.036,227.315,517.31,128.181,173.7,57.565,57.414,1709.399,104.228,58.887,242.858,146.404,250.285,103.879,1953.866,48.005,88.572,122.508,312.632,82.378,1669.84,208.975,75.176,27.711,53.111,126.904,79.394,37.683,97.848,61.368,144.185,84.431,280.855,159.232,215.156,86.74,388.436,663.437,62.619,312.169,109.374,200.613,40.201,79.075,220.785,14.464,1193.653,31.723,42.178,132.872,21.291,66.145,20.385,74.332,86.099,67.328,231.934,90.745,53.627,210.66,173.52,83.765,210.368,112.824,136.025,496.557,625.15,253.287,122.039,76.135,55.006,32.961,418.372,91.042,143.648,67.893,141.352,27.886
