timestamp,9yksnp,9yd0fw,9y5ews,9y8913,9y30ek,9y6h05,9y591q,9y6016,9y664q,9y4ff5,9ykkq2,9yh19d,9wx151,9y6b33,9y5s8z,9y1vpn,9y4516,9ys31s,9y7kqb,9y3dg3,9ykx49,9y3sdv,9y3n44,9y6qyy,9y4v3w,9y4rhx,9yd3qc,9y1nwx,9y0vxv,9y91k5,9yk27t,9y5x3v,9y1kcc,9y46j8,9y570w,9ydcmm,9y6ke2,9y1wet,9yhq2h,9yhwt0,9y7557,9y6sq3,9y4c5j,9y4xnq,9yhd5d,9y7cny,9y3ytd,9y51tf,9ykq8b,9y4upj,9yk4t7,9y6ygr,9ys123,9y79b0,9y6dr2,9y7fb0,9ye2q5,9ys9d9,9y7nxd,9y7j32,9y5ytn,9y5jx8,9y703d,9yh5sf,9y354k,9yknbw,9y7218,9yk9gz,9y4kjj,9wxc49,9y1esc,9y7v2z,9ykhdd,9yebc9,9y38g2,9y98ym,9y3rhz
2018-01-01 00:00:00,7.153,8.973,5.066,4.255,12.812,8.637,11.144,17.125,54.792,19.467,24.598,6.58,0.185,106.588,1.686,59.581,4.753,6.537,18.737,18.05,13.002,3.335,3.533,37.726,21.406,41.644,2.126,2.005,0.036,0.413,6.49,1.649,16.757,5.538,4.356,26.755,13.669,6.301,4.54,21.543,31.427,23.285,9.686,22.934,12.777,11.94,1.78,8.231,19.501,7.71,27.416,5.97,3.154,7.051,333.392,14.836,18.461,18.61,8.692,37.129,15.698,10.709,47.734,4.911,0.092,29.472,20.789,8.886,29.011,15.734,8.6,217.673,30.621,25.48,7.207,3.446,11.57
2018-01-01 01:00:00,25.679,14.401,21.445,5.893,25.921,15.493,52.499,40.032,116.911,76.463,72.756,23.344,0.291,237.271,9.566,140.417,11.384,17.186,56.345,33.21,41.222,6.647,3.679,68.634,50.843,83.887,3.555,3.709,0.075,0.83,20.041,7.388,36.861,13.574,14.905,51.491,23.234,13.784,16.03,76.505,70.437,53.284,31.947,52.3,35.285,39.452,3.691,26.617,59.927,28.169,81.378,12.843,7.935,20.343,692.62,40.992,43.254,46.336,20.763,82.845,62.161,43.334,108.292,17.454,0.195,74.42,42.521,32.025,67.269,22.885,17.419,495.908,78.994,55.613,13.769,6.7,18.522
2018-01-01 02:00:00,34.194,17.18,26.897,6.26,31.566,19.534,65.435,49.885,145.277,95.548,92.823,30.493,0.393,287.452,12.867,169.884,13.965,23.102,74.562,38.39,53.897,7.64,4.706,80.946,60.906,97.154,4.229,4.102,0.094,1.102,25.642,10.156,40.796,15.384,18.555,65.443,29.299,15.226,20.333,90.23,88.929,64.955,38.989,63.036,43.435,49.135,4.789,34.606,74.568,35.226,104.775,16.17,11.122,24.157,852.173,52.999,58.601,61.964,26.685,104.967,79.563,55.981,127.108,22.855,0.331,98.973,49.725,42.897,82.499,25.797,20.068,641.721,104.701,70.198,15.902,7.838,21.823
2018-01-01 03:00:00,37.138,19.457,29.15,6.662,35.138,21.381,70.18,53.884,155.878,99.441,101.205,29.998,0.467,305.886,13.532,178.371,14.335,25.687,81.441,40.7,58.115,8.009,5.81,85.506,68.627,99.918,4.546,4.404,0.106,1.246,27.319,11.137,43.861,15.607,19.359,70.442,31.067,18.519,21.982,94.011,93.789,67.781,40.074,67.585,47.103,50.338,5.133,36.653,80.585,36.473,110.942,16.51,11.996,25.416,911.132,55.763,63.743,66.701,29.782,114.298,85.366,58.828,133.87,23.667,0.379,110.206,52.328,45.384,85.917,25.48,20.455,697.908,115.023,75.702,16.825,8.411,22.759
2018-01-01 04:00:00,40.105,20.487,31.518,6.904,36.84,22.613,76.761,56.028,162.358,102.129,110.081,33.675,0.872,323.675,14.021,187.599,14.816,28.152,86.774,42.302,63.428,8.184,6.513,88.017,73.071,102.517,4.791,4.593,0.115,1.36,29.644,11.155,47.107,16.551,20.217,76.227,32.433,20.089,23.004,101.417,98.1,69.723,40.697,72.863,48.804,53.365,6.295,38.927,84.872,38.127,115.966,16.335,12.712,28.145,959.442,55.4,68.629,71.496,32.507,122.015,90.593,62.733,138.382,25.574,0.412,118.68,54.08,48.046,91.693,25.204,18.152,747.363,119.481,77.205,17.127,9.005,23.767
2018-01-01 05:00:00,42.865,20.986,32.8,7.24,36.895,23.755,81.434,59.638,172.917,103.572,118.241,36.544,0.966,346.042,16.729,201.197,15.408,30.652,91.129,43.586,68.691,8.283,7.156,93.277,77.54,108.976,5.035,4.641,0.138,1.485,31.508,11.741,50.504,17.131,21.202,80.074,34.06,20.423,24.068,107.118,101.981,72.375,42.547,74.767,49.286,56.055,6.667,41.439,89.766,39.089,123.475,16.918,12.887,29.044,1008.06,58.68,75.19,73.243,35.695,129.297,97.39,66.251,142.468,27.716,0.41,121.361,57.19,51.488,99.812,25.019,18.97,769.919,123.614,78.808,17.075,9.531,26.11
2018-01-01 06:00:00,46.278,21.79,34.417,7.139,41.572,24.939,85.807,63.523,182.327,108.525,122.286,34.579,0.748,359.793,17.536,213.94,16.086,32.176,97.592,46.374,74.483,9.394,8.519,95.094,81.149,117.025,5.628,4.683,0.148,2.188,31.958,12.022,55.683,17.543,22.692,82.751,35.405,21.049,28.362,114.278,104.31,78.088,43.377,76.334,51.589,57.773,6.905,45.856,96.148,40.3,132.374,16.762,13.283,30.008,1063.975,62.536,78.915,75.385,36.672,129.921,102.011,69.152,146.194,28.072,0.422,126.92,59.546,54.087,104.541,25.202,19.941,817.933,129.365,81.994,17.262,10.066,28.431
2018-01-01 07:00:00,47.729,22.019,34.36,7.897,44.457,26.673,90.821,69.41,182.797,114.122,125.295,34.842,0.763,365.254,18.844,235.605,16.496,31.459,105.152,53.176,78.343,9.907,9.987,99.058,83.748,120.513,5.699,4.557,0.152,2.251,34.619,12.026,60.768,17.989,26.022,80.311,38.447,21.814,28.998,121.274,105.257,79.252,44.236,77.956,52.377,62.194,6.949,47.687,101.602,42.231,141.773,16.895,14.13,31.346,1089.845,71.634,80.067,77.899,34.071,133.958,107.203,82.179,153.023,28.652,0.73,135.197,60.916,56.567,109.08,27.559,21.169,834.587,130.225,82.687,17.592,13.047,28.124
2018-01-01 08:00:00,46.273,21.522,35.366,7.888,44.224,27.075,94.429,73.614,185.221,115.399,124.666,36.087,0.948,372.493,18.278,245.454,17.305,31.417,109.633,56.111,78.953,8.689,9.981,101.992,84.799,120.689,5.096,4.583,0.162,2.316,34.457,12.103,61.672,17.767,25.579,83.43,38.426,22.72,28.656,125.9,106.256,78.062,40.217,78.612,52.973,63.839,7.197,46.854,104.608,42.601,142.46,17.598,16.433,30.523,1119.38,78.18,81.973,79.216,33.609,137.096,108.849,85.966,156.652,28.365,0.703,139.334,60.656,58.318,116.818,28.617,21.736,856.872,133.273,86.432,17.681,13.375,29.786
2018-01-01 09:00:00,43.921,21.735,36.069,7.111,44.917,30.955,98.085,70.536,184.371,113.548,125.085,40.129,0.687,365.469,15.352,235.108,17.707,30.822,108.813,55.807,81.691,8.807,9.542,100.442,84.87,119.138,5.012,4.237,0.156,2.325,32.843,12.202,62.709,17.898,24.632,84.571,37.556,23.011,29.513,121.928,106.342,76.721,42.033,79.62,51.038,63.039,7.272,46.296,102.594,41.45,141.432,17.406,16.464,29.434,1112.047,77.388,79.347,74.094,32.297,133.198,106.729,85.074,152.008,27.776,0.931,139.288,57.332,55.303,118.01,28.974,21.434,849.058,131.395,84.479,17.872,13.197,30.152
