timestamp,9ruq3f,9rbjp7,c210gm,c20jc4,c20mr5,9pxv8j,9rf7hz,9px9td,9rccc6,9r8qm8,c246qn,9rgm5u,9rekur,c216zt,9r8c22,9rcvfx,9r81hh,9r96zf,9rd7km,9rb9gk,9pzvuq,9rbv5d,9rsmey,9rbz6t,c24fqm,c20gn7,9rbprv,c244mb,c0pfxf,c25e65,c2h1dz,c2hemk,c21bfv,c207nu,9rfws8,c2033v
2018-01-01 00:00:00,0.006,0.057,0.277,0.021,0.008,0.035,0.007,0.016,0.091,0.039,0.002,0.0,0.005,0.003,0.252,0.0,0.014,0.061,0.001,0.27,0.047,0.09,0.01,0.22,0.01,3.902,0.007,0.0,0.014,0.009,0.003,0.0,0.013,0.349,0.0,0.059
2018-01-01 01:00:00,0.006,0.127,0.374,0.027,0.008,0.026,0.007,0.032,0.069,0.052,0.003,0.0,0.005,0.003,0.326,0.0,0.019,0.078,0.0,0.394,0.062,0.112,0.012,0.249,0.012,5.0,0.005,0.0,0.017,0.04,0.003,0.0,0.048,0.428,0.0,0.042
2018-01-01 02:00:00,0.004,0.079,0.296,0.024,0.01,0.023,0.004,0.027,0.07,0.05,0.003,0.001,0.005,0.002,0.299,0.0,0.015,0.073,0.004,0.31,0.057,0.07,0.01,0.177,0.0,4.858,0.014,0.0,0.016,0.012,0.004,0.0,0.003,0.424,0.0,0.025
2018-01-01 03:00:00,0.003,0.056,0.203,0.019,0.012,0.028,0.004,0.022,0.051,0.049,0.003,0.0,0.004,0.003,0.309,0.0,0.034,0.057,0.0,0.358,0.036,0.089,0.009,0.21,0.0,4.613,0.013,0.0,0.017,0.025,0.003,0.0,0.003,0.333,0.0,0.036
2018-01-01 04:00:00,0.001,0.029,0.146,0.013,0.002,0.016,0.004,0.007,0.049,0.046,0.003,0.0,0.004,0.001,0.246,0.0,0.054,0.061,0.0,0.23,0.039,0.056,0.01,0.139,0.0,4.477,0.001,0.0,0.008,0.01,0.003,0.0,0.002,0.263,0.0,0.028
2018-01-01 05:00:00,0.012,0.021,0.17,0.012,0.0,0.014,0.004,0.016,0.059,0.042,0.003,0.0,0.004,0.0,0.154,0.0,0.034,0.059,0.0,0.24,0.036,0.035,0.009,0.13,0.0,4.465,0.0,0.0,0.006,0.009,0.003,0.0,0.001,0.243,0.0,0.025
2018-01-01 06:00:00,0.001,0.029,0.161,0.012,0.002,0.015,0.004,0.007,0.066,0.05,0.003,0.0,0.004,0.0,0.11,0.0,0.025,0.049,0.0,0.225,0.025,0.041,0.009,0.121,0.0,4.35,0.02,0.0,0.005,0.014,0.003,0.0,0.001,0.283,0.0,0.021
2018-01-01 07:00:00,0.001,0.036,0.152,0.012,0.0,0.014,0.003,0.003,0.07,0.038,0.003,0.0,0.004,0.0,0.111,0.0,0.025,0.044,0.0,0.247,0.035,0.024,0.011,0.096,0.0,4.403,0.002,0.0,0.005,0.01,0.003,0.0,0.001,0.274,0.0,0.041
2018-01-01 08:00:00,0.001,0.04,0.176,0.008,0.005,0.014,0.005,0.003,0.104,0.034,0.003,0.0,0.004,0.0,0.117,0.009,0.02,0.075,0.0,0.25,0.029,0.024,0.011,0.113,0.0,5.026,0.0,0.0,0.006,0.011,0.005,0.0,0.001,0.286,0.0,0.031
2018-01-01 09:00:00,0.001,0.073,0.315,0.011,0.004,0.022,0.003,0.004,0.247,0.09,0.003,0.0,0.004,0.0,0.126,0.0,0.018,0.046,0.0,0.313,0.027,0.022,0.011,0.218,0.001,5.587,0.0,0.0,0.006,0.039,0.003,0.0,0.001,0.69,0.0,0.028
2018-01-01 10:00:00,0.003,0.082,0.309,0.015,0.005,0.039,0.003,0.002,0.28,0.095,0.003,0.0,0.005,0.0,0.228,0.0,0.014,0.048,0.004,0.294,0.047,0.011,0.011,0.213,0.0,6.246,0.0,0.0,0.04,0.039,0.012,0.0,0.001,0.352,0.0,0.034
2018-01-01 11:00:00,0.004,0.073,0.403,0.019,0.007,0.027,0.003,0.005,0.281,0.113,0.003,0.0,0.007,0.0,0.36,0.0,0.034,0.031,0.0,0.316,0.053,0.014,0.011,0.268,0.0,7.785,0.0,0.0,0.043,0.055,0.006,0.0,0.001,0.404,0.0,0.031
2018-01-01 12:00:00,0.019,0.07,0.538,0.056,0.022,0.149,0.003,0.016,0.294,0.149,0.003,0.0,0.011,0.0,0.574,0.014,0.034,0.035,0.039,0.473,0.147,0.005,0.013,0.401,0.0,9.611,0.001,0.0,0.032,0.046,0.012,0.0,0.001,0.653,0.0,0.074
2018-01-01 13:00:00,0.026,0.066,0.991,0.092,0.032,0.093,0.002,0.023,0.319,0.157,0.003,0.005,0.018,0.0,0.662,0.0,0.055,0.036,0.033,0.443,0.267,0.006,0.023,0.712,0.0,12.274,0.005,0.0,0.099,0.096,0.031,0.0,0.016,0.98,0.0,0.13
2018-01-01 14:00:00,0.011,0.086,1.283,0.105,0.041,0.165,0.011,0.025,0.307,0.215,0.003,0.001,0.025,0.0,0.755,0.0,0.042,0.088,0.062,0.43,0.311,0.03,0.044,1.171,0.0,13.672,0.022,0.0,0.169,0.07,0.043,0.0,0.009,1.441,0.0,0.176
2018-01-01 15:00:00,0.014,0.124,1.685,0.151,0.04,0.206,0.002,0.032,0.306,0.26,0.003,0.003,0.031,0.01,0.792,0.0,0.083,0.24,0.053,0.5,0.343,0.041,0.085,1.605,0.0,14.636,0.106,0.0,0.269,0.073,0.079,0.002,0.004,1.926,0.0,0.31
2018-01-01 16:00:00,0.015,0.224,2.176,0.233,0.05,0.342,0.002,0.05,0.35,0.282,0.003,0.004,0.041,0.0,0.773,0.0,0.095,0.452,0.075,0.693,0.348,0.082,0.108,1.934,0.0,16.24,0.194,0.0,0.364,0.067,0.101,0.006,0.0,2.557,0.0,0.428
2018-01-01 17:00:00,0.014,0.329,2.13,0.242,0.061,0.424,0.001,0.081,0.353,0.348,0.001,0.002,0.047,0.0,0.873,0.0,0.096,0.511,0.11,0.784,0.331,0.157,0.115,1.95,0.001,15.115,0.161,0.0,0.348,0.056,0.056,0.01,0.001,2.719,0.0,0.277
2018-01-01 18:00:00,0.011,0.332,1.491,0.209,0.055,0.31,0.002,0.111,0.324,0.326,0.001,0.0,0.039,0.0,0.624,0.0,0.144,0.505,0.12,0.779,0.316,0.112,0.105,1.248,0.0,10.047,0.113,0.0,0.227,0.088,0.015,0.007,0.0,1.729,0.0,0.11
2018-01-01 19:00:00,0.01,0.296,0.766,0.187,0.036,0.244,0.001,0.098,0.317,0.292,0.001,0.001,0.026,0.0,0.439,0.0,0.133,0.275,0.075,0.608,0.249,0.1,0.04,0.623,0.0,7.159,0.097,0.0,0.104,0.026,0.001,0.003,0.0,0.943,0.0,0.051
2018-01-01 20:00:00,0.006,0.198,0.476,0.084,0.017,0.163,0.001,0.044,0.259,0.193,0.001,0.002,0.015,0.0,0.393,0.009,0.123,0.111,0.022,0.344,0.128,0.054,0.013,0.366,0.0,6.436,0.071,0.0,0.069,0.027,0.0,0.001,0.001,0.831,0.0,0.039
