timestamp,9ruq3f,9rbjp7,c210gm,c20jc4,c20mr5,9pxv8j,9rf7hz,9px9td,9rccc6,9r8qm8,c246qn,9rgm5u,9rekur,c216zt,9r8c22,9rcvfx,9r81hh,9r96zf,9rd7km,9rb9gk,9pzvuq,9rbv5d,9rsmey,9rbz6t,c24fqm,c20gn7,9rbprv,c244mb,c0pfxf,c25e65,c2h1dz,c2hemk,c21bfv,c207nu,9rfws8,c2033v
2018-01-01 00:00:00,13.372,34.066,107.743,24.405,32.457,26.146,16.962,6.559,96.906,51.499,2.498,10.18,5.272,11.888,103.535,12.421,64.728,38.151,8.24,248.334,30.557,53.239,15.282,97.85,3.049,211.43,44.845,0.834,23.535,47.863,14.458,6.741,22.358,149.512,3.326,44.733
2018-01-01 01:00:00,19.331,48.511,155.769,35.971,47.959,42.409,25.145,10.033,143.489,72.874,3.468,13.13,7.877,16.69,144.571,19.296,91.12,53.441,11.541,338.284,44.036,74.993,22.648,143.045,4.806,299.494,64.11,1.27,31.565,66.093,21.012,9.589,30.604,218.922,4.694,68.106
2018-01-01 02:00:00,20.621,50.615,168.168,39.269,51.493,46.555,28.294,12.72,157.43,75.651,3.666,14.423,9.336,17.56,148.129,22.533,93.709,54.593,11.642,366.822,46.273,79.402,24.568,156.557,5.565,302.135,67.679,1.427,31.192,69.208,23.614,10.503,33.596,221.344,3.862,73.404
2018-01-01 03:00:00,17.47,45.345,134.664,25.398,48.218,27.474,22.207,6.978,120.368,57.808,3.517,13.035,7.722,15.257,86.3,17.82,39.494,40.149,8.699,359.293,23.342,67.041,26.338,128.961,4.575,237.112,55.382,0.792,19.99,53.029,17.398,7.893,26.999,203.689,2.879,54.166
2018-01-01 04:00:00,16.122,42.178,126.135,22.229,44.18,22.791,20.257,4.192,109.882,50.647,3.44,11.737,7.097,13.687,64.963,16.317,21.037,35.182,7.891,350.499,16.525,64.01,27.851,124.435,4.427,208.33,52.816,0.35,17.717,49.198,13.987,6.01,24.524,195.491,2.761,49.499
2018-01-01 05:00:00,16.936,46.697,145.409,25.09,43.296,21.28,21.75,5.077,121.167,52.725,3.498,11.651,7.266,12.237,92.115,17.282,22.739,34.844,8.508,373.32,18.45,71.05,30.648,141.662,6.438,240.416,54.688,0.237,20.834,54.068,14.318,5.704,25.415,216.84,3.012,51.928
2018-01-01 06:00:00,16.918,50.436,155.588,25.611,45.051,19.881,22.753,7.598,125.237,58.605,3.346,12.233,7.977,13.643,87.522,17.759,23.575,35.918,8.931,386.012,19.89,79.807,34.521,152.189,6.705,271.377,57.336,0.305,23.033,56.598,14.673,5.744,25.628,243.282,3.315,65.912
2018-01-01 07:00:00,17.227,50.737,165.379,29.317,49.824,25.849,23.618,8.533,127.455,63.997,3.213,12.756,8.81,15.617,76.945,17.423,26.328,38.14,10.043,397.295,22.571,83.773,32.518,166.683,6.37,295.554,63.196,0.379,25.759,64.844,13.586,5.188,29.209,270.301,3.383,76.023
2018-01-01 08:00:00,18.341,51.165,177.524,35.177,48.502,28.966,24.374,7.5,129.6,67.08,3.474,13.571,11.653,13.72,82.699,20.375,31.861,40.691,10.837,422.024,32.62,85.645,34.944,175.586,5.399,333.33,66.809,0.438,26.236,66.15,14.205,6.859,30.906,278.099,3.52,75.486
2018-01-01 09:00:00,18.927,55.175,209.212,37.724,53.462,33.184,24.891,6.375,133.997,78.936,3.431,13.435,11.642,12.464,109.903,21.391,36.686,53.999,10.903,462.957,34.916,95.947,34.224,209.935,5.648,372.952,74.588,0.78,27.316,65.409,17.143,6.274,32.588,278.818,3.218,82.268
2018-01-01 10:00:00,20.638,62.663,229.511,36.735,54.104,34.793,22.948,7.955,138.459,81.286,3.198,16.483,9.941,12.311,127.941,20.475,34.61,56.037,10.517,480.324,38.83,104.638,33.532,226.207,5.65,408.268,80.593,0.751,30.365,68.79,19.036,7.644,35.324,286.312,3.107,83.884
2018-01-01 11:00:00,19.698,65.49,240.746,36.446,54.724,32.54,23.373,7.068,147.193,82.647,3.741,15.923,7.409,14.324,127.455,20.35,31.3,48.837,9.662,464.908,37.161,102.868,32.688,231.321,5.679,411.266,78.593,0.683,32.711,68.926,17.516,7.829,36.582,283.202,4.566,80.554
2018-01-01 12:00:00,13.942,60.728,221.557,30.605,50.337,25.421,24.368,5.039,151.752,74.216,3.542,12.459,6.132,15.433,104.508,18.984,22.535,35.844,6.471,408.756,29.827,105.04,26.344,208.553,4.927,357.741,70.293,0.786,28.798,66.429,13.842,6.245,36.157,238.59,4.679,68.892
2018-01-01 13:00:00,9.831,58.403,168.28,21.151,45.058,17.67,22.79,4.855,144.917,70.921,3.221,10.117,4.675,13.961,72.402,18.886,20.741,28.388,4.016,368.944,21.841,96.84,21.06,158.624,4.052,299.712,60.2,1.7,19.119,55.631,11.224,5.284,34.796,181.448,4.391,49.711
2018-01-01 14:00:00,7.995,52.482,132.396,15.915,39.751,17.294,21.644,3.57,136.657,62.867,3.274,8.608,3.588,14.862,51.722,18.248,18.242,25.744,2.337,359.181,17.148,80.628,16.435,125.89,4.412,253.087,41.355,1.306,13.563,45.202,8.976,4.214,33.619,126.57,4.16,37.595
2018-01-01 15:00:00,6.244,43.024,97.587,13.218,36.312,15.492,23.115,2.27,146.049,58.832,3.217,6.309,2.431,15.834,45.183,18.681,13.952,18.789,1.463,337.059,12.411,64.543,13.578,97.724,5.483,223.869,27.109,1.067,10.771,40.389,8.409,3.819,31.257,89.797,3.783,28.14
2018-01-01 16:00:00,4.516,33.662,63.913,9.897,31.902,10.095,24.275,2.806,146.724,52.719,3.273,5.091,1.969,16.161,40.557,18.065,9.309,10.57,1.048,282.25,9.056,52.023,12.368,67.298,5.044,163.507,22.45,0.99,7.692,36.833,6.544,2.688,28.933,70.364,3.722,22.109
2018-01-01 17:00:00,3.361,27.525,43.588,8.256,19.712,6.643,23.26,2.112,139.859,41.7,3.381,6.455,1.626,16.114,28.603,16.746,9.072,6.977,0.764,238.437,6.766,42.476,10.515,49.609,4.734,127.987,18.186,0.935,5.428,39.287,4.606,1.923,29.176,61.575,3.776,18.348
2018-01-01 18:00:00,3.815,23.861,43.301,8.23,16.977,6.713,23.888,1.323,140.268,38.537,3.266,5.887,2.868,15.41,34.815,18.577,8.127,5.811,0.739,208.057,5.877,37.09,11.332,50.159,4.758,145.815,17.444,0.855,5.2,42.12,5.066,2.119,29.659,63.98,3.835,20.961
2018-01-01 19:00:00,6.004,23.868,59.464,9.161,22.7,8.315,23.116,1.033,142.519,40.693,3.291,5.999,3.961,15.078,66.891,19.172,7.7,7.371,1.061,215.928,6.68,38.725,13.187,63.435,5.07,179.942,19.472,0.85,6.485,48.261,6.265,3.08,29.944,89.431,3.987,25.051
2018-01-01 20:00:00,9.666,27.692,80.076,11.404,30.688,10.839,22.88,1.519,143.756,44.713,3.35,7.336,4.941,15.424,58.827,20.244,8.805,13.205,2.723,255.779,10.82,44.993,15.781,84.288,4.619,215.873,25.182,0.84,8.505,53.448,8.403,3.809,29.815,120.393,4.15,31.283
2018-01-01 21:00:00,11.206,34.214,96.291,13.615,33.115,12.655,24.894,1.662,145.295,47.965,3.249,9.868,5.896,15.101,49.571,19.915,9.153,18.257,3.875,301.048,13.619,48.966,16.926,100.98,4.097,245.476,30.701,0.71,12.467,57.809,10.13,4.629,29.44,129.684,4.156,35.131
2018-01-01 22:00:00,12.741,38.458,113.694,14.241,38.099,15.434,25.234,2.088,147.879,52.017,3.473,11.911,6.883,15.422,64.696,18.93,11.178,23.845,4.328,346.518,14.989,59.663,20.913,113.463,4.313,256.139,43.615,0.773,14.483,59.538,12.624,5.714,27.83,141.846,4.17,39.798
2018-01-01 23:00:00,14.257,42.383,124.986,15.229,46.202,17.399,23.695,2.331,144.436,58.188,3.183,13.635,6.39,15.225,59.96,16.8,13.708,28.793,5.179,378.525,15.275,64.229,20.716,123.644,4.201,259.644,51.506,0.915,16.611,57.688,15.025,6.216,28.16,164.657,4.32,45.259
