timestamp,9ruq3f,9rbjp7,c210gm,c20jc4,c20mr5,9pxv8j,9rf7hz,9px9td,9rccc6,9r8qm8,c246qn,9rgm5u,9rekur,c216zt,9r8c22,9rcvfx,9r81hh,9r96zf,9rd7km,9rb9gk,9pzvuq,9rbv5d,9rsmey,9rbz6t,c24fqm,c20gn7,9rbprv,c244mb,c0pfxf,c25e65,c2h1dz,c2hemk,c21bfv,c207nu,9rfws8,c2033v
2018-01-01 00:00:00,21.905,70.841,285.802,45.201,54.996,53.654,29.251,18.727,188.233,105.061,3.299,13.243,8.637,20.73,203.613,23.306,104.66,68.597,12.453,441.672,58.154,103.821,26.551,241.522,6.56,646.927,70.991,1.367,38.063,76.631,25.51,11.308,35.031,393.571,4.251,87.291
2018-01-01 01:00:00,29.594,91.684,370.528,58.265,75.441,78.372,38.631,26.11,255.89,134.631,4.777,16.967,12.198,27.478,263.484,29.689,133.406,91.584,17.194,567.769,75.217,139.092,36.542,315.185,8.35,824.691,95.737,1.977,49.329,100.543,35.722,15.477,45.862,506.824,6.07,116.331
2018-01-01 02:00:00,29.368,88.541,343.846,57.626,72.688,75.705,39.574,26.129,253.036,124.442,4.921,17.365,14.035,25.36,246.423,30.325,132.262,86.493,16.682,554.737,74.034,131.709,35.611,292.468,8.647,753.892,92.526,1.976,46.135,98.987,41.148,15.301,46.522,454.396,7.069,113.055
2018-01-01 03:00:00,24.369,73.46,271.126,39.321,61.41,48.837,31.734,16.373,192.989,95.985,4.512,15.551,11.192,20.53,159.659,23.629,64.443,61.584,11.862,501.449,44.486,107.162,36.198,234.454,6.751,613.479,75.503,1.211,29.487,75.39,26.51,11.764,36.53,388.067,3.354,84.445
2018-01-01 04:00:00,22.138,68.896,248.701,35.009,56.407,39.788,29.23,12.754,176.906,87.281,4.19,13.783,9.737,18.656,129.888,21.925,43.287,55.295,10.934,483.628,37.508,101.258,37.045,223.829,6.493,558.507,71.823,0.703,26.064,70.252,21.571,9.614,34.479,369.052,3.103,76.223
2018-01-01 05:00:00,23.421,71.148,265.109,37.364,55.04,37.824,28.508,12.308,181.537,87.101,4.228,13.627,9.721,17.182,153.791,22.617,42.063,53.628,11.633,500.265,37.391,107.118,40.282,235.971,8.499,576.152,72.563,0.566,29.101,72.534,21.588,8.347,33.921,379.12,3.47,77.581
2018-01-01 06:00:00,23.382,75.258,275.544,37.393,56.459,36.107,29.098,14.053,188.394,92.677,4.08,14.315,10.164,18.389,145.578,22.898,43.029,55.775,11.967,510.173,37.569,116.434,45.339,245.688,8.798,600.308,75.69,0.647,31.582,74.819,21.976,8.573,33.462,406.806,3.71,91.683
2018-01-01 07:00:00,24.096,77.268,294.885,42.949,62.99,42.995,30.881,15.245,188.959,101.444,4.018,15.21,11.12,21.02,137.57,23.37,47.396,58.989,13.53,529.469,39.888,122.228,44.331,265.118,8.472,645.038,83.327,0.75,35.219,84.269,21.433,8.405,37.723,441.955,4.127,103.837
2018-01-01 08:00:00,26.381,81.967,330.528,51.568,64.416,50.939,33.14,15.619,202.52,111.724,4.547,16.484,14.326,19.713,155.855,27.978,56.496,65.861,14.852,578.502,52.548,131.967,49.562,290.239,7.562,730.425,90.565,0.854,37.072,88.081,23.53,10.353,41.586,477.38,4.308,107.791
2018-01-01 09:00:00,28.76,93.335,396.787,55.643,71.727,60.483,36.899,19.905,225.655,131.79,4.458,17.034,14.667,20.859,210.599,31.265,71.418,87.282,15.911,666.641,59.099,157.708,50.099,361.06,8.841,872.809,104.762,1.315,42.401,97.27,29.798,10.962,45.371,536.701,4.339,123.978
2018-01-01 10:00:00,31.53,107.683,457.505,56.58,77.076,68.512,37.471,21.321,250.746,143.528,4.707,21.006,14.093,23.234,245.955,31.792,78.2,94.908,16.962,722.198,68.08,175.833,49.509,407.84,9.99,1004.427,117.998,1.256,51.757,105.599,34.368,12.796,50.226,594.17,4.208,138.298
2018-01-01 11:00:00,32.68,110.774,479.325,58.503,78.968,68.643,37.973,20.736,262.035,148.741,5.167,19.838,12.19,24.49,247.686,32.469,74.981,88.839,16.263,715.514,68.857,176.307,48.578,424.586,9.038,1028.583,120.424,1.196,53.053,107.953,32.745,12.774,51.834,604.444,5.644,135.662
2018-01-01 12:00:00,25.197,111.496,465.445,53.705,74.77,56.982,39.357,20.031,270.904,142.463,4.57,16.4,11.623,25.588,226.22,30.396,65.981,74.654,13.415,660.27,64.869,185.314,42.646,406.024,8.789,995.394,108.556,1.301,46.678,102.9,27.631,11.685,53.216,570.36,5.588,128.139
2018-01-01 13:00:00,20.91,107.038,415.153,43.062,69.777,48.601,36.785,18.953,273.235,136.956,4.232,13.541,9.418,24.206,200.403,29.083,66.688,68.489,10.224,617.275,56.494,178.417,40.407,352.855,9.868,966.938,101.779,2.557,36.751,94.929,23.944,11.063,52.587,505.049,5.33,106.785
2018-01-01 14:00:00,18.082,100.284,382.262,39.856,64.016,50.409,34.705,16.51,257.881,135.62,4.188,12.424,7.839,25.576,182.958,28.706,66.478,62.377,9.816,621.288,50.258,161.228,36.074,318.105,10.036,920.83,79.841,2.034,29.526,84.697,22.739,9.361,50.282,456.442,4.862,95.277
2018-01-01 15:00:00,15.706,92.396,346.336,37.009,59.031,50.46,37.283,14.87,273.166,130.583,4.225,10.821,6.698,25.844,166.801,28.546,62.909,54.468,6.925,596.148,45.322,144.36,34.606,289.516,9.955,874.588,61.931,1.671,27.716,77.497,21.505,8.319,46.175,416.885,4.612,84.553
2018-01-01 16:00:00,13.556,83.032,302.476,30.709,57.583,42.439,37.039,15.558,265.117,117.607,4.367,8.948,6.678,26.327,153.389,28.003,57.076,46.496,6.419,532.255,38.868,127.493,28.862,251.067,9.306,798.452,56.692,1.587,25.188,73.037,18.51,6.482,44.899,383.231,4.804,74.939
