timestamp,dr14ff,dppnhp,dpr2pt,dpnz7w,dr05tc,dr4jbj,dr0q6h,dr3tep,dr4t6z,dpr0v2,dr0n2y,dr27sx,dr60v2,dr28sx,dr45km,dprd2e,dr21nr,dr2dxz,dr39t2,dprj1j,dr1h3z,dr1mus,dr47h6,dr25dj,dprp97,dpp75e,dprsht,dr0epk,dr07n3,dpnfwq,dr0tcy,dppz22,dprf40,dr0ywd,dr65xr,dr1gbc,dpqc5y,dr1tsj,dr4ppc,dr3fpp,dr35nw,dr2juh,dpqfvy,dr0ybz,dr63tf,dr4kub,dr33rm,dr4ry6,dr32qk,dr1jcf,dr4ed7,dr6ehe,dr2te2,dr1z99,dr1py5,dppg3w,dr3edz,dr6jgj,dr3j9g,dr31n8,dpr78b,dprtgx,dpnuty,dr6kyt,dppmrd,dr3unr,dr17jg
2018-01-01 00:00:00,0.112,10.317,0.103,0.135,0.081,0.392,0.271,0.02,1.356,0.215,0.153,0.0,0.069,0.042,0.865,0.014,0.074,0.058,0.052,0.074,0.265,0.831,1.676,0.035,0.379,0.171,0.014,0.057,0.04,0.0,0.003,0.088,0.072,0.001,0.149,0.57,0.103,0.174,0.369,0.417,0.43,0.018,0.154,0.089,0.115,2.778,0.047,0.366,0.061,0.002,12.413,0.089,0.0,0.166,0.022,0.086,0.021,0.041,0.017,0.027,0.044,0.036,0.215,0.017,0.988,0.027,0.293
2018-01-01 01:00:00,0.148,13.71,0.112,0.175,0.101,0.484,0.372,0.028,1.766,0.269,0.196,0.0,0.108,0.053,1.033,0.051,0.096,0.08,0.065,0.095,0.307,1.133,2.181,0.052,0.481,0.236,0.015,0.071,0.019,0.0,0.004,0.117,0.094,0.001,0.186,0.758,0.124,0.209,0.476,0.552,0.555,0.024,0.193,0.118,0.141,3.206,0.062,0.463,0.081,0.001,15.978,0.112,0.0,0.214,0.025,0.114,0.031,0.06,0.027,0.037,0.057,0.048,0.281,0.024,1.246,0.035,0.284
2018-01-01 02:00:00,0.142,14.038,0.111,0.185,0.096,0.49,0.264,0.025,1.707,0.275,0.189,0.0,0.112,0.051,0.987,0.059,0.097,0.08,0.063,0.097,0.322,1.185,2.169,0.052,0.472,0.25,0.004,0.068,0.016,0.0,0.003,0.127,0.096,0.001,0.165,0.729,0.116,0.205,0.506,0.547,0.547,0.024,0.195,0.118,0.136,3.082,0.061,0.496,0.082,0.0,15.882,0.113,0.0,0.205,0.023,0.114,0.033,0.069,0.025,0.039,0.056,0.048,0.295,0.025,1.236,0.034,0.289
2018-01-01 03:00:00,0.137,14.18,0.115,0.184,0.096,0.484,0.211,0.025,1.326,0.273,0.191,0.0,0.107,0.05,0.893,0.061,0.101,0.079,0.062,0.094,0.319,1.261,2.136,0.049,0.471,0.253,0.0,0.09,0.022,0.002,0.003,0.122,0.106,0.014,0.173,0.718,0.155,0.246,0.525,0.592,0.539,0.024,0.196,0.113,0.136,3.093,0.061,0.477,0.083,0.0,15.364,0.112,0.0,0.178,0.026,0.114,0.055,0.072,0.022,0.041,0.057,0.071,0.297,0.023,1.252,0.033,0.282
2018-01-01 04:00:00,0.132,14.165,0.117,0.185,0.098,0.46,0.196,0.025,1.599,0.305,0.19,0.0,0.117,0.049,0.976,0.059,0.103,0.078,0.065,0.092,0.333,1.35,2.145,0.048,0.452,0.243,0.0,0.098,0.022,0.025,0.003,0.129,0.105,0.015,0.153,0.734,0.153,0.262,0.526,0.602,0.533,0.024,0.19,0.11,0.134,3.025,0.06,0.457,0.083,0.0,15.963,0.111,0.0,0.169,0.022,0.114,0.059,0.07,0.027,0.041,0.056,0.072,0.295,0.021,1.236,0.031,0.272
2018-01-01 05:00:00,0.129,14.42,0.122,0.194,0.101,0.467,0.22,0.026,1.583,0.302,0.191,0.0,0.108,0.056,0.992,0.062,0.104,0.076,0.06,0.099,0.341,1.48,2.173,0.045,0.474,0.268,0.0,0.08,0.024,0.032,0.004,0.13,0.093,0.004,0.194,0.754,0.16,0.275,0.56,0.626,0.534,0.025,0.182,0.121,0.149,3.318,0.064,0.482,0.086,0.001,16.445,0.111,0.0,0.186,0.02,0.115,0.056,0.07,0.028,0.052,0.058,0.053,0.32,0.029,1.247,0.03,0.287
2018-01-01 06:00:00,0.118,15.137,0.12,0.186,0.105,0.473,0.202,0.03,1.22,0.427,0.167,0.0,0.104,0.068,0.952,0.061,0.099,0.079,0.063,0.086,0.347,1.547,2.243,0.041,0.474,0.263,0.0,0.078,0.023,0.026,0.005,0.131,0.088,0.001,0.195,0.672,0.15,0.253,0.548,0.744,0.57,0.025,0.18,0.126,0.128,3.502,0.073,0.468,0.094,0.002,17.028,0.108,0.0,0.178,0.021,0.115,0.055,0.054,0.028,0.042,0.061,0.048,0.353,0.022,1.246,0.032,0.426
2018-01-01 07:00:00,0.116,16.165,0.12,0.193,0.103,0.506,0.203,0.029,1.525,0.596,0.17,0.0,0.099,0.101,1.171,0.062,0.103,0.083,0.064,0.091,0.335,1.715,2.269,0.047,0.495,0.265,0.0,0.109,0.023,0.022,0.005,0.126,0.087,0.008,0.265,0.702,0.151,0.251,0.605,0.899,0.64,0.025,0.186,0.123,0.217,3.682,0.149,0.445,0.115,0.001,18.099,0.11,0.0,0.18,0.024,0.115,0.054,0.049,0.03,0.041,0.061,0.049,0.342,0.02,1.334,0.034,0.579
2018-01-01 08:00:00,0.122,17.423,0.113,0.199,0.093,0.527,0.201,0.033,1.535,0.796,0.181,0.0,0.104,0.087,1.055,0.062,0.106,0.088,0.057,0.095,0.356,1.745,2.397,0.053,0.6,0.264,0.0,0.095,0.015,0.022,0.001,0.129,0.09,0.0,0.302,0.71,0.154,0.251,1.004,1.07,1.402,0.025,0.188,0.126,0.215,3.811,0.162,0.461,0.082,0.0,19.233,0.109,0.0,0.174,0.032,0.117,0.049,0.049,0.027,0.042,0.066,0.049,0.331,0.016,1.731,0.035,0.661
2018-01-01 09:00:00,0.134,19.575,0.108,0.205,0.084,0.547,0.242,0.068,1.33,0.95,0.188,0.0,0.113,0.102,1.262,0.067,0.107,0.09,0.048,0.108,0.356,2.134,2.516,0.045,0.619,0.27,0.0,0.088,0.01,0.016,0.0,0.111,0.087,0.0,0.455,0.857,0.15,0.256,1.107,1.122,1.784,0.024,0.153,0.149,0.357,4.218,0.427,0.504,0.071,0.0,20.974,0.102,0.0,0.17,0.033,0.126,0.044,0.049,0.024,0.06,0.073,0.085,0.33,0.015,2.553,0.037,0.724
