timestamp,dr14ff,dppnhp,dpr2pt,dpnz7w,dr05tc,dr4jbj,dr0q6h,dr3tep,dr4t6z,dpr0v2,dr0n2y,dr27sx,dr60v2,dr28sx,dr45km,dprd2e,dr21nr,dr2dxz,dr39t2,dprj1j,dr1h3z,dr1mus,dr47h6,dr25dj,dprp97,dpp75e,dprsht,dr0epk,dr07n3,dpnfwq,dr0tcy,dppz22,dprf40,dr0ywd,dr65xr,dr1gbc,dpqc5y,dr1tsj,dr4ppc,dr3fpp,dr35nw,dr2juh,dpqfvy,dr0ybz,dr63tf,dr4kub,dr33rm,dr4ry6,dr32qk,dr1jcf,dr4ed7,dr6ehe,dr2te2,dr1z99,dr1py5,dppg3w,dr3edz,dr6jgj,dr3j9g,dr31n8,dpr78b,dprtgx,dpnuty,dr6kyt,dppmrd,dr3unr,dr17jg
2018-01-01 00:00:00,88.228,413.197,12.493,78.513,34.851,210.495,50.503,18.759,453.04,103.426,50.412,11.216,55.29,111.64,404.579,5.664,15.846,36.753,45.644,32.596,192.548,263.623,225.648,9.357,65.978,73.129,2.281,122.371,10.606,12.877,25.91,47.075,16.107,14.305,113.562,444.717,67.195,73.809,307.302,216.574,61.806,17.327,76.349,47.941,227.708,558.784,25.986,217.582,67.081,31.848,549.84,72.573,5.305,98.722,31.123,42.575,7.281,36.296,21.087,33.822,17.463,9.933,128.57,62.889,136.16,27.073,204.959
2018-01-01 01:00:00,140.684,583.315,14.756,109.629,44.099,298.139,61.978,29.34,644.653,141.209,62.85,15.091,78.519,144.573,588.1,7.092,21.35,44.425,62.391,43.356,252.379,357.614,311.618,13.289,90.024,101.601,2.888,163.113,14.185,18.352,31.651,69.45,20.974,19.144,158.556,624.67,92.847,104.405,424.088,305.332,84.216,24.845,105.298,63.586,324.415,794.218,38.819,299.006,95.884,43.146,801.367,102.693,8.283,140.911,44.635,52.047,9.827,52.88,31.974,46.221,23.807,13.558,182.126,90.266,179.268,38.103,266.988
2018-01-01 02:00:00,149.591,584.602,15.816,109.743,44.843,306.779,62.419,29.027,664.107,145.875,64.88,15.186,79.333,147.897,604.682,6.975,22.877,44.397,63.791,43.341,259.421,360.321,327.393,12.516,92.127,112.939,3.006,173.665,14.86,20.019,32.833,75.024,21.978,19.669,161.473,619.247,93.394,104.4,440.997,310.888,89.594,26.259,108.198,64.983,332.669,822.221,40.294,310.655,99.272,45.98,843.019,104.045,8.653,143.432,46.912,51.366,8.438,54.105,33.23,48.872,23.96,13.589,189.828,89.862,184.543,37.286,281.489
2018-01-01 03:00:00,154.728,595.475,17.605,113.346,44.193,316.12,63.15,31.076,710.964,153.964,68.313,15.29,81.624,150.124,627.713,7.454,23.699,46.12,68.95,45.139,283.215,375.769,337.527,12.393,90.665,118.788,3.124,184.713,16.797,20.674,32.636,74.436,22.681,20.213,164.259,630.772,93.61,107.542,465.361,326.521,96.953,26.006,110.951,67.165,343.217,855.73,42.031,328.576,106.058,49.099,862.172,110.939,8.982,149.065,48.516,53.487,8.65,54.884,34.757,54.814,22.004,13.658,194.77,91.363,188.764,38.957,301.903
2018-01-01 04:00:00,160.237,624.449,18.221,120.357,46.08,320.125,67.562,32.545,741.632,160.581,72.271,15.539,86.441,153.342,651.354,9.07,24.624,47.063,72.888,47.205,312.915,397.777,352.979,12.411,89.577,117.888,3.363,187.738,16.645,20.443,32.7,74.933,22.608,20.792,174.541,670.303,96.447,115.155,489.096,346.799,102.153,23.453,114.429,69.608,344.209,905.257,42.934,345.917,109.882,53.141,879.174,114.642,9.337,155.67,53.004,57.31,9.719,55.517,36.412,59.214,22.503,14.056,204.275,92.511,192.479,40.93,337.833
2018-01-01 05:00:00,160.454,632.498,19.693,127.508,48.898,340.355,69.161,32.4,764.153,168.27,74.707,15.668,90.624,160.893,678.397,9.524,26.568,48.61,79.989,47.06,323.292,426.411,361.971,12.667,95.62,122.717,3.437,198.614,17.282,21.597,32.457,77.886,23.417,23.208,185.336,697.46,101.055,118.043,503.781,357.117,112.601,24.077,117.011,71.806,354.142,950.588,48.07,350.052,114.402,54.212,937.501,119.075,9.318,159.504,58.481,59.053,10.061,56.841,35.868,63.449,22.945,15.912,211.344,93.992,200.904,42.395,356.441
2018-01-01 06:00:00,159.27,632.69,20.03,128.045,54.817,386.624,72.55,37.976,782.852,185.891,77.6,15.895,93.89,169.524,728.12,7.443,26.268,56.771,84.901,49.125,342.43,451.303,378.801,12.513,104.113,134.878,3.37,205.55,17.576,22.733,35.108,80.724,22.875,26.292,208.743,742.55,107.405,123.552,530.572,382.689,117.293,24.629,125.443,75.945,374.572,988.93,47.595,364.282,120.149,61.008,991.932,127.648,10.946,165.697,64.204,60.815,9.464,64.086,37.831,67.033,22.882,15.43,218.744,102.258,209.763,43.379,387.392
2018-01-01 07:00:00,161.946,615.09,18.956,123.409,55.987,391.426,78.572,39.624,793.102,184.537,81.044,16.016,97.175,180.971,750.768,7.334,25.939,58.737,89.314,50.212,372.711,464.092,389.248,13.462,104.279,140.837,3.53,208.466,17.514,22.822,34.583,82.74,22.637,27.631,211.791,763.992,112.107,126.103,545.758,396.338,116.036,26.579,127.815,77.26,379.783,1002.845,51.76,376.366,120.634,64.453,999.763,129.814,10.582,168.246,61.995,64.671,9.85,69.986,37.411,72.668,22.863,15.054,226.427,104.744,217.97,42.816,419.886
2018-01-01 08:00:00,154.678,617.829,17.348,123.945,56.611,377.399,79.051,38.655,754.527,172.96,81.164,16.022,91.853,177.758,723.217,7.166,27.209,57.822,86.688,49.856,349.074,459.146,371.542,13.864,107.819,140.579,3.662,194.31,16.498,22.687,32.74,78.837,23.687,27.342,210.301,761.137,108.816,128.08,526.561,394.299,113.988,28.513,128.145,75.528,364.855,974.899,60.754,367.454,117.976,61.373,961.196,126.503,10.017,165.242,55.615,66.371,10.057,69.546,36.487,73.221,23.048,15.294,220.482,106.89,208.358,43.959,394.473
2018-01-01 09:00:00,132.244,586.654,16.311,119.895,54.788,352.45,77.841,35.28,690.095,162.135,76.412,15.619,85.349,175.177,644.032,7.023,27.08,56.25,79.102,51.02,298.301,418.282,334.87,12.91,109.05,131.313,3.625,173.86,15.588,21.244,32.909,73.652,23.15,26.196,193.632,712.284,102.21,119.152,505.501,359.363,104.224,26.413,118.597,78.859,351.507,899.104,50.903,346.042,109.181,51.596,884.187,113.804,10.833,150.725,49.711,62.574,9.076,65.86,33.453,63.577,21.072,15.421,204.519,107.098,194.163,40.353,338.633
2018-01-01 10:00:00,108.978,532.933,16.519,110.229,51.872,328.902,73.776,31.54,634.988,151.933,74.224,14.242,82.033,158.681,577.498,7.489,23.765,52.594,70.102,51.335,264.789,367.675,307.535,10.494,106.06,114.946,3.498,162.119,14.033,19.155,32.221,66.022,21.835,22.544,181.477,635.974,93.349,108.792,490.552,324.569,94.382,23.513,102.514,71.953,333.682,828.264,38.184,336.634,96.79,43.753,819.784,108.823,10.339,138.818,44.363,61.485,8.506,61.601,30.286,55.104,19.271,15.308,189.377,100.92,179.75,34.608,298.377
