timestamp,dr14ff,dppnhp,dpr2pt,dpnz7w,dr05tc,dr4jbj,dr0q6h,dr3tep,dr4t6z,dpr0v2,dr0n2y,dr27sx,dr60v2,dr28sx,dr45km,dprd2e,dr21nr,dr2dxz,dr39t2,dprj1j,dr1h3z,dr1mus,dr47h6,dr25dj,dprp97,dpp75e,dprsht,dr0epk,dr07n3,dpnfwq,dr0tcy,dppz22,dprf40,dr0ywd,dr65xr,dr1gbc,dpqc5y,dr1tsj,dr4ppc,dr3fpp,dr35nw,dr2juh,dpqfvy,dr0ybz,dr63tf,dr4kub,dr33rm,dr4ry6,dr32qk,dr1jcf,dr4ed7,dr6ehe,dr2te2,dr1z99,dr1py5,dppg3w,dr3edz,dr6jgj,dr3j9g,dr31n8,dpr78b,dprtgx,dpnuty,dr6kyt,dppmrd,dr3unr,dr17jg
2018-01-01 00:00:00,113.926,952.347,31.617,135.211,48.518,332.891,97.495,35.137,646.428,164.606,98.654,13.833,80.801,150.566,582.091,16.408,40.284,50.925,66.351,58.792,275.942,383.498,381.039,17.713,158.515,115.496,6.67,161.837,14.688,21.433,38.632,73.517,29.082,20.052,186.024,596.17,97.269,111.591,436.215,332.971,104.578,29.585,115.212,63.799,278.118,864.806,42.303,304.687,97.616,41.561,1077.385,93.476,12.381,142.002,42.885,64.556,10.423,45.95,34.061,51.322,32.158,23.767,200.503,84.458,259.827,35.443,340.695
2018-01-01 01:00:00,180.529,1300.239,39.244,183.344,63.311,460.247,123.037,50.514,905.755,220.308,125.442,18.428,111.316,195.16,831.041,23.589,52.65,63.204,89.816,73.457,354.563,511.114,520.716,24.932,214.095,158.225,7.754,215.881,22.319,29.621,48.745,102.271,37.948,27.237,255.536,829.773,132.491,157.843,595.711,461.906,139.945,42.231,157.52,84.905,391.074,1206.935,60.044,411.532,136.71,55.743,1506.572,132.152,17.543,196.778,60.343,81.557,13.812,66.842,49.953,68.696,43.466,29.011,274.515,119.701,349.275,48.767,439.009
2018-01-01 02:00:00,183.245,1286.274,40.188,184.186,63.381,462.874,118.311,49.341,914.475,221.378,123.014,18.522,111.371,197.706,843.13,22.679,53.422,62.286,90.307,72.117,360.489,508.138,528.341,23.716,211.519,167.681,7.736,224.279,21.947,29.931,48.626,106.551,38.323,27.746,256.293,811.96,132.527,152.719,610.237,458.409,144.578,43.364,159.13,86.313,398.479,1219.475,61.55,421.095,139.12,58.399,1537.443,130.86,17.823,196.421,61.95,78.271,12.365,67.886,51.19,70.437,43.126,27.448,281.654,116.52,344.078,47.733,451.281
2018-01-01 03:00:00,188.29,1290.928,42.55,186.66,59.666,469.901,119.713,51.393,961.036,230.777,125.821,18.641,113.808,199.791,859.558,26.316,53.883,63.718,95.447,74.365,382.492,523.446,537.09,22.9,208.377,172.802,8.155,235.545,22.026,30.658,48.031,106.357,38.896,28.046,258.618,817.141,133.005,155.715,634.92,468.507,150.481,41.312,161.554,87.264,408.899,1252.127,63.105,438.212,146.113,61.419,1555.685,137.908,18.464,202.295,63.533,81.024,12.636,68.766,53.055,77.049,41.45,27.508,286.351,118.119,345.314,49.904,470.57
2018-01-01 04:00:00,194.971,1335.706,43.294,196.524,62.146,481.007,125.129,53.185,1002.013,241.169,132.129,19.304,120.104,205.156,886.936,22.873,55.89,66.665,100.496,77.495,417.78,551.585,560.096,23.353,210.345,174.106,8.255,240.218,21.888,31.225,48.042,107.73,39.542,28.563,272.342,866.35,136.837,165.617,665.733,494.406,157.304,38.624,167.378,89.266,412.332,1313.667,64.613,460.748,152.314,66.851,1592.314,142.309,18.771,209.611,69.822,87.01,14.077,69.442,54.827,83.543,42.381,28.32,299.261,120.642,354.723,52.58,515.436
2018-01-01 05:00:00,199.802,1405.468,47.581,209.091,67.961,519.65,132.559,54.368,1049.041,257.969,138.68,19.583,127.972,216.919,936.51,23.978,61.557,69.558,111.343,80.684,437.695,596.627,588.273,23.796,225.793,186.159,9.297,259.175,23.46,33.401,49.706,114.022,42.114,31.851,295.16,917.476,145.714,176.23,700.428,518.237,173.859,41.072,176.866,93.784,429.701,1399.983,70.313,480.271,161.222,69.891,1715.452,150.166,19.875,219.516,77.485,91.987,14.908,73.132,55.838,92.98,44.412,32.253,312.923,124.827,376.992,55.144,557.702
2018-01-01 06:00:00,206.622,1546.569,54.373,226.777,77.251,607.528,148.208,65.939,1125.006,291.158,155.568,19.759,136.588,240.808,1044.083,24.245,69.257,80.128,123.34,87.119,482.4,650.885,652.127,26.324,262.666,211.868,10.154,281.994,24.452,36.763,57.917,123.311,46.549,38.04,338.779,1018.123,160.28,197.593,770.596,583.306,190.244,46.488,193.75,101.504,468.778,1526.789,72.956,525.012,177.688,81.108,1908.783,166.796,22.995,243.588,89.718,102.755,15.147,86.035,63.605,98.87,49.314,34.038,341.874,140.19,420.227,60.224,636.951
2018-01-01 07:00:00,220.667,1659.307,60.975,242.375,84.691,656.741,166.709,71.298,1184.296,307.803,167.721,20.202,145.937,264.719,1120.7,28.144,75.45,86.501,130.341,96.571,542.26,695.387,698.065,33.381,280.968,224.492,11.099,298.066,26.413,39.763,61.577,133.417,50.0,40.728,361.064,1086.234,175.627,215.668,831.433,632.066,200.866,50.71,204.802,107.303,490.27,1626.76,81.974,560.369,189.885,88.276,2055.455,171.67,24.246,261.802,92.068,110.239,16.553,94.492,66.021,106.192,52.347,37.662,363.999,147.414,463.958,62.429,713.649
2018-01-01 08:00:00,216.202,1710.823,60.173,245.136,88.738,652.366,169.987,72.736,1178.602,303.079,172.905,20.518,144.496,267.182,1116.385,28.807,77.136,89.118,131.392,101.494,524.824,709.066,700.984,34.016,295.011,230.768,11.407,288.002,26.192,41.12,63.701,132.307,51.69,41.255,368.511,1099.055,176.585,218.895,835.941,640.807,204.468,55.394,204.753,109.976,485.262,1637.766,94.313,562.225,190.171,86.193,2083.342,170.394,26.388,264.726,91.519,114.97,18.04,94.531,70.069,111.013,53.393,41.369,368.711,153.283,458.745,64.328,706.094
2018-01-01 09:00:00,188.907,1749.391,64.023,245.021,85.292,637.595,179.988,69.737,1131.521,299.18,177.403,20.478,142.887,269.706,1048.929,30.674,79.322,88.944,127.702,109.054,482.007,680.968,680.745,32.275,309.305,222.612,13.289,277.248,23.948,37.947,63.453,123.802,53.184,41.443,366.679,1062.844,170.668,205.865,841.37,622.22,198.659,54.723,198.465,113.242,473.286,1595.821,89.788,551.647,181.815,77.255,2051.251,159.056,27.457,252.728,83.794,109.645,18.133,93.811,65.316,103.741,51.455,41.974,362.137,156.795,462.037,63.182,653.356
