timestamp,drmm3b,drmj54,drmk1g,drmn5n,drm5d0
2018-01-01 00:00:00,0.106,0.175,0.083,0.733,0.24
2018-01-01 01:00:00,0.113,0.203,0.112,0.947,0.299
2018-01-01 02:00:00,0.113,0.206,0.107,0.93,0.295
2018-01-01 03:00:00,0.116,0.183,0.108,0.92,0.307
2018-01-01 04:00:00,0.117,0.138,0.111,0.907,0.333
2018-01-01 05:00:00,0.117,0.138,0.113,0.904,0.314
2018-01-01 06:00:00,0.116,0.14,0.104,1.047,0.313
2018-01-01 07:00:00,0.117,0.18,0.129,1.084,0.525
2018-01-01 08:00:00,0.112,0.183,0.146,1.255,0.6
2018-01-01 09:00:00,0.093,0.279,0.313,1.417,0.722
2018-01-01 10:00:00,0.097,0.327,0.416,1.583,0.875
2018-01-01 11:00:00,0.119,0.379,0.448,1.705,0.967
2018-01-01 12:00:00,0.125,0.466,0.476,1.522,1.027
2018-01-01 13:00:00,0.126,0.456,0.494,1.586,0.691
2018-01-01 14:00:00,0.125,0.415,0.488,1.472,0.799
2018-01-01 15:00:00,0.124,0.407,0.479,1.306,0.531
2018-01-01 16:00:00,0.149,0.434,0.428,1.309,0.429
2018-01-01 17:00:00,0.141,0.429,0.248,1.264,0.413
2018-01-01 18:00:00,0.123,0.435,0.176,1.285,0.337
2018-01-01 19:00:00,0.115,0.368,0.208,1.198,0.336
2018-01-01 20:00:00,0.12,0.385,0.172,1.205,0.334
2018-01-01 21:00:00,0.117,0.305,0.165,1.176,0.33
2018-01-01 22:00:00,0.119,0.287,0.159,1.102,0.325
2018-01-01 23:00:00,0.117,0.249,0.157,0.998,0.322
2018-01-02 00:00:00,0.144,0.223,0.123,0.985,0.32
2018-01-02 01:00:00,0.115,0.186,0.114,0.946,0.314
2018-01-02 02:00:00,0.113,0.189,0.106,0.931,0.318
2018-01-02 03:00:00,0.117,0.16,0.11,0.903,0.335
2018-01-02 04:00:00,0.117,0.128,0.11,0.869,0.398
2018-01-02 05:00:00,0.118,0.137,0.112,0.874,0.351
2018-01-02 06:00:00,0.117,0.129,0.103,1.034,0.362
2018-01-02 07:00:00,0.119,0.163,0.132,1.096,0.645
2018-01-02 08:00:00,0.118,0.176,0.149,1.301,0.707
2018-01-02 09:00:00,0.108,0.277,0.318,1.445,0.878
2018-01-02 10:00:00,0.114,0.323,0.423,1.647,1.054
2018-01-02 11:00:00,0.121,0.345,0.453,1.767,1.102
2018-01-02 12:00:00,0.122,0.456,0.472,1.5,1.137
2018-01-02 13:00:00,0.115,0.476,0.484,1.566,0.781
2018-01-02 14:00:00,0.111,0.385,0.433,1.389,0.837
2018-01-02 15:00:00,0.112,0.378,0.429,1.247,0.581
2018-01-02 16:00:00,0.12,0.425,0.423,1.219,0.491
2018-01-02 17:00:00,0.13,0.422,0.244,1.195,0.525
2018-01-02 18:00:00,0.123,0.399,0.171,1.155,0.422
2018-01-02 19:00:00,0.117,0.338,0.182,1.172,0.393
2018-01-02 20:00:00,0.118,0.307,0.183,1.154,0.403
2018-01-02 21:00:00,0.12,0.271,0.174,1.14,0.387
2018-01-02 22:00:00,0.112,0.234,0.146,1.078,0.369
2018-01-02 23:00:00,0.113,0.198,0.146,0.886,0.363
2018-01-03 00:00:00,0.139,0.177,0.113,0.878,0.352
2018-01-03 01:00:00,0.111,0.153,0.1,0.829,0.335
2018-01-03 02:00:00,0.11,0.154,0.094,0.816,0.33
2018-01-03 03:00:00,0.112,0.134,0.104,0.793,0.339
2018-01-03 04:00:00,0.113,0.113,0.099,0.786,0.395
