timestamp,drmm3b,drmj54,drmk1g,drmn5n,drm5d0
2018-01-01 00:00:00,13.351,40.164,23.905,153.023,59.875
2018-01-01 01:00:00,17.372,57.314,35.514,203.486,87.751
2018-01-01 02:00:00,19.538,58.896,36.824,207.626,91.459
2018-01-01 03:00:00,21.061,60.095,37.327,210.646,93.87
2018-01-01 04:00:00,22.107,62.733,37.386,216.069,91.498
2018-01-01 05:00:00,23.659,70.923,39.249,222.311,100.166
2018-01-01 06:00:00,25.594,75.09,40.074,231.538,107.955
2018-01-01 07:00:00,31.013,77.105,40.225,232.542,106.996
2018-01-01 08:00:00,32.216,72.557,39.526,224.949,99.776
2018-01-01 09:00:00,22.612,68.697,38.537,209.218,94.216
2018-01-01 10:00:00,19.671,61.189,35.226,190.346,84.333
2018-01-01 11:00:00,18.853,55.843,33.06,169.845,77.781
2018-01-01 12:00:00,18.256,54.266,29.425,160.982,78.09
2018-01-01 13:00:00,17.719,51.534,28.497,151.595,79.456
2018-01-01 14:00:00,17.501,49.221,27.455,145.585,75.822
2018-01-01 15:00:00,17.827,49.782,26.773,149.802,79.752
2018-01-01 16:00:00,18.961,54.029,28.405,163.892,87.787
2018-01-01 17:00:00,24.565,54.44,31.252,169.047,89.685
2018-01-01 18:00:00,25.023,55.623,31.471,172.687,88.729
2018-01-01 19:00:00,23.164,54.71,31.624,179.387,86.884
2018-01-01 20:00:00,23.048,50.719,31.203,183.632,88.681
2018-01-01 21:00:00,22.834,50.382,29.726,186.854,80.662
2018-01-01 22:00:00,17.089,53.537,30.015,200.495,79.171
2018-01-01 23:00:00,17.239,52.752,29.959,211.156,78.519
2018-01-02 00:00:00,19.422,53.602,29.984,212.1,72.788
2018-01-02 01:00:00,18.102,55.58,30.242,208.318,72.07
2018-01-02 02:00:00,19.324,55.812,30.16,208.777,77.399
2018-01-02 03:00:00,19.561,54.342,31.454,201.734,75.742
2018-01-02 04:00:00,19.372,54.899,32.31,197.2,72.486
2018-01-02 05:00:00,20.986,63.171,32.898,204.045,79.212
2018-01-02 06:00:00,21.06,65.963,34.803,206.75,91.563
2018-01-02 07:00:00,26.659,65.131,35.883,202.681,100.031
2018-01-02 08:00:00,28.077,60.567,33.975,194.671,95.204
2018-01-02 09:00:00,17.468,56.452,31.118,178.635,80.671
2018-01-02 10:00:00,15.319,49.631,28.189,164.555,71.856
2018-01-02 11:00:00,14.803,45.015,27.152,143.69,70.218
2018-01-02 12:00:00,14.205,42.157,24.848,135.492,68.928
2018-01-02 13:00:00,14.17,40.571,23.212,127.613,64.349
2018-01-02 14:00:00,14.332,40.83,22.207,122.793,61.655
2018-01-02 15:00:00,14.136,40.665,21.903,125.478,59.265
2018-01-02 16:00:00,14.642,42.784,21.619,127.886,65.3
2018-01-02 17:00:00,20.991,44.478,21.964,135.288,67.298
2018-01-02 18:00:00,21.148,47.006,21.179,144.515,65.39
2018-01-02 19:00:00,19.432,47.1,21.223,148.068,66.022
2018-01-02 20:00:00,19.088,41.912,21.072,144.831,66.596
2018-01-02 21:00:00,17.834,39.217,20.222,143.216,62.418
2018-01-02 22:00:00,12.97,41.072,20.653,145.296,62.401
2018-01-02 23:00:00,12.382,38.935,21.85,149.329,63.829
2018-01-03 00:00:00,13.849,39.946,23.006,148.406,60.964
2018-01-03 01:00:00,12.134,39.726,23.555,146.068,59.288
2018-01-03 02:00:00,13.12,39.419,24.008,149.627,62.846
2018-01-03 03:00:00,14.285,39.939,25.282,152.145,63.041
2018-01-03 04:00:00,15.562,43.867,25.856,157.643,59.914
2018-01-03 05:00:00,17.607,54.526,26.377,162.62,61.401
2018-01-03 06:00:00,17.456,55.329,27.533,167.813,67.903
2018-01-03 07:00:00,22.999,52.675,27.501,165.424,67.739
2018-01-03 08:00:00,22.605,48.34,24.163,150.532,57.865
2018-01-03 09:00:00,12.462,40.317,19.887,124.747,48.75
2018-01-03 10:00:00,10.218,33.693,17.339,93.763,44.931
2018-01-03 11:00:00,9.208,29.001,15.913,74.876,42.673
2018-01-03 12:00:00,8.567,27.755,13.689,68.967,43.339
2018-01-03 13:00:00,7.846,25.948,12.563,61.786,42.573
2018-01-03 14:00:00,8.165,26.157,12.647,58.749,37.795
2018-01-03 15:00:00,8.548,26.612,12.405,64.089,36.494
2018-01-03 16:00:00,8.781,28.663,13.233,77.02,42.994
2018-01-03 17:00:00,16.437,32.064,15.871,93.858,51.995
2018-01-03 18:00:00,16.962,36.024,18.185,106.476,53.956
2018-01-03 19:00:00,15.544,36.551,20.606,108.456,51.902
2018-01-03 20:00:00,15.376,33.509,20.785,110.308,52.526
2018-01-03 21:00:00,15.623,33.363,19.956,117.812,46.07
2018-01-03 22:00:00,11.161,34.478,19.062,127.087,42.132
2018-01-03 23:00:00,9.507,32.605,17.686,129.006,35.855
2018-01-04 00:00:00,10.785,31.83,17.935,123.052,34.969
2018-01-04 01:00:00,9.643,32.788,18.328,120.384,38.369
2018-01-04 02:00:00,10.389,31.943,18.748,122.636,45.066
2018-01-04 03:00:00,11.714,32.929,20.791,128.102,45.914
2018-01-04 04:00:00,12.449,35.289,22.682,137.151,47.929
2018-01-04 05:00:00,14.004,44.874,23.32,140.229,57.774
2018-01-04 06:00:00,14.758,45.768,23.949,150.046,64.869
2018-01-04 07:00:00,22.45,46.975,24.409,153.432,69.259
2018-01-04 08:00:00,23.716,50.629,23.449,154.093,73.299
2018-01-04 09:00:00,16.768,52.32,23.387,156.035,73.992
2018-01-04 10:00:00,16.937,52.054,26.787,160.912,77.903
2018-01-04 11:00:00,18.157,53.628,27.991,156.355,81.334
2018-01-04 12:00:00,17.777,52.54,25.194,147.213,84.252
2018-01-04 13:00:00,17.509,52.106,24.937,144.91,82.541
2018-01-04 14:00:00,17.208,49.897,25.757,136.2,79.551
2018-01-04 15:00:00,15.845,45.822,25.434,132.803,70.492
2018-01-04 16:00:00,14.675,44.054,25.273,132.138,71.061
2018-01-04 17:00:00,20.387,43.37,25.755,133.124,73.008
2018-01-04 18:00:00,19.687,44.684,25.306,134.223,69.265
2018-01-04 19:00:00,18.864,45.843,24.607,133.976,70.718
2018-01-04 20:00:00,19.074,42.232,23.379,135.026,75.263
2018-01-04 21:00:00,18.939,42.271,24.096,141.31,75.392
2018-01-04 22:00:00,12.418,39.836,24.683,143.071,74.925
2018-01-04 23:00:00,10.553,35.272,23.173,140.743,71.676
2018-01-05 00:00:00,12.762,36.833,22.417,143.285,70.59
2018-01-05 01:00:00,11.128,36.113,24.409,141.852,66.317
2018-01-05 02:00:00,12.561,37.343,25.104,141.147,70.936
2018-01-05 03:00:00,12.97,36.373,25.778,142.105,74.33
2018-01-05 04:00:00,14.371,40.494,26.016,152.402,69.362
2018-01-05 05:00:00,18.32,55.213,27.546,173.5,78.137
2018-01-05 06:00:00,20.191,60.649,30.314,195.95,87.47
2018-01-05 07:00:00,27.946,65.002,33.771,201.339,94.769
2018-01-05 08:00:00,28.391,61.903,33.27,197.427,92.095
2018-01-05 09:00:00,18.828,59.917,32.264,189.492,88.367
2018-01-05 10:00:00,19.49,59.286,30.412,178.653,84.959
2018-01-05 11:00:00,19.986,57.312,30.836,168.981,82.052
2018-01-05 12:00:00,20.774,58.715,31.122,170.276,86.565
2018-01-05 13:00:00,21.333,59.204,29.355,170.887,85.96
2018-01-05 14:00:00,20.125,55.088,27.657,168.293,81.715
2018-01-05 15:00:00,20.039,53.492,27.159,177.031,85.087
2018-01-05 16:00:00,22.181,60.036,27.723,193.446,101.976
2018-01-05 17:00:00,28.722,65.533,29.372,200.758,106.011
2018-01-05 18:00:00,31.95,72.797,32.493,205.464,102.424
2018-01-05 19:00:00,32.035,73.929,33.151,210.994,102.206
2018-01-05 20:00:00,31.212,67.542,33.125,219.313,107.778
2018-01-05 21:00:00,29.508,64.926,34.515,224.88,108.392
2018-01-05 22:00:00,21.301,63.497,33.262,224.012,105.057
2018-01-05 23:00:00,21.245,60.977,33.505,232.001,100.497
2018-01-06 00:00:00,23.476,62.437,33.044,231.932,96.174
2018-01-06 01:00:00,20.737,60.28,32.78,227.492,93.873
2018-01-06 02:00:00,21.175,57.22,33.101,229.078,96.168
2018-01-06 03:00:00,21.975,56.934,34.996,221.61,97.367
2018-01-06 04:00:00,21.826,58.622,35.872,220.175,94.805
2018-01-06 05:00:00,23.64,65.896,34.723,225.474,101.073
2018-01-06 06:00:00,24.686,69.268,35.683,225.773,105.775
2018-01-06 07:00:00,29.916,71.894,36.478,230.181,105.552
2018-01-06 08:00:00,31.199,70.29,35.408,232.802,109.984
2018-01-06 09:00:00,31.292,69.866,33.487,223.725,104.821
2018-01-06 10:00:00,29.665,68.026,32.695,209.191,96.221
2018-01-06 11:00:00,26.514,63.733,31.615,196.126,85.924
2018-01-06 12:00:00,25.058,61.992,29.301,196.821,80.71
2018-01-06 13:00:00,24.956,61.148,28.655,193.825,77.725
2018-01-06 14:00:00,24.937,58.719,28.642,193.255,73.025
2018-01-06 15:00:00,25.551,59.523,29.969,195.548,72.599
2018-01-06 16:00:00,26.758,62.806,31.421,201.566,82.262
2018-01-06 17:00:00,24.666,62.668,33.27,205.968,87.413
