timestamp,drmm3b,drmj54,drmk1g,drmn5n,drm5d0
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,10.0,10.0,13.5,11.0,10.5
2018-01-01 08:00:00,105.0,105.0,128.5,110.5,108.5
2018-01-01 09:00:00,257.0,257.0,270.5,279.0,280.0
2018-01-01 10:00:00,370.5,370.5,380.0,402.5,405.0
2018-01-01 11:00:00,418.0,418.0,438.0,468.0,469.0
2018-01-01 12:00:00,422.5,422.5,438.5,468.5,467.5
2018-01-01 13:00:00,364.0,364.0,380.5,414.0,420.5
2018-01-01 14:00:00,267.5,267.5,280.5,297.0,302.0
2018-01-01 15:00:00,131.5,131.5,144.0,132.0,130.5
2018-01-01 16:00:00,19.5,19.5,23.5,19.5,20.0
2018-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 07:00:00,10.0,10.0,12.5,10.0,9.0
2018-01-02 08:00:00,106.5,106.5,126.0,108.0,108.5
2018-01-02 09:00:00,248.0,248.0,264.5,267.5,281.5
2018-01-02 10:00:00,347.0,347.0,373.0,384.0,392.5
2018-01-02 11:00:00,390.5,390.5,428.0,413.5,447.5
2018-01-02 12:00:00,394.5,394.5,430.5,416.5,412.5
2018-01-02 13:00:00,335.0,335.0,333.5,364.5,360.0
2018-01-02 14:00:00,116.5,116.5,153.5,138.0,259.5
2018-01-02 15:00:00,69.5,69.5,72.0,74.0,113.5
2018-01-02 16:00:00,14.5,14.5,15.0,15.5,20.5
2018-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 07:00:00,9.5,9.5,10.5,10.0,15.0
2018-01-03 08:00:00,113.5,113.5,121.0,106.0,131.0
2018-01-03 09:00:00,287.0,287.0,283.5,282.0,284.5
2018-01-03 10:00:00,400.5,400.5,399.5,397.5,403.0
2018-01-03 11:00:00,466.5,466.5,446.0,445.5,438.5
2018-01-03 12:00:00,404.0,404.0,420.5,424.0,450.0
2018-01-03 13:00:00,347.5,347.5,410.0,348.0,396.0
2018-01-03 14:00:00,239.0,239.0,238.0,247.5,242.0
2018-01-03 15:00:00,127.5,127.5,113.5,135.0,128.0
2018-01-03 16:00:00,23.5,23.5,16.0,18.5,26.0
2018-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 07:00:00,7.5,7.5,2.5,6.0,1.5
2018-01-04 08:00:00,72.0,72.0,16.5,51.5,9.0
2018-01-04 09:00:00,106.5,106.5,23.0,95.0,30.0
2018-01-04 10:00:00,165.5,165.5,28.5,148.0,31.0
2018-01-04 11:00:00,208.0,208.0,41.5,184.0,73.0
2018-01-04 12:00:00,166.5,166.5,48.5,190.5,71.5
2018-01-04 13:00:00,256.5,256.5,40.5,236.0,60.0
2018-01-04 14:00:00,218.5,218.5,68.0,213.5,103.0
2018-01-04 15:00:00,106.0,106.0,52.5,110.5,51.5
2018-01-04 16:00:00,16.0,16.0,7.5,16.5,9.0
2018-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-05 04:00:00,0.0,0.0,0.0,0.0,0.0
2018-01-05 05:00:00,0.0,0.0,0.0,0.0,0.0
