timestamp,drmm3b,drmj54,drmk1g,drmn5n,drm5d0
2018-01-01 00:00:00,25.945,103.362,52.057,350.188,99.223
2018-01-01 01:00:00,34.751,140.05,74.292,470.262,140.788
2018-01-01 02:00:00,36.644,137.281,75.659,462.551,142.771
2018-01-01 03:00:00,36.991,134.863,75.001,461.361,143.646
2018-01-01 04:00:00,38.952,139.296,75.801,471.889,141.987
2018-01-01 05:00:00,42.61,152.945,80.107,501.609,158.549
2018-01-01 06:00:00,50.928,173.633,87.094,558.908,178.803
2018-01-01 07:00:00,57.825,191.414,94.868,608.877,188.119
2018-01-01 08:00:00,60.89,196.497,97.793,624.452,190.308
2018-01-01 09:00:00,51.384,201.452,101.748,625.198,183.488
2018-01-01 10:00:00,51.185,190.795,97.291,621.44,175.23
2018-01-01 11:00:00,49.289,183.307,96.542,609.116,168.522
2018-01-01 12:00:00,45.693,178.401,87.831,587.545,174.16
2018-01-01 13:00:00,43.046,174.026,81.971,559.449,167.661
2018-01-01 14:00:00,44.473,169.633,79.448,540.714,158.388
2018-01-01 15:00:00,45.688,165.676,78.622,541.043,158.909
2018-01-01 16:00:00,46.851,182.275,85.661,589.722,176.972
2018-01-01 17:00:00,56.671,190.83,96.556,638.056,183.351
2018-01-01 18:00:00,57.038,198.15,101.597,654.97,192.435
2018-01-01 19:00:00,57.95,198.858,101.528,661.698,190.62
2018-01-01 20:00:00,56.175,188.292,97.321,637.672,187.753
2018-01-01 21:00:00,54.69,178.683,92.609,608.329,170.599
2018-01-01 22:00:00,44.738,167.672,85.907,574.288,155.45
2018-01-01 23:00:00,41.829,149.983,76.514,526.201,143.075
2018-01-02 00:00:00,40.553,138.878,69.589,500.026,127.291
2018-01-02 01:00:00,35.679,134.588,67.885,474.632,122.192
2018-01-02 02:00:00,35.71,130.795,66.141,463.631,125.954
2018-01-02 03:00:00,35.504,128.508,67.322,451.772,123.124
2018-01-02 04:00:00,35.06,129.511,69.164,448.943,122.293
