timestamp,dnj6ex,djvyy7,djy5se,dnjhrs,djykgs,djyj4y,djy85f,djzhut,djyx9f,djz4sg,dnjzqu,dnnm35,dnnvpc,djyzw8,djydu9,dnp5k3,dnpe9u,djyu4q,dnj8nu,dnn79v,dnp3d4,djzw5e,dnjqt8,dnjd71,djy63x,dnpbfu,djy2kr,dnneq5,dnnt7d,dnjsjv,dnnfmf,dnn0ye,dnj2yf,dnp9fk,dnpkfg,dnjgp4,dnhvtv,djyw1q,dnjnmw,dnn3x4,dnjckn,dnjwwp,dnnbfy,dnjvqg,djzr61,dnnqbw
2018-01-01 00:00:00,0.001,0.053,0.0,0.092,0.013,0.014,0.164,0.056,0.0,0.279,0.01,0.002,0.001,0.012,0.005,0.009,0.239,0.005,0.0,0.0,0.156,0.027,0.49,0.041,0.001,1.002,0.013,0.002,0.006,0.013,0.0,0.071,0.0,0.002,0.001,0.018,0.009,0.016,0.043,1.617,0.0,0.083,0.064,0.003,0.001,0.608
2018-01-01 01:00:00,0.001,0.051,0.0,0.046,0.0,0.017,0.141,0.05,0.0,0.28,0.004,0.001,0.01,0.016,0.004,0.001,0.243,0.037,0.001,0.0,0.202,0.017,0.617,0.061,0.0,1.277,0.02,0.014,0.003,0.01,0.0,0.064,0.0,0.0,0.001,0.002,0.007,0.011,0.068,2.15,0.004,0.068,0.097,0.005,0.001,0.809
2018-01-01 02:00:00,0.0,0.079,0.0,0.043,0.0,0.011,0.124,0.042,0.0,0.275,0.001,0.001,0.001,0.019,0.002,0.016,0.242,0.006,0.0,0.0,0.187,0.005,0.602,0.046,0.0,1.091,0.021,0.0,0.002,0.012,0.0,0.052,0.0,0.0,0.0,0.0,0.012,0.016,0.065,2.236,0.0,0.035,0.077,0.001,0.015,0.78
2018-01-01 03:00:00,0.0,0.089,0.0,0.055,0.0,0.011,0.099,0.025,0.0,0.236,0.001,0.001,0.014,0.016,0.004,0.0,0.243,0.039,0.0,0.0,0.183,0.005,0.518,0.045,0.0,1.045,0.02,0.0,0.001,0.005,0.0,0.031,0.0,0.0,0.0,0.0,0.005,0.006,0.058,2.027,0.0,0.032,0.061,0.003,0.001,0.777
2018-01-01 04:00:00,0.0,0.063,0.0,0.03,0.0,0.014,0.159,0.025,0.0,0.242,0.001,0.001,0.001,0.016,0.011,0.002,0.316,0.013,0.0,0.0,0.208,0.004,0.593,0.043,0.0,1.087,0.02,0.0,0.003,0.005,0.0,0.029,0.0,0.0,0.019,0.004,0.018,0.006,0.064,1.98,0.0,0.047,0.054,0.0,0.0,0.784
2018-01-01 05:00:00,0.0,0.073,0.0,0.03,0.0,0.002,0.167,0.037,0.0,0.293,0.004,0.001,0.008,0.016,0.003,0.001,0.238,0.01,0.005,0.0,0.187,0.005,0.672,0.045,0.0,1.211,0.019,0.0,0.001,0.006,0.0,0.032,0.0,0.0,0.0,0.002,0.004,0.022,0.068,1.752,0.0,0.036,0.047,0.0,0.0,0.804
2018-01-01 06:00:00,0.0,0.117,0.0,0.084,0.0,0.04,0.124,0.036,0.0,0.413,0.003,0.001,0.009,0.016,0.003,0.001,0.336,0.004,0.01,0.0,0.239,0.003,0.621,0.05,0.0,1.426,0.019,0.0,0.004,0.036,0.0,0.061,0.007,0.006,0.0,0.0,0.04,0.05,0.132,2.372,0.0,0.058,0.076,0.0,0.0,0.87
2018-01-01 07:00:00,0.0,0.122,0.0,0.135,0.0,0.066,0.152,0.054,0.0,0.752,0.004,0.001,0.001,0.03,0.003,0.001,0.011,0.009,0.0,0.0,0.295,0.003,0.722,0.06,0.0,2.832,0.02,0.0,0.01,0.049,0.0,0.143,0.0,0.021,0.0,0.0,0.05,0.054,0.222,2.608,0.0,0.138,0.113,0.0,0.003,0.889
2018-01-01 08:00:00,0.0,0.14,0.0,0.169,0.011,0.08,0.182,0.08,0.0,0.988,0.0,0.001,0.001,0.035,0.003,0.001,0.011,0.002,0.034,0.0,0.346,0.003,0.873,0.062,0.0,3.335,0.02,0.009,0.001,0.057,0.0,0.099,0.0,0.026,0.0,0.007,0.034,0.049,0.242,3.343,0.0,0.18,0.141,0.0,0.0,0.936
2018-01-01 09:00:00,0.0,0.136,0.0,0.212,0.0,0.083,0.409,0.068,0.0,1.506,0.0,0.001,0.007,0.041,0.033,0.002,0.012,0.009,0.0,0.0,0.448,0.003,1.01,0.046,0.0,6.38,0.02,0.0,0.008,0.056,0.0,0.216,0.0,0.031,0.0,0.035,0.035,0.036,0.302,3.777,0.0,0.312,0.158,0.0,0.0,1.027
2018-01-01 10:00:00,0.004,0.135,0.0,0.273,0.0,0.087,0.546,0.054,0.0,1.871,0.0,0.001,0.011,0.039,0.013,0.006,0.011,0.01,0.0,0.0,0.59,0.002,1.221,0.066,0.001,8.557,0.018,0.0,0.018,0.046,0.0,0.298,0.0,0.034,0.0,0.0,0.037,0.04,0.315,4.246,0.0,0.408,0.17,0.0,0.0,1.217
