timestamp,dnj6ex,djvyy7,djy5se,dnjhrs,djykgs,djyj4y,djy85f,djzhut,djyx9f,djz4sg,dnjzqu,dnnm35,dnnvpc,djyzw8,djydu9,dnp5k3,dnpe9u,djyu4q,dnj8nu,dnn79v,dnp3d4,djzw5e,dnjqt8,dnjd71,djy63x,dnpbfu,djy2kr,dnneq5,dnnt7d,dnjsjv,dnnfmf,dnn0ye,dnj2yf,dnp9fk,dnpkfg,dnjgp4,dnhvtv,djyw1q,dnjnmw,dnn3x4,dnjckn,dnjwwp,dnnbfy,dnjvqg,djzr61,dnnqbw
2018-01-01 00:00:00,33.483,185.674,12.213,217.744,24.088,31.998,204.531,201.165,21.23,527.782,74.414,42.528,58.416,54.379,54.388,99.864,46.75,178.804,17.171,19.441,241.706,108.204,517.605,94.779,23.892,594.207,20.173,85.18,100.629,80.841,21.345,287.908,14.241,66.071,35.614,39.315,100.173,145.761,127.139,382.589,31.829,402.614,173.808,43.284,42.613,181.025
2018-01-01 01:00:00,41.031,216.499,14.408,284.383,29.563,38.671,234.17,247.731,26.736,649.583,94.504,53.864,73.77,68.699,63.218,122.544,59.048,221.112,20.528,25.463,289.451,137.701,666.112,112.263,29.241,748.544,22.89,105.905,128.617,98.112,25.949,365.08,18.06,80.775,43.26,50.217,127.062,177.074,160.218,479.774,39.492,509.254,209.827,53.162,52.378,225.136
2018-01-01 02:00:00,41.34,223.121,13.677,288.625,29.706,39.746,276.457,248.789,26.488,656.198,97.607,53.101,78.133,70.351,66.723,120.266,60.367,223.614,21.979,26.416,285.635,149.505,672.16,112.153,32.513,788.057,25.321,106.801,135.396,105.06,25.286,383.662,18.837,78.475,44.082,54.495,129.244,182.618,162.75,496.284,39.615,524.511,218.363,54.961,56.155,233.913
2018-01-01 03:00:00,41.11,231.171,13.677,297.349,30.3,41.535,305.481,259.874,27.818,681.7,101.379,53.552,78.556,71.002,72.957,127.831,60.774,229.412,23.58,27.464,297.415,161.452,699.121,110.847,36.561,833.251,27.246,106.067,135.085,108.645,24.742,401.075,18.499,80.61,44.9,58.187,132.221,189.638,163.28,521.677,40.853,547.358,223.312,56.165,58.769,243.393
2018-01-01 04:00:00,42.759,230.439,14.489,304.759,34.408,44.658,295.036,271.556,28.31,691.542,101.862,54.573,80.007,73.459,70.086,130.083,63.187,240.153,24.275,28.876,303.046,162.941,726.6,112.349,35.454,844.137,26.091,110.67,139.706,108.51,26.296,404.323,17.855,81.831,45.035,58.928,137.395,189.92,172.872,554.597,42.623,559.93,222.211,57.328,58.06,253.732
2018-01-01 05:00:00,45.929,239.536,14.653,314.503,34.405,45.227,315.298,278.721,27.786,738.39,103.758,57.252,84.824,79.025,78.433,138.494,69.665,248.988,24.241,29.313,322.162,169.675,740.457,117.727,37.979,916.244,28.653,122.028,147.808,113.231,28.841,419.827,18.912,85.604,51.167,58.615,144.108,193.597,179.198,572.47,42.478,565.703,233.917,57.456,60.622,263.868
2018-01-01 06:00:00,45.736,245.538,15.384,329.557,37.079,51.809,316.909,288.634,29.796,781.4,109.352,58.486,83.889,82.899,74.975,139.558,78.604,264.83,27.021,33.821,328.899,175.005,753.438,125.201,37.376,941.599,29.728,126.765,155.02,113.202,33.285,446.7,18.068,89.339,56.503,61.031,151.867,202.608,183.986,585.148,43.992,574.419,240.966,55.742,62.151,271.972
2018-01-01 07:00:00,43.37,242.914,15.873,335.322,38.54,53.908,325.193,280.565,30.942,770.077,113.806,58.474,87.126,91.619,73.018,139.623,86.541,259.154,26.688,37.815,332.45,177.13,771.923,126.605,37.313,970.16,29.419,127.992,155.679,112.991,33.889,457.219,17.407,92.331,60.009,61.59,156.536,204.411,192.783,594.322,46.774,588.616,244.243,56.521,63.981,278.345
2018-01-01 08:00:00,43.185,255.062,17.535,341.391,37.167,49.253,319.269,285.891,32.268,768.924,113.682,57.376,87.106,96.867,71.668,140.854,82.286,251.799,26.332,35.773,343.793,175.732,785.382,132.258,37.455,970.685,29.265,128.352,156.504,113.373,30.155,437.882,21.088,92.516,58.171,60.171,153.786,216.209,197.655,600.15,48.082,606.352,247.823,57.412,65.097,291.85
2018-01-01 09:00:00,44.452,254.101,16.544,327.435,35.54,46.847,301.633,301.541,32.775,782.16,106.875,52.79,81.045,95.499,69.942,141.801,68.574,251.477,27.546,32.401,326.99,181.483,786.834,135.923,37.921,989.482,29.148,125.529,151.092,112.488,30.222,417.479,20.661,87.323,50.929,58.523,151.195,213.348,192.203,592.888,46.129,603.407,245.307,57.82,61.201,266.921
2018-01-01 10:00:00,40.133,236.79,15.159,307.345,33.594,43.085,311.586,296.963,29.765,759.573,92.323,47.444,78.008,83.179,73.823,129.549,58.711,252.773,26.051,29.085,282.122,163.349,715.329,122.832,38.359,865.607,31.474,115.481,139.983,107.91,26.778,385.148,16.175,77.911,45.407,52.091,145.212,197.234,182.075,544.297,40.671,550.185,222.48,53.44,51.14,237.496
