timestamp,9zcbsz,9zfhew,9xxtwm,9zdks9,9zghmq,cb453g,9zc8c0,9zc6wd,9xyrkv,cb0ukr,9z9vu3,9zfx0j,9zeh1h,9zfzu1,cb05cs,9xy2t8,9zf0qr,cb4d52,9zgnxg,cb02c6,9zdncg,cb16qd,9xwmus,cb12re,cb50vz,9z9mw7,9xzgbj,9zfyht,9zct7j,9zf2qx,c8n7mk,9zbukz,9zdqx9,9zcm27,9xz8rr,9zcfev,9zb6hc,9zfsmk,9zffmz,9xyhmc,9zenpn,9zc18n,9zfb2x,cb1kqq,cb4s5q,9xyvy8,9z8rgn,9zfd6v,9zg0mm,9zg62h,9xxnd0,9xyfk4,c8p4sr,cb0bm3,cb559c,9zf4rv,9zfpd4,9zbkem,9zby3m,9z8mu3,9z8yx7,9zdymk,9ze78t,cb0f7v,9zdsxv,9xzxyw
2018-01-01 00:00:00,3.764,29.719,1.028,7.373,36.429,58.168,1.815,0.021,7.283,2.168,15.502,5.939,20.111,41.501,6.214,5.463,28.983,11.44,2.08,5.468,3.822,9.021,3.9,0.314,18.989,5.251,0.013,8.206,5.22,4.371,2.829,21.878,10.121,2.129,5.941,0.102,0.542,11.825,23.62,18.866,33.876,1.61,1.654,4.754,6.281,9.55,0.033,1.175,119.07,9.847,9.704,82.932,3.015,3.441,15.448,0.264,11.322,4.576,4.136,8.592,9.347,6.425,7.994,2.426,23.812,1.853
2018-01-01 01:00:00,4.913,43.819,1.967,9.82,52.261,82.862,3.562,0.032,9.53,2.84,22.415,8.333,30.646,57.914,9.076,7.146,42.946,15.696,2.956,7.712,4.995,13.019,5.35,0.477,24.412,5.997,0.024,11.256,7.923,5.692,1.558,32.45,14.769,3.202,10.626,0.123,0.689,17.02,31.979,25.198,59.151,2.044,3.055,7.042,8.936,12.358,0.047,1.897,192.999,13.61,12.95,114.572,4.8,5.468,17.457,0.348,15.875,6.658,5.895,11.05,13.057,9.965,14.433,3.664,33.866,3.202
2018-01-01 02:00:00,5.061,47.505,2.763,10.275,53.395,84.973,4.22,0.034,10.163,3.119,24.057,8.414,32.721,57.691,9.627,6.381,46.011,16.624,3.101,8.768,5.08,13.644,4.242,0.181,24.629,7.567,0.031,11.196,8.38,5.691,1.18,33.863,15.718,3.484,11.946,0.133,0.841,18.202,33.498,23.751,63.683,2.178,3.457,7.25,9.393,14.071,0.058,2.085,205.43,13.763,13.604,134.409,5.577,5.91,17.126,0.396,15.984,6.692,6.047,12.423,15.838,7.468,15.976,3.921,35.604,3.856
2018-01-01 03:00:00,5.087,48.039,2.971,10.347,53.13,84.289,4.317,0.034,11.161,2.534,24.44,9.01,32.501,58.921,9.782,6.222,47.358,18.122,2.751,9.384,5.231,13.766,4.98,0.075,25.17,8.035,0.034,11.525,8.369,5.742,2.221,32.884,15.974,3.54,12.018,0.133,0.853,18.574,34.449,27.527,66.034,2.243,3.638,7.244,9.347,16.106,0.06,2.12,214.517,12.941,11.859,152.11,6.738,6.058,17.772,0.432,16.057,6.746,6.121,11.345,16.341,8.154,16.467,4.039,36.313,4.033
2018-01-01 04:00:00,5.117,50.068,3.798,10.209,55.3,86.938,4.432,0.035,11.276,2.876,24.706,9.166,33.958,60.92,9.928,5.691,47.504,18.1,2.847,9.81,5.34,13.763,5.458,0.099,25.721,8.419,0.035,11.826,8.509,5.87,2.805,33.387,16.154,3.641,12.031,0.134,0.878,19.01,35.213,29.666,66.872,2.411,3.721,7.273,9.13,16.404,0.061,2.145,217.233,12.681,11.066,157.781,7.045,6.141,18.286,0.466,16.325,6.945,6.28,11.93,16.983,8.697,16.375,4.062,36.92,4.139
2018-01-01 05:00:00,5.151,52.303,5.592,10.276,58.235,88.947,4.538,0.035,10.477,3.668,26.453,8.888,36.618,60.334,10.351,6.132,49.739,16.529,3.63,9.737,5.359,13.84,5.614,0.149,25.853,8.959,0.036,11.489,8.353,5.929,3.177,34.157,16.388,3.704,12.046,0.129,0.902,21.41,36.049,31.494,68.588,2.338,3.787,7.312,9.331,15.247,0.062,2.159,221.201,12.951,11.089,165.955,7.274,6.082,18.563,0.472,16.37,7.126,6.543,12.646,17.954,9.17,16.724,4.269,38.02,4.191
2018-01-01 06:00:00,5.405,51.888,6.282,10.353,60.053,90.778,5.407,0.036,10.504,3.733,27.341,9.705,36.629,63.384,10.425,6.543,50.631,16.683,3.557,9.98,5.371,13.976,5.584,0.234,26.232,9.879,0.036,11.61,8.251,6.377,2.958,34.542,16.894,3.74,12.057,0.118,0.911,20.01,36.049,34.955,70.036,2.168,4.586,7.371,9.26,14.915,0.062,2.162,230.261,13.717,11.121,164.245,7.299,6.492,19.924,0.455,16.633,7.677,6.765,13.147,17.353,9.79,16.854,4.329,38.079,4.256
2018-01-01 07:00:00,5.281,49.249,7.422,10.251,59.67,90.69,5.681,0.036,10.933,3.045,25.777,9.572,36.563,64.672,10.369,6.636,50.815,17.189,3.288,9.997,5.452,14.502,5.534,0.305,24.759,10.561,0.036,11.968,8.358,6.575,3.079,35.584,17.26,3.829,12.171,0.139,0.911,19.495,36.18,35.13,69.435,2.432,4.985,7.195,8.935,14.694,0.063,2.177,235.372,13.262,10.817,155.837,7.269,6.509,20.534,1.188,17.283,9.741,6.659,13.427,17.333,10.197,22.406,4.73,40.789,4.153
2018-01-01 08:00:00,5.244,50.783,7.139,10.757,59.548,91.415,4.331,0.037,10.693,3.453,25.963,8.758,37.254,64.156,10.353,7.262,51.54,18.226,3.282,10.191,5.298,14.299,7.431,0.334,24.398,10.627,0.036,11.913,8.445,6.595,3.158,34.579,17.677,3.881,12.106,0.178,0.925,19.365,35.385,32.998,70.463,2.462,4.856,7.133,9.678,14.874,0.224,2.06,234.197,13.157,10.648,152.889,7.372,6.607,21.199,1.312,17.115,9.442,6.46,13.437,17.923,10.311,23.887,4.774,39.857,3.783
2018-01-01 09:00:00,5.313,50.774,6.466,10.805,59.592,94.912,4.329,0.037,10.35,3.314,26.55,8.785,36.417,65.683,10.355,6.666,50.949,18.0,3.343,9.954,5.414,14.16,8.259,0.352,25.098,10.38,0.037,12.08,8.725,6.406,3.208,35.043,18.088,3.962,12.232,0.179,0.931,19.299,35.624,29.839,70.104,2.476,4.61,7.144,10.148,14.603,0.077,1.882,240.29,13.466,10.197,148.572,7.464,6.724,21.068,1.478,16.975,8.462,6.469,13.597,18.177,9.6,23.899,4.678,39.857,4.013
