timestamp,9zcbsz,9zfhew,9xxtwm,9zdks9,9zghmq,cb453g,9zc8c0,9zc6wd,9xyrkv,cb0ukr,9z9vu3,9zfx0j,9zeh1h,9zfzu1,cb05cs,9xy2t8,9zf0qr,cb4d52,9zgnxg,cb02c6,9zdncg,cb16qd,9xwmus,cb12re,cb50vz,9z9mw7,9xzgbj,9zfyht,9zct7j,9zf2qx,c8n7mk,9zbukz,9zdqx9,9zcm27,9xz8rr,9zcfev,9zb6hc,9zfsmk,9zffmz,9xyhmc,9zenpn,9zc18n,9zfb2x,cb1kqq,cb4s5q,9xyvy8,9z8rgn,9zfd6v,9zg0mm,9zg62h,9xxnd0,9xyfk4,c8p4sr,cb0bm3,cb559c,9zf4rv,9zfpd4,9zbkem,9zby3m,9z8mu3,9z8yx7,9zdymk,9ze78t,cb0f7v,9zdsxv,9xzxyw
2018-01-01 00:00:00,4.893,37.994,1.91,9.186,46.645,75.054,4.883,0.424,11.525,2.651,19.382,7.166,26.132,53.77,7.29,11.545,39.215,14.376,3.275,6.828,5.172,10.968,8.497,1.26,22.269,6.725,0.266,9.801,6.785,4.823,3.402,28.642,12.566,2.924,6.458,0.424,0.777,13.483,28.659,30.461,48.504,4.934,3.929,5.811,8.523,17.313,1.275,2.186,199.812,12.274,11.101,133.063,4.569,4.458,18.606,1.372,14.864,5.226,4.366,10.023,13.132,9.815,12.881,5.561,33.741,3.022
2018-01-01 01:00:00,6.054,52.695,2.793,11.697,63.671,101.981,6.68,0.574,13.984,3.34,26.486,9.923,37.52,72.972,10.478,13.675,54.454,18.462,4.181,9.555,6.344,14.734,11.452,1.507,28.027,7.162,0.315,13.142,9.602,6.265,2.098,40.246,17.733,3.687,11.254,0.506,1.157,19.054,38.087,38.528,76.894,5.109,6.952,8.271,11.388,22.206,1.28,3.235,290.137,16.228,14.782,171.342,7.639,6.54,21.159,1.378,20.006,7.486,6.244,12.612,17.774,13.314,20.4,7.581,45.254,4.136
2018-01-01 02:00:00,6.146,54.648,3.544,12.359,64.939,102.381,7.103,0.833,13.713,3.622,27.981,9.591,39.135,71.736,10.753,10.43,56.936,19.171,4.175,10.676,6.33,15.314,8.313,1.119,28.179,8.531,0.35,12.951,10.361,6.23,1.496,42.291,18.513,3.913,12.623,0.52,1.125,20.086,39.888,34.478,80.495,3.794,7.628,8.323,11.933,21.859,1.16,3.428,299.154,16.115,16.014,182.058,6.65,6.956,20.621,1.44,19.888,7.52,6.518,14.019,18.889,10.658,21.985,7.619,46.61,4.627
2018-01-01 03:00:00,6.161,54.795,3.771,12.216,64.289,101.859,7.425,0.506,14.674,3.24,28.309,10.165,39.086,72.737,10.766,9.978,57.571,20.822,3.807,11.064,6.591,15.323,8.112,1.006,29.866,9.009,0.366,13.293,10.006,6.275,2.557,40.419,18.756,3.901,12.705,0.523,1.136,20.317,39.121,39.369,83.315,3.692,7.897,8.298,11.591,23.898,1.266,3.461,303.958,15.148,15.358,198.027,7.642,7.234,21.072,1.543,19.949,7.563,6.489,12.944,19.233,11.222,22.307,7.837,46.675,4.8
2018-01-01 04:00:00,6.264,57.133,4.665,12.199,66.384,103.31,7.093,0.503,14.694,3.377,28.643,10.233,40.702,74.328,10.868,9.347,57.832,20.735,3.995,11.729,6.524,15.237,8.3,1.027,29.296,9.568,0.37,13.631,10.013,6.399,3.068,40.652,18.897,4.004,12.773,0.496,1.161,20.674,39.491,40.57,83.357,3.851,6.449,8.337,11.489,24.207,1.183,3.412,304.585,15.119,12.753,202.619,8.172,7.211,21.544,1.493,20.227,7.773,6.52,13.827,19.982,11.897,22.052,7.817,46.695,5.004
2018-01-01 05:00:00,6.19,59.507,6.58,12.416,70.835,106.526,7.491,0.506,14.057,4.221,30.605,10.346,43.572,73.43,11.331,9.925,60.529,19.36,4.954,12.047,6.421,15.122,8.454,1.075,29.326,10.235,0.369,13.318,9.824,6.467,3.447,41.523,19.355,4.087,12.88,0.485,1.187,23.043,40.414,42.203,85.448,4.107,6.355,8.396,11.667,22.888,1.259,3.439,310.094,15.623,12.631,211.171,8.183,7.335,22.239,1.617,20.837,7.987,6.786,14.774,21.068,12.482,23.091,8.339,47.868,4.966
2018-01-01 06:00:00,6.604,59.425,7.367,12.433,73.226,110.702,8.848,0.511,13.9,4.298,31.84,11.442,43.662,77.666,11.709,10.98,61.961,19.357,5.387,12.391,6.514,15.481,8.765,1.217,29.935,11.467,0.429,13.655,10.489,6.946,3.234,42.776,20.316,4.479,12.939,0.48,1.201,21.862,41.016,45.945,88.689,4.417,7.777,8.488,12.002,22.9,1.709,3.495,326.799,16.902,12.593,211.194,8.222,7.918,24.118,1.579,20.865,8.671,7.019,15.124,20.658,13.027,23.342,8.441,48.738,5.234
2018-01-01 07:00:00,6.987,59.528,8.578,13.179,74.139,116.841,9.397,0.673,14.411,3.613,31.143,11.449,44.792,81.93,12.268,11.957,63.819,20.772,5.406,12.829,6.984,16.298,8.953,1.54,28.645,13.908,0.39,14.024,11.351,7.193,3.495,45.72,20.996,4.551,13.322,0.541,1.266,21.698,41.816,46.911,91.942,5.457,8.845,8.618,12.14,23.554,2.112,3.602,348.388,16.973,12.722,207.9,8.302,8.038,25.475,2.572,22.206,11.375,6.931,15.774,22.776,14.252,30.806,9.302,53.939,5.432
2018-01-01 08:00:00,7.192,61.406,8.668,14.326,77.452,122.024,9.853,0.555,15.435,4.471,31.596,10.671,46.127,84.057,12.358,13.791,67.177,24.114,4.997,13.903,6.728,16.085,11.606,1.485,28.776,13.95,0.397,14.433,11.248,7.34,3.924,46.142,22.169,4.547,13.368,0.602,1.247,21.801,42.206,46.784,96.046,5.877,9.218,9.318,14.212,25.221,2.087,4.139,364.577,16.921,12.454,213.463,8.647,8.374,26.001,3.65,23.223,11.114,6.813,16.55,24.278,16.055,33.603,9.718,54.617,5.422
2018-01-01 09:00:00,7.202,63.079,8.814,14.241,80.697,123.248,9.725,0.614,15.925,4.377,32.969,10.645,46.205,86.19,12.443,14.114,67.627,22.537,4.832,13.701,7.199,16.609,13.778,1.852,29.817,13.039,0.418,15.517,11.382,7.169,3.842,46.749,21.979,4.627,13.243,0.665,1.27,21.422,43.833,45.546,95.629,6.966,8.729,9.078,14.585,26.817,1.9,3.687,377.837,17.057,12.52,217.274,9.093,8.412,25.601,4.014,23.79,10.418,6.916,16.755,24.888,16.145,34.198,9.924,56.095,5.671
