timestamp,9vevph,9txpb6,9vs9z1,9ugpcr,9vcz4r,9wpyvt,9v1umg,9v7d13,9wncu1,9v33m8,9v6g1x,9vcrq2,9v43xu,9vd8tg,9v1zw0,9v6h0v,9tzf5x,9vdt6p,9vuy72,9vhjum,9v7w2s,9tq9d6,9y0h3j,9uf1v1,9v9sen,9v7m3r,9v6pjm,9v69dq,9v53f3,9v9rdw,9udsmz,9vu7wd,9wrcmt,9vuuhy,9wpk3n,9vk8vw,9vsm4t,9y0srt,9y40jn,9tyzhn,9v8mmg,9v9me3,9vgkf6,9y0wyk,9v727g,9v61s1,9v9vv2,9v8fpt,9vfz7g,9vd6wd,9y09yn,9tx4gb,9trysr,9tzzny,9ttdvk,9wrn3m,9vg4mv,9tzd20,9wpnc0,9vgvyv,9vfuvu,9v4v2q,9vbr4x,9v119y,9y0qcg,9ucvqx,9v9xyu,9txj68,9v2dt6,9vg0j2,9tskwq,9vdpku,9ve1f1,9vgxj5,9v71fx,9vbd72,9wpcyf,9y110w,9v5zux,9vuk9p,9vesk5,9v1s0x,9tz428,9vhw2c,9tzuyb,9v3ss8,9txv3c,9v4enc,9v4xte,9y233u,9vgr21,9vu8f3,9v7tz8,9v6271,9wp9fc,9y0m5h,9vdhrk,9wryme,9y1544,9vkus1,9vk1v7,9vuchm,9wr5ch,9vchdx,9v6712,9y2ey0,9vez4z,9udnjv,9vdvvw,9tzppj,9vf2mz,9vuh96,9vs4hw,9txzg8,9tt4fj,9vgsmt,9wrgv7,9v84n4,9vfjn1,9v5kdp,9vmnuq,9tmyjp,9vm1cd,9uccbu,9ufjzb,9vfb0q,9vbfr2,9v4kmq,9vg92y,9v3f3g,9uf8gr,9vbkfc,9v3750,9v3j6h,9vbxnz,9v0wfy,9ufs1e,9vcp4w,9vup90,9wp1z4,9vd1kr,9v192c,9v5p4k,9v7h3p,9vedpd,9vke9f,9ve73z,9y2wqh,9v41r1,9v3ydq,9tzx5n,9tzsep,9v93e0,9vdgkp,9v1ckz,9veb1j,9vufsf,9txrzc,9v3qtv,9v5exq,9v0emn,9v1wbx,9v2zxw,9txkyz,9v7p1j,9v9ghm,9v8pz2,9vfx84,9vkh6g,9wrec7,9vuskk,9y03f2,9vseyu,9veqkd,9vmr4u,9v8xff,9uftuc,9y2q3u,9wr13k,9vm5r7,9vf46d,9vsyyp,9vf6qq,9wnumn,9tqznd,9vkx1u,9wr93k,9tmfeq,9vgfup,9wpwck,9txf3z,9v318w,9vurm0,9tw4pg,9v4cj5,9y27ck,9ve2e8,9vg7nm,9v8vhv,9vswev,9vt623,9vt493,9vkmft,9ufxkg,9v99pr,9v2xb2,9vb4r8,9vc672,9vthce,9wrw3h,9vu20n,9vdrr1,9u9ycj,9vcdnz,9v8jh7,9vbsy8,9v2t8u,9wpskv,9vff6j,9v8zwz,9tr7vr,9tzhxn,9vckww,9vukyy,9v8d9g,9v6s0b,9vs2fu,9vkzh3,9vu6px,9tx6mg,9v1ncx,9v21fq,9vgc5p,9v55c6,9vknck,9v7dxz,9twemb,9v77yh,9ucmgm,9v5wd1,9y29qe,9y1c3g,9y13vs,9udweh,9v6w6g,9v4jzy,9twtnf,9vfscz,9vu4t8,9tyuev,9vcuds,9uc3x4,9v1h1y
2018-01-01 00:00:00,16.231,5.201,28.823,10.341,7.125,0.392,17.11,7.16,3.275,11.895,24.245,0.635,7.025,118.248,488.882,6.754,0.556,10.488,27.27,62.058,41.037,5.68,2.745,2.053,9.275,9.118,15.032,10.928,9.714,4.319,85.474,4.911,4.709,11.329,4.231,9.78,31.029,1.713,12.135,0.997,1.078,2.19,158.516,0.976,12.374,56.6,6.048,0.188,13.019,20.443,3.698,0.45,0.504,2.496,0.359,1.463,540.846,2.804,10.053,1.644,173.921,4.275,0.326,1.584,3.324,5.03,2.228,31.939,1.783,26.064,42.007,10.968,10.715,9.468,10.94,1.21,7.176,1.773,88.676,5.212,10.324,5.253,3.352,55.615,3.433,7.797,0.197,2.046,9.439,14.161,42.162,34.134,9.98,66.838,26.653,2.355,0.788,2.489,3.602,13.717,864.131,17.061,0.796,1.082,51.163,3.273,33.867,83.431,11.221,12.259,22.717,14.084,7.198,8.114,0.664,27.278,7.487,0.627,4.591,2.748,10.261,1.16,55.343,4.348,16.938,42.89,6.054,4.694,36.402,8.422,0.08,0.001,10.341,1.345,0.546,0.166,15.425,0.515,26.406,6.421,5.74,2.595,18.093,3.171,6.28,24.879,6.58,0.406,7.834,11.003,128.818,2.159,0.959,78.821,0.559,3.594,2.43,0.015,1.248,6.548,9.996,19.755,0.617,29.431,4.508,1.069,1.826,5.361,132.194,11.472,3.693,0.903,24.296,10.457,1.31,2.999,105.971,6.878,0.928,24.206,12.194,8.056,55.867,7.613,1.488,19.648,85.063,2.3,3.809,72.602,1.923,3.773,5.459,1.118,0.901,0.013,6.244,24.031,1.149,12.434,2.8,4.905,12.924,13.989,2.929,1.217,4.918,0.343,12.773,0.922,61.05,2.743,5.633,2.674,0.006,0.004,0.302,8.058,519.467,30.861,0.006,2.696,1.474,11.688,39.945,223.289,8.314,11.99,10.292,0.578,9.031,9.895,17.707,25.675,23.421,12.397,1.426,7.352,37.696,10.224,0.139,73.38,8.985,2.497,110.684,20.189,2.1,16.514,18.063,1.897,6.385,3.421,0.847
2018-01-01 01:00:00,52.317,14.565,89.234,33.924,16.152,0.197,56.186,21.593,4.657,36.297,89.798,2.552,28.283,461.658,1738.273,25.304,1.432,38.517,109.443,214.635,150.776,13.657,3.769,8.859,48.02,33.907,58.419,38.695,30.915,15.524,394.651,17.306,6.956,44.93,6.104,29.766,90.237,3.01,28.153,2.447,4.671,8.73,688.562,2.232,31.022,177.852,22.407,0.942,50.965,79.545,5.319,1.955,2.475,5.501,0.785,1.37,2101.437,8.374,14.797,8.479,668.902,16.194,0.947,5.264,4.947,16.125,14.736,110.504,4.858,166.861,62.256,50.313,28.726,32.896,33.077,4.664,11.242,3.258,270.054,19.625,34.92,13.468,12.649,230.049,7.066,28.453,0.889,7.606,28.496,20.058,163.331,133.852,39.973,209.657,38.145,4.731,7.564,4.44,8.34,57.239,2621.472,70.209,0.584,5.472,178.503,5.431,123.719,533.212,42.884,25.972,86.198,46.553,25.098,34.542,0.403,94.451,9.734,2.442,17.52,10.678,53.653,3.484,246.994,11.427,55.52,235.335,19.534,17.504,133.555,33.579,0.821,0.011,50.154,6.273,1.149,1.741,41.715,1.859,89.227,13.662,24.827,7.833,48.046,11.048,20.762,77.233,28.067,0.526,24.064,44.267,270.316,4.703,5.971,288.626,1.999,12.139,12.394,1.507,4.976,25.028,38.06,49.485,2.782,116.145,21.631,7.858,5.3,19.829,344.028,15.059,12.561,1.432,75.261,54.778,15.221,11.04,374.235,9.463,1.234,111.813,49.355,29.94,207.698,11.547,7.78,65.892,133.274,6.452,13.265,106.507,6.096,8.947,17.997,7.609,4.385,0.017,22.08,77.73,4.944,53.839,13.566,15.973,31.22,61.974,8.664,3.097,16.115,1.581,37.855,1.078,234.454,11.767,40.931,9.255,0.026,0.012,2.353,11.53,2122.23,107.299,1.867,5.557,3.975,42.475,133.416,777.416,25.934,33.516,42.832,3.265,24.662,37.855,60.28,83.552,67.891,33.376,7.037,26.859,159.058,32.066,0.233,173.828,19.575,13.506,343.613,63.91,6.769,68.289,68.68,6.005,25.756,13.925,4.342
2018-01-01 02:00:00,60.623,15.432,103.642,40.37,20.131,0.173,73.545,24.515,5.057,50.489,128.471,4.516,36.29,614.811,2393.871,32.707,1.949,49.005,135.945,244.517,194.413,16.763,3.901,12.374,62.022,42.494,78.245,51.874,40.374,19.553,485.599,21.545,7.889,54.345,7.24,34.37,102.762,3.394,33.475,2.421,6.443,11.272,919.334,2.632,37.286,232.987,28.649,1.607,66.881,108.558,5.877,2.731,3.095,6.549,4.678,1.308,2904.247,9.726,15.781,10.804,886.142,20.736,1.196,6.808,5.264,20.397,20.487,137.3,5.995,247.705,65.109,63.922,34.86,44.461,42.961,5.142,11.595,3.906,311.484,22.755,42.515,16.538,15.425,269.486,7.876,37.894,1.05,9.582,37.897,20.596,216.896,162.197,52.047,275.491,39.389,5.635,11.336,4.922,11.086,73.032,2827.589,89.135,0.557,8.502,248.542,6.392,162.059,624.07,56.252,29.949,113.466,57.539,29.698,43.8,0.318,126.204,10.673,3.181,23.732,13.994,67.719,4.473,312.193,14.13,70.269,341.773,22.821,22.348,178.751,44.855,1.278,0.014,71.139,9.601,1.35,2.651,53.166,2.513,110.272,16.548,35.168,9.244,58.001,15.184,25.075,88.102,36.633,0.638,28.838,60.422,325.117,5.562,8.825,373.218,2.418,13.865,15.936,2.366,6.345,32.856,49.415,64.871,3.668,139.252,28.597,11.23,7.05,26.132,379.028,16.526,15.665,1.583,90.22,73.328,19.745,15.028,485.664,10.781,1.255,140.199,64.223,37.606,275.663,12.819,11.178,78.416,138.823,9.675,17.661,107.654,7.605,11.968,23.639,9.884,5.945,0.017,27.796,101.58,7.536,68.926,16.088,18.961,33.593,87.046,10.838,4.381,20.602,2.405,43.18,0.922,300.345,15.516,48.199,12.397,0.036,0.015,2.795,12.234,2871.752,143.089,3.066,7.123,4.962,51.318,178.304,1032.326,30.13,38.226,55.566,4.509,31.528,50.405,80.541,108.85,75.977,36.126,8.782,36.136,188.717,42.519,0.265,213.146,23.923,16.601,462.54,85.08,8.078,90.561,89.842,7.577,33.407,17.663,6.512
2018-01-01 03:00:00,61.365,14.256,108.834,40.034,22.623,0.215,76.837,25.331,6.098,54.132,147.639,5.073,38.354,655.747,2463.36,33.326,2.182,51.699,145.7,257.349,217.3,17.08,4.122,13.396,65.853,47.36,81.518,56.329,41.431,20.513,581.361,22.842,8.518,58.131,7.714,36.997,106.632,4.567,36.154,2.444,6.273,10.66,972.565,3.2,38.808,247.54,29.993,1.907,70.6,111.711,6.157,3.148,3.302,7.144,6.479,1.391,3107.086,11.62,15.826,11.265,928.761,24.62,1.325,6.69,5.502,21.349,23.1,147.113,6.337,264.614,73.018,67.716,36.399,47.644,43.941,4.468,11.902,4.188,329.212,22.74,42.853,17.369,16.246,289.014,8.096,39.469,1.084,10.179,42.346,22.563,231.409,176.222,56.065,308.038,41.963,6.229,11.696,5.156,15.69,79.958,3033.438,97.472,0.982,9.818,260.997,6.684,180.331,683.379,56.339,31.262,122.217,59.261,30.308,48.602,0.453,131.339,11.696,1.931,24.952,15.234,71.099,4.525,331.329,14.493,74.478,373.962,26.676,24.311,194.677,46.937,0.625,0.016,74.305,11.144,1.422,2.51,57.692,2.733,115.864,13.057,35.549,9.219,59.073,16.116,26.654,101.9,38.989,1.705,29.861,63.071,349.54,5.244,11.247,397.015,2.012,14.54,17.576,2.778,9.907,34.527,54.583,70.949,3.485,143.801,31.443,11.936,8.488,28.909,408.557,18.732,16.338,1.651,97.019,80.045,20.739,14.692,494.313,12.752,1.012,150.663,65.533,39.958,295.433,12.262,12.223,82.147,149.378,11.009,19.021,113.332,7.813,12.757,26.361,10.309,6.312,0.018,29.33,109.867,8.753,72.79,16.898,19.261,35.809,95.136,11.022,4.564,22.593,1.764,45.871,0.882,325.793,17.66,50.653,13.369,0.036,0.016,3.024,15.331,3024.535,157.708,3.57,9.949,5.368,52.602,188.557,1096.337,31.014,40.648,62.129,4.796,34.983,56.482,84.44,118.605,80.957,39.545,8.52,41.841,197.335,45.285,0.303,228.688,25.718,19.207,482.695,88.909,9.628,96.799,95.332,8.23,34.787,19.062,7.732
2018-01-01 04:00:00,66.172,13.13,117.726,44.528,23.799,0.23,80.183,27.955,7.225,56.802,146.831,6.096,40.272,686.033,2549.888,33.773,2.379,54.612,148.974,272.886,238.085,18.277,4.303,13.373,73.422,49.754,82.84,61.817,42.807,23.14,599.762,24.706,8.983,60.504,7.748,35.717,112.693,4.956,38.31,3.268,6.795,12.271,1042.565,3.498,41.534,256.365,31.678,2.024,76.979,120.147,6.256,3.92,3.542,7.608,6.213,1.482,3293.885,13.221,16.184,14.027,1000.573,27.116,1.44,6.777,6.615,21.283,23.928,162.742,6.885,275.562,85.175,71.69,40.391,51.634,47.441,4.483,11.985,4.385,360.978,23.732,46.422,20.894,19.18,317.637,8.467,39.686,1.115,10.364,45.083,25.673,248.317,188.576,60.598,324.496,46.322,8.325,12.365,5.544,16.678,87.559,3254.944,104.836,1.301,10.663,275.879,7.098,192.919,732.313,60.579,31.32,132.426,64.775,31.9,50.032,0.577,139.989,11.651,1.907,23.524,17.842,77.558,4.978,345.491,15.168,74.365,385.774,29.187,25.59,204.602,47.696,0.456,0.017,80.681,11.96,1.507,2.889,59.11,3.166,126.459,13.561,38.057,10.386,61.12,18.602,28.644,103.684,41.243,1.729,30.751,63.216,378.917,5.324,12.573,437.397,2.006,14.967,19.849,3.195,9.574,36.813,60.135,70.743,5.203,150.875,31.99,12.611,9.145,30.946,441.752,20.496,17.761,1.71,102.36,83.695,21.631,15.854,504.903,14.573,1.081,159.32,70.183,42.199,312.103,12.856,12.978,91.404,152.994,11.631,22.086,122.941,7.408,12.717,28.491,10.093,7.091,0.018,28.989,118.037,8.661,78.031,18.509,22.242,35.651,100.053,10.892,4.229,23.839,1.729,49.231,0.96,343.727,19.076,53.805,13.929,0.043,0.017,3.258,15.912,3246.877,174.487,4.008,11.046,5.603,55.825,194.164,1115.429,31.823,43.378,68.986,5.02,36.622,59.728,86.523,124.142,84.606,42.172,9.751,50.186,217.505,47.704,0.316,242.86,34.04,19.918,515.576,92.63,9.75,98.248,104.042,8.776,36.928,19.833,7.995
2018-01-01 05:00:00,69.841,14.19,124.611,50.157,24.492,0.5,81.127,31.211,8.248,58.086,142.27,8.163,43.776,714.945,2738.298,34.609,2.519,58.298,160.606,291.867,245.483,19.004,4.489,13.782,76.471,50.1,90.076,64.932,46.325,24.162,622.35,24.956,11.255,62.593,8.134,35.17,120.536,5.054,39.151,3.355,7.096,13.473,1092.336,3.651,42.401,264.041,32.563,1.988,83.853,128.052,6.379,4.655,3.784,7.964,6.934,2.314,3418.977,16.132,18.322,14.859,1058.678,28.855,1.543,7.367,7.08,21.832,23.841,173.737,6.942,291.97,97.027,74.771,42.531,53.453,48.911,4.901,12.064,3.506,395.773,24.964,51.185,22.608,20.603,344.257,9.283,41.382,1.157,11.196,46.17,27.911,252.822,194.17,61.991,328.856,49.246,8.91,13.589,6.399,16.735,92.739,3450.917,108.509,1.548,11.666,298.551,7.286,199.854,886.619,64.971,33.451,140.272,70.094,35.251,53.005,0.682,153.887,12.57,2.162,24.849,18.815,80.253,4.246,359.492,15.467,74.433,401.877,31.548,25.921,213.693,50.712,0.755,0.018,84.474,12.588,1.588,3.15,60.596,3.43,134.842,15.446,39.796,10.492,61.51,20.23,31.509,107.428,44.44,1.529,31.282,66.907,403.921,5.601,13.566,472.35,2.342,15.441,20.67,5.082,10.358,39.418,62.75,75.458,5.895,165.307,33.017,13.159,10.376,32.659,470.96,21.142,18.995,1.863,107.585,87.358,24.59,14.23,535.013,15.048,1.215,168.751,77.869,43.296,330.37,14.151,15.514,100.43,155.838,11.918,23.065,133.549,7.344,13.293,30.484,9.561,7.907,0.018,29.41,126.023,8.655,82.135,19.87,23.241,36.397,109.398,11.443,4.788,26.431,1.921,52.455,1.047,362.517,19.645,63.812,14.63,0.048,0.018,3.467,13.477,3432.886,188.937,4.14,10.609,5.769,62.596,205.308,1172.173,33.393,45.013,69.099,6.41,37.805,61.321,91.432,134.291,86.59,44.83,9.548,52.447,239.055,52.868,0.319,255.64,35.624,20.005,536.318,96.74,8.491,101.951,108.142,9.422,39.091,18.577,8.0
2018-01-01 06:00:00,75.449,15.827,130.115,55.968,21.146,0.703,88.25,33.184,11.424,64.095,154.005,10.218,49.254,800.098,2853.798,37.392,2.648,61.472,167.437,323.653,257.654,20.14,4.657,15.319,87.489,51.325,94.648,66.212,47.547,25.542,679.661,26.158,11.783,66.521,8.532,37.56,122.52,5.464,40.023,3.318,6.47,14.344,1142.88,3.806,43.331,273.323,35.518,2.268,81.749,131.104,6.3,4.646,4.159,8.347,10.006,3.378,3645.483,17.482,19.164,14.369,1085.631,30.852,1.629,9.052,6.918,23.077,25.808,182.609,7.181,301.878,109.773,81.372,43.229,54.973,50.361,5.314,13.111,3.132,432.589,26.796,52.045,20.73,22.471,342.632,9.674,41.921,1.214,11.784,45.867,27.687,259.678,200.395,64.301,332.918,51.203,8.825,15.251,6.69,17.591,93.104,3773.236,112.263,3.955,12.532,308.224,7.652,206.309,926.463,67.099,35.86,149.205,70.474,39.916,56.451,0.694,157.177,13.27,2.356,26.314,18.86,81.107,4.242,368.588,15.255,77.488,422.593,34.396,27.161,222.934,53.417,0.955,0.016,87.664,15.535,1.675,3.277,65.34,3.734,138.76,16.749,41.227,11.277,63.282,21.255,34.377,118.572,45.993,1.546,31.961,71.098,436.501,5.738,13.79,483.451,2.403,16.672,21.131,5.562,9.996,40.596,62.562,79.918,3.985,178.655,36.275,12.606,11.324,34.291,512.46,22.537,18.802,1.85,112.599,90.209,26.688,14.9,579.492,13.625,1.186,172.357,81.366,44.465,343.149,14.958,16.031,99.863,166.983,12.097,23.152,134.875,7.043,13.926,29.502,10.979,8.674,0.018,31.257,127.728,9.51,85.955,20.544,23.944,39.641,110.62,11.804,5.083,28.554,2.641,53.97,1.124,378.826,21.41,66.562,16.038,0.048,0.018,3.699,13.976,3615.127,203.875,4.017,11.254,5.9,65.011,220.208,1195.647,35.962,45.659,72.817,6.826,41.489,64.611,97.446,147.27,93.628,51.249,9.799,54.543,244.961,52.679,0.339,276.616,31.357,21.077,547.397,99.0,7.994,110.205,110.902,11.328,41.978,18.031,8.012
2018-01-01 07:00:00,78.08,16.591,133.956,58.281,22.259,1.676,94.379,37.054,12.378,66.511,154.585,10.157,50.746,854.531,2909.932,41.977,2.726,61.504,175.683,330.65,278.344,20.804,4.739,15.305,97.545,54.334,101.579,67.542,49.976,26.653,745.3,27.221,11.862,75.423,10.567,41.694,127.739,6.532,42.284,3.078,6.961,15.017,1195.246,3.778,43.578,295.236,37.21,3.627,82.687,140.862,7.123,4.612,5.07,8.636,11.188,2.952,3972.632,15.197,19.398,14.998,1139.805,33.422,1.702,9.157,6.367,24.155,27.294,198.209,7.664,322.45,124.765,89.76,47.397,56.236,50.82,5.797,13.92,3.63,481.946,27.864,54.14,23.556,23.697,362.297,9.471,45.405,1.235,12.019,46.658,30.045,273.358,218.274,72.525,345.834,54.084,8.929,16.46,5.596,17.623,100.194,4156.051,121.602,4.778,15.588,315.367,7.393,224.682,958.352,71.884,35.379,149.916,73.961,40.832,61.521,0.638,170.119,13.212,2.466,28.265,19.263,81.816,6.136,388.103,15.034,80.214,453.982,35.475,27.194,242.509,53.889,1.905,0.016,97.95,15.231,2.394,3.566,68.349,3.862,155.645,19.861,43.747,12.579,63.846,21.985,36.983,126.863,46.011,1.752,33.858,77.576,474.148,6.006,14.681,511.968,2.27,16.534,22.655,3.483,10.864,47.444,75.631,83.084,3.659,185.437,38.843,12.552,11.616,34.736,552.282,24.48,19.152,1.824,113.789,99.669,31.996,17.596,609.255,14.672,1.341,185.207,81.393,51.536,360.352,15.615,16.705,105.207,178.845,11.904,23.831,141.155,7.215,14.958,31.544,12.644,8.971,0.018,35.56,135.232,11.548,98.901,23.584,24.674,40.921,120.591,12.204,5.097,28.423,5.004,57.082,1.225,394.331,24.413,81.982,16.057,0.046,0.018,4.172,14.22,3838.324,227.637,3.887,11.238,6.249,68.244,228.538,1204.565,36.606,45.57,76.72,10.098,44.992,66.184,104.011,150.654,100.263,53.841,11.603,60.002,284.352,53.371,0.343,293.714,33.589,22.882,576.147,106.372,8.062,117.767,113.232,12.889,43.194,23.197,10.843
2018-01-01 08:00:00,80.236,17.689,136.209,55.858,23.03,1.588,96.821,37.189,8.845,65.991,161.502,10.384,53.734,863.624,2988.239,42.685,3.247,62.27,183.685,340.027,288.862,21.516,4.759,15.526,103.779,56.421,107.119,65.508,50.826,26.491,766.2,26.46,11.675,81.255,11.131,45.765,128.388,6.053,42.911,3.126,7.77,14.93,1234.206,4.236,47.212,302.465,37.917,3.98,88.259,147.701,7.27,5.263,5.068,8.857,12.949,3.075,4033.696,15.684,20.399,15.603,1199.114,36.087,2.506,8.695,6.508,25.612,29.993,205.222,7.949,340.109,144.332,90.027,50.697,59.35,52.115,9.279,13.428,3.842,496.766,28.579,54.279,24.016,24.908,376.914,9.451,49.68,1.28,11.933,44.896,32.059,287.633,227.018,72.298,351.54,55.683,9.115,16.303,5.354,17.732,108.953,4386.41,126.408,4.359,16.496,303.66,7.678,229.005,1031.685,74.857,37.139,156.729,77.279,39.792,65.938,0.742,178.173,14.696,2.551,29.634,19.277,90.304,6.263,419.101,15.471,83.557,470.42,36.185,29.007,256.726,54.292,2.461,0.016,95.892,16.274,2.616,3.803,68.591,3.816,162.401,24.929,43.402,13.12,67.39,24.016,41.602,131.814,46.257,1.519,34.595,77.286,492.07,6.146,16.246,525.887,2.383,16.398,23.359,3.212,10.773,47.981,80.101,81.861,3.797,194.257,39.604,12.913,12.552,37.349,577.381,25.073,19.478,1.754,113.952,104.347,35.319,18.871,608.294,14.85,1.395,194.436,82.465,50.687,373.446,18.496,19.789,106.039,179.775,11.584,26.149,146.096,7.593,14.815,32.169,13.547,8.689,0.018,36.498,145.92,12.287,100.382,23.478,24.442,41.839,123.759,13.624,5.124,30.204,6.965,58.211,1.369,400.4,24.931,91.355,17.06,0.523,0.018,3.974,14.619,3931.285,239.179,3.951,11.5,5.666,71.19,228.196,1216.014,36.589,45.36,77.163,10.555,43.945,67.982,107.899,152.297,100.988,56.852,11.608,62.906,292.906,57.935,0.448,292.368,36.959,23.664,598.332,110.458,8.405,118.23,114.757,9.022,44.237,24.906,12.172
2018-01-01 09:00:00,79.613,19.119,133.146,59.061,23.354,1.396,95.65,35.013,8.191,65.346,165.748,9.563,51.542,874.166,2961.102,41.499,3.265,60.978,176.077,370.92,282.227,21.287,4.624,15.584,103.283,54.647,105.249,66.095,52.681,25.899,762.145,24.6,11.355,78.087,8.786,48.48,127.607,6.399,42.962,2.99,8.002,14.78,1176.48,4.149,49.273,288.517,35.86,2.773,89.209,151.462,7.335,5.78,5.219,8.374,13.404,2.619,3893.939,16.566,20.872,14.111,1198.452,35.2,2.316,12.5,6.61,27.21,27.981,212.557,7.822,329.03,150.59,89.926,52.046,57.988,52.151,10.115,14.49,4.061,465.653,27.13,53.293,24.703,24.625,384.31,9.666,48.906,1.281,12.033,42.822,32.391,281.92,222.086,73.128,339.758,54.662,10.44,16.027,5.482,17.558,111.495,4428.656,119.133,3.739,16.074,300.097,7.87,222.642,1053.434,72.677,36.347,155.804,76.674,41.478,68.041,0.954,173.469,16.588,2.701,29.722,18.74,95.986,5.066,441.494,16.071,85.946,451.618,35.501,27.965,257.993,54.719,2.516,0.018,96.258,15.887,2.424,3.678,69.537,4.07,153.018,24.948,42.512,11.371,69.411,24.924,40.128,138.13,46.432,1.432,33.295,75.466,489.022,6.14,16.387,523.9,1.95,16.599,22.281,6.038,8.974,47.562,84.835,80.853,3.755,202.04,41.47,12.853,11.233,40.794,568.987,23.619,18.935,1.79,122.032,106.793,37.162,19.604,626.638,14.944,1.378,205.842,78.217,51.344,361.362,18.712,23.205,102.884,178.977,11.053,27.285,143.601,7.546,13.428,29.944,15.857,9.437,0.018,34.373,147.599,12.359,95.943,23.608,25.142,42.249,125.594,13.884,5.153,31.21,5.994,56.434,1.263,384.679,26.215,90.509,16.742,0.597,0.018,3.956,16.146,3878.419,241.071,4.035,13.092,6.299,68.614,237.271,1265.61,37.999,44.832,76.717,10.183,43.123,68.683,110.36,149.634,104.725,60.152,11.924,59.012,297.899,56.686,0.448,292.762,37.642,22.989,615.421,109.604,8.758,115.427,110.894,8.388,39.927,24.884,13.064
