timestamp,9vevph,9txpb6,9vs9z1,9ugpcr,9vcz4r,9wpyvt,9v1umg,9v7d13,9wncu1,9v33m8,9v6g1x,9vcrq2,9v43xu,9vd8tg,9v1zw0,9v6h0v,9tzf5x,9vdt6p,9vuy72,9vhjum,9v7w2s,9tq9d6,9y0h3j,9uf1v1,9v9sen,9v7m3r,9v6pjm,9v69dq,9v53f3,9v9rdw,9udsmz,9vu7wd,9wrcmt,9vuuhy,9wpk3n,9vk8vw,9vsm4t,9y0srt,9y40jn,9tyzhn,9v8mmg,9v9me3,9vgkf6,9y0wyk,9v727g,9v61s1,9v9vv2,9v8fpt,9vfz7g,9vd6wd,9y09yn,9tx4gb,9trysr,9tzzny,9ttdvk,9wrn3m,9vg4mv,9tzd20,9wpnc0,9vgvyv,9vfuvu,9v4v2q,9vbr4x,9v119y,9y0qcg,9ucvqx,9v9xyu,9txj68,9v2dt6,9vg0j2,9tskwq,9vdpku,9ve1f1,9vgxj5,9v71fx,9vbd72,9wpcyf,9y110w,9v5zux,9vuk9p,9vesk5,9v1s0x,9tz428,9vhw2c,9tzuyb,9v3ss8,9txv3c,9v4enc,9v4xte,9y233u,9vgr21,9vu8f3,9v7tz8,9v6271,9wp9fc,9y0m5h,9vdhrk,9wryme,9y1544,9vkus1,9vk1v7,9vuchm,9wr5ch,9vchdx,9v6712,9y2ey0,9vez4z,9udnjv,9vdvvw,9tzppj,9vf2mz,9vuh96,9vs4hw,9txzg8,9tt4fj,9vgsmt,9wrgv7,9v84n4,9vfjn1,9v5kdp,9vmnuq,9tmyjp,9vm1cd,9uccbu,9ufjzb,9vfb0q,9vbfr2,9v4kmq,9vg92y,9v3f3g,9uf8gr,9vbkfc,9v3750,9v3j6h,9vbxnz,9v0wfy,9ufs1e,9vcp4w,9vup90,9wp1z4,9vd1kr,9v192c,9v5p4k,9v7h3p,9vedpd,9vke9f,9ve73z,9y2wqh,9v41r1,9v3ydq,9tzx5n,9tzsep,9v93e0,9vdgkp,9v1ckz,9veb1j,9vufsf,9txrzc,9v3qtv,9v5exq,9v0emn,9v1wbx,9v2zxw,9txkyz,9v7p1j,9v9ghm,9v8pz2,9vfx84,9vkh6g,9wrec7,9vuskk,9y03f2,9vseyu,9veqkd,9vmr4u,9v8xff,9uftuc,9y2q3u,9wr13k,9vm5r7,9vf46d,9vsyyp,9vf6qq,9wnumn,9tqznd,9vkx1u,9wr93k,9tmfeq,9vgfup,9wpwck,9txf3z,9v318w,9vurm0,9tw4pg,9v4cj5,9y27ck,9ve2e8,9vg7nm,9v8vhv,9vswev,9vt623,9vt493,9vkmft,9ufxkg,9v99pr,9v2xb2,9vb4r8,9vc672,9vthce,9wrw3h,9vu20n,9vdrr1,9u9ycj,9vcdnz,9v8jh7,9vbsy8,9v2t8u,9wpskv,9vff6j,9v8zwz,9tr7vr,9tzhxn,9vckww,9vukyy,9v8d9g,9v6s0b,9vs2fu,9vkzh3,9vu6px,9tx6mg,9v1ncx,9v21fq,9vgc5p,9v55c6,9vknck,9v7dxz,9twemb,9v77yh,9ucmgm,9v5wd1,9y29qe,9y1c3g,9y13vs,9udweh,9v6w6g,9v4jzy,9twtnf,9vfscz,9vu4t8,9tyuev,9vcuds,9uc3x4,9v1h1y
2018-01-01 00:00:00,27.06,8.721,55.332,20.071,9.522,0.971,32.449,14.807,5.531,20.299,53.154,2.12,14.345,225.435,1204.471,11.861,0.805,16.043,58.719,163.289,105.536,10.043,3.866,4.667,22.543,14.456,28.793,21.412,17.516,7.093,210.354,8.316,7.116,21.046,6.863,22.947,54.635,3.626,15.218,1.726,3.046,5.006,505.559,2.163,18.702,106.103,9.926,0.928,27.153,41.038,4.453,1.761,2.328,5.581,1.066,3.383,1668.688,5.961,15.305,3.136,431.75,10.375,1.466,5.637,4.492,8.504,8.789,77.878,2.827,83.564,345.06,23.88,16.075,21.304,22.831,2.35,10.74,2.368,297.533,8.81,17.697,8.459,7.682,156.201,6.169,17.049,0.445,4.368,14.98,21.276,89.076,83.648,18.68,113.797,48.124,2.842,3.86,4.463,5.26,30.637,2607.81,36.011,2.601,3.427,114.925,5.093,60.989,334.565,24.764,19.771,41.853,23.672,15.302,18.094,3.146,61.066,15.604,0.825,7.97,7.354,19.911,1.765,160.259,5.409,29.601,93.824,11.08,10.186,72.232,21.429,0.37,0.225,29.952,2.796,0.67,0.473,25.656,1.442,44.665,11.868,11.26,5.127,26.949,7.021,11.46,49.016,13.798,1.817,11.401,20.468,274.808,3.799,3.738,170.882,1.028,6.197,7.549,3.458,2.389,18.033,22.791,33.604,1.349,88.596,11.32,2.899,3.603,11.968,325.205,16.491,9.092,1.152,56.545,26.091,3.936,8.418,255.711,10.037,1.247,53.603,21.566,15.211,98.972,11.104,4.692,35.84,151.064,5.129,7.639,119.544,2.644,5.12,9.885,5.982,2.821,0.359,11.202,52.784,3.805,26.111,7.486,7.683,19.785,33.666,3.803,2.368,9.394,1.288,21.576,1.981,136.895,5.915,17.778,6.019,0.136,0.309,1.44,10.695,1318.427,77.769,0.547,6.165,2.051,21.285,78.716,705.836,14.589,16.976,19.846,1.633,18.302,24.635,33.696,52.1,39.813,25.217,3.954,18.829,120.022,20.256,2.765,120.356,13.718,6.52,276.347,32.574,3.429,34.679,34.511,3.609,13.522,8.596,3.954
2018-01-01 01:00:00,66.95,18.565,121.93,46.978,18.999,0.779,73.489,32.222,7.078,45.945,126.07,4.651,37.559,595.189,2614.161,31.402,1.856,47.018,149.933,336.749,230.825,18.309,4.926,11.802,65.444,41.324,76.162,52.094,39.611,19.832,540.189,21.531,9.58,56.796,8.855,46.306,118.87,5.114,31.998,3.805,7.391,12.441,1123.284,3.22,38.983,237.135,27.733,1.788,67.908,103.398,5.834,3.571,4.153,9.418,1.755,3.802,3490.903,11.493,21.401,9.984,990.291,24.074,3.085,10.259,6.307,19.903,22.448,163.815,5.949,239.957,412.772,64.356,34.733,48.033,43.236,6.257,15.659,3.867,515.838,24.269,43.278,17.683,17.814,356.191,9.42,41.013,1.073,10.467,35.248,27.58,224.329,195.193,50.255,269.244,62.456,5.391,11.034,7.763,10.564,76.512,4747.178,96.845,2.531,9.796,254.269,7.601,156.886,818.221,59.491,34.225,109.821,58.553,33.794,47.752,1.798,138.165,19.219,2.751,21.137,17.667,65.318,4.347,371.44,12.876,68.991,294.574,25.071,22.057,178.544,50.029,1.026,0.278,72.996,8.237,1.378,2.111,53.337,2.746,112.357,19.76,31.311,10.246,58.703,15.825,26.99,102.035,37.021,1.766,28.791,56.178,448.516,6.329,9.396,401.196,2.445,15.795,17.211,3.174,6.42,37.277,52.575,65.144,4.505,183.953,28.838,10.114,7.796,27.886,577.238,20.432,17.118,1.784,115.359,74.058,18.597,17.656,550.36,13.431,1.661,145.196,61.901,40.249,262.705,15.018,12.049,84.559,214.176,9.17,18.334,156.924,7.177,10.599,24.076,14.532,6.759,0.572,28.47,113.099,8.13,71.484,18.855,19.981,38.228,84.351,10.193,4.393,20.766,2.978,48.437,2.379,332.86,15.269,55.101,12.629,0.241,0.502,3.227,14.196,3125.153,161.009,2.573,10.318,4.869,54.89,178.847,1362.888,32.78,40.191,54.198,4.432,34.574,55.221,79.027,115.333,87.371,49.393,10.255,39.56,253.429,45.074,3.217,231.654,25.703,18.704,545.96,80.747,8.756,91.61,86.118,7.396,33.323,18.346,7.781
2018-01-01 02:00:00,74.842,19.303,135.81,53.346,23.346,0.698,90.915,35.314,6.818,60.494,167.285,6.721,45.766,748.085,3280.052,38.297,2.425,57.634,176.398,364.224,272.916,22.268,4.927,15.333,80.443,50.828,95.03,65.231,49.112,25.984,626.46,26.593,10.537,66.483,9.55,50.523,131.756,5.501,37.417,3.53,8.383,15.022,1360.331,3.265,45.305,288.799,34.213,2.538,83.411,133.796,6.324,4.445,4.506,10.209,5.598,3.675,4297.671,12.541,21.141,12.25,1211.535,30.561,2.468,11.728,6.452,24.3,27.941,190.715,7.194,324.22,359.369,79.029,40.899,58.416,53.961,6.66,15.722,4.602,549.44,26.934,52.427,20.611,20.727,393.652,10.373,49.442,1.233,12.617,44.621,28.349,279.914,224.585,61.868,334.038,64.178,6.301,14.834,6.724,13.449,93.258,4894.231,114.72,2.349,12.382,328.317,8.595,194.16,901.245,74.663,38.395,137.247,70.122,37.031,58.686,1.378,171.243,20.304,3.533,27.456,20.253,79.84,5.384,435.032,15.871,84.2,406.423,28.426,26.84,228.833,61.149,1.498,0.268,94.668,11.761,1.509,3.192,64.835,3.393,133.691,22.777,41.497,11.586,69.128,19.717,31.467,112.213,45.806,1.75,33.811,73.041,493.248,7.117,12.398,485.574,2.802,17.983,20.071,3.715,8.02,45.545,64.52,80.548,4.63,210.565,35.851,13.597,9.568,34.161,606.068,21.704,20.171,1.951,129.379,93.332,23.203,23.108,662.198,14.653,1.598,173.458,77.874,48.144,334.811,15.536,15.475,97.824,216.541,12.314,23.138,157.179,8.742,13.615,29.6,17.016,8.376,0.457,34.202,137.004,11.198,86.174,21.432,22.571,40.363,110.443,12.33,5.65,25.132,3.794,53.291,1.89,400.998,19.172,62.509,17.142,0.279,0.561,3.83,15.07,3893.697,196.399,4.58,11.729,5.702,65.347,225.931,1617.137,36.357,45.06,68.388,5.435,41.119,66.688,98.813,141.956,95.238,51.705,11.776,48.611,277.91,55.547,2.402,270.292,29.963,21.459,666.726,102.168,10.191,115.096,108.498,8.956,40.993,22.928,9.833
2018-01-01 03:00:00,75.415,17.904,141.367,52.104,25.707,0.76,94.188,35.104,7.679,63.848,184.854,7.219,48.163,784.769,3319.1,38.995,2.675,59.994,186.317,372.918,295.007,21.141,5.247,16.345,82.577,55.392,98.195,68.21,49.711,24.795,725.848,27.631,11.001,70.445,9.912,52.636,133.562,6.807,39.768,3.529,8.467,14.383,1398.473,3.836,46.533,303.133,35.306,2.738,85.053,138.524,6.608,4.818,4.781,10.931,7.277,3.648,4470.794,14.518,20.717,12.675,1243.823,32.598,2.602,11.253,6.614,25.365,30.795,195.991,7.553,340.459,356.054,81.829,42.253,61.436,54.837,5.849,15.969,4.789,559.254,26.772,51.566,21.356,21.267,409.08,10.771,50.949,1.264,13.033,49.341,30.259,288.778,238.015,66.285,363.547,64.336,6.902,15.015,6.921,18.035,99.619,5029.685,121.612,2.789,13.143,333.759,8.671,212.608,943.016,71.301,40.071,145.86,71.517,37.441,62.967,1.448,174.427,21.207,2.283,28.431,19.896,83.063,5.439,450.898,16.198,88.181,437.133,32.108,28.735,238.247,63.13,0.825,0.257,96.059,13.383,1.58,2.888,68.992,3.591,139.086,19.086,41.621,11.567,68.354,20.549,32.517,125.535,48.024,2.843,34.71,76.545,514.42,6.792,14.623,501.761,2.372,18.6,21.41,4.165,11.499,46.208,68.158,85.872,4.285,212.45,39.245,14.369,11.075,36.593,628.489,23.826,20.907,2.028,135.356,99.95,24.338,21.712,664.993,16.612,1.363,183.433,77.877,49.479,353.176,14.874,16.522,98.217,225.601,13.521,25.227,159.352,8.942,14.442,31.886,16.923,8.786,0.462,35.405,144.773,12.397,89.738,22.085,22.987,42.206,118.229,12.332,5.855,27.231,3.05,55.791,1.99,424.119,21.049,63.083,16.508,0.276,0.555,3.994,18.021,4002.305,210.135,5.152,14.338,6.126,64.411,234.15,1651.477,37.163,46.982,73.844,6.08,43.017,72.905,101.848,149.079,99.401,54.254,11.321,54.111,284.557,58.529,3.367,286.243,32.013,24.24,677.787,105.132,11.983,120.015,113.469,9.637,42.296,23.04,10.876
2018-01-01 04:00:00,79.592,17.009,149.098,56.041,27.078,0.796,98.101,37.798,8.778,66.349,184.025,8.265,49.804,814.862,3402.062,39.676,2.901,63.034,188.659,386.068,315.872,22.2,5.328,16.791,92.043,58.171,99.791,73.694,51.483,27.371,742.583,29.252,11.32,72.726,9.799,51.048,139.611,7.29,42.003,4.428,9.054,16.035,1467.899,4.138,49.335,312.21,37.311,2.843,91.242,143.489,6.808,5.612,5.253,11.714,7.019,3.797,4642.329,16.482,21.051,15.673,1315.039,34.65,2.745,11.4,7.692,25.273,31.817,212.236,8.383,350.625,355.592,85.746,46.114,65.82,57.996,5.848,16.05,5.002,588.382,27.783,55.54,25.058,24.17,439.04,11.16,51.153,1.341,13.19,52.146,33.36,308.343,247.114,72.853,380.905,68.431,9.063,15.939,7.402,19.249,105.627,5246.806,128.066,3.092,13.783,349.387,9.09,225.287,986.258,75.461,40.13,156.382,77.334,39.083,61.808,1.568,183.003,21.191,2.26,26.951,24.411,89.476,5.905,465.699,16.813,87.706,446.761,34.778,30.501,247.801,64.017,0.65,0.259,102.734,14.134,1.664,3.523,70.453,4.065,150.494,19.664,45.718,12.738,70.549,23.564,34.579,126.993,50.423,2.865,35.725,75.632,543.021,7.0,15.806,541.646,2.365,19.153,23.716,4.444,11.128,48.089,73.865,85.184,6.062,219.149,39.406,14.814,11.807,38.797,662.613,25.828,22.281,2.122,140.75,103.385,25.182,22.967,677.364,18.486,1.439,192.206,82.176,51.699,369.66,15.562,17.437,107.717,228.29,13.992,27.781,168.578,8.519,14.421,34.214,16.714,9.562,0.469,34.936,152.496,11.973,95.015,23.774,25.636,42.325,123.046,12.4,5.581,28.557,2.874,58.687,2.171,440.06,22.678,66.531,17.182,0.323,0.57,4.283,18.736,4221.323,227.055,4.776,15.425,6.377,67.56,238.109,1665.547,38.531,50.085,81.131,6.938,44.421,76.65,104.307,154.808,102.308,56.809,12.615,62.731,303.408,60.645,2.436,301.242,40.747,25.083,711.699,107.757,11.939,121.777,123.08,10.217,44.683,23.516,11.266
2018-01-01 05:00:00,83.612,18.918,157.358,63.238,27.734,1.155,100.233,41.495,9.849,67.963,182.061,10.464,54.005,851.149,3632.771,40.573,3.065,66.783,202.422,410.779,327.43,23.465,5.531,17.186,95.163,58.721,108.81,77.664,55.763,28.342,774.81,29.203,13.585,75.871,10.222,50.822,148.866,7.455,43.001,4.727,9.113,17.605,1536.16,4.46,50.739,322.551,38.605,3.12,99.298,152.482,7.034,6.401,5.611,11.869,7.775,4.79,4828.374,19.623,23.409,16.662,1392.769,37.456,2.995,11.959,8.229,26.227,32.515,226.411,8.507,371.15,366.467,89.72,48.782,68.493,60.306,6.332,16.221,4.104,633.791,29.601,60.74,26.97,26.056,473.364,12.346,53.3,1.348,14.109,53.916,36.09,313.234,255.55,73.932,388.028,72.186,9.685,17.18,8.312,19.41,112.352,5552.49,132.353,3.383,15.51,376.983,9.327,233.555,1166.841,81.455,42.721,165.76,83.685,42.793,66.964,1.643,197.945,22.208,2.519,28.347,23.888,92.685,5.188,484.54,17.151,88.746,464.756,37.629,31.667,260.074,67.821,0.958,0.264,108.66,14.78,1.744,3.548,72.963,4.351,160.956,21.988,47.286,12.98,71.174,24.985,38.308,131.673,54.716,2.675,36.845,79.949,575.052,7.261,16.87,581.654,2.733,19.014,24.803,6.422,12.079,51.579,78.845,90.723,6.917,236.673,40.691,15.565,13.283,40.353,702.799,27.1,24.16,2.306,147.609,108.521,28.351,21.458,715.83,18.729,1.575,205.085,91.114,52.65,390.653,16.924,20.12,119.245,232.29,14.786,28.368,181.131,8.555,15.224,36.805,15.683,10.531,0.517,35.831,162.593,12.157,99.062,25.463,26.937,43.303,133.042,12.9,6.139,31.642,3.095,62.38,2.045,462.911,23.135,78.022,18.086,0.356,0.582,4.517,16.468,4459.607,243.703,4.917,15.412,6.55,74.549,252.373,1740.431,40.864,51.712,81.983,8.205,46.643,78.305,109.874,167.451,104.418,59.97,13.139,65.374,329.89,67.057,2.347,317.985,41.641,25.476,739.451,112.19,10.628,126.728,127.678,10.973,46.895,22.876,11.961
2018-01-01 06:00:00,90.855,20.817,167.163,71.193,25.134,1.7,110.713,44.377,13.47,75.259,197.549,12.855,61.491,960.024,3846.536,43.444,3.238,71.753,214.398,459.323,349.875,24.871,5.713,18.756,107.897,61.379,115.633,80.58,59.312,30.187,853.927,30.519,14.232,80.596,11.021,54.689,152.629,8.222,44.228,4.943,8.919,18.528,1632.281,4.753,53.207,339.893,41.799,3.152,99.362,159.509,7.239,6.903,6.275,13.02,11.014,5.941,5219.395,21.065,24.264,16.237,1457.547,40.041,3.076,14.447,8.488,28.057,35.29,243.645,8.719,391.479,391.912,99.495,51.709,71.983,62.013,7.423,17.706,3.755,700.88,31.517,62.34,25.813,28.585,486.917,12.696,55.284,1.41,15.179,54.144,37.623,325.86,267.023,76.041,401.402,76.861,9.649,19.216,8.925,20.169,114.901,6161.341,138.241,5.945,16.616,395.568,9.788,246.094,1247.515,85.619,46.042,178.098,87.036,48.664,73.626,2.047,206.303,24.045,2.724,30.321,23.842,94.177,5.345,504.658,17.267,93.296,494.757,42.015,36.212,273.593,73.662,1.177,0.265,114.424,18.011,1.831,3.801,80.783,4.735,168.15,23.931,48.519,13.819,75.634,26.777,41.948,147.776,57.821,3.076,38.486,86.39,624.827,8.107,17.32,606.599,2.852,20.42,25.397,7.124,11.853,54.829,81.0,98.575,4.833,259.964,45.011,15.003,14.35,42.884,772.089,28.662,25.72,2.499,154.63,115.791,31.158,23.346,784.102,17.429,1.693,212.231,95.401,55.108,410.479,18.18,21.351,120.749,249.618,15.941,28.912,188.734,8.287,16.29,36.547,18.202,11.668,0.599,38.981,168.832,13.79,105.747,26.987,28.231,47.509,136.99,13.423,6.396,34.348,3.96,65.282,2.14,492.276,25.434,83.902,19.796,0.376,0.593,4.866,16.934,4760.092,267.586,4.792,15.968,6.986,78.731,274.647,1826.868,45.304,53.149,86.916,8.643,51.263,86.921,118.546,186.423,114.812,69.429,13.876,69.175,349.393,68.838,2.828,345.117,37.963,27.795,773.127,116.104,10.594,138.13,132.88,13.022,50.83,23.214,12.243
2018-01-01 07:00:00,98.039,23.933,178.389,76.23,27.194,2.792,122.233,52.051,14.516,81.687,203.42,13.416,66.088,1059.707,4112.104,49.565,3.415,72.875,236.563,500.268,392.199,26.936,5.963,19.523,122.489,66.463,127.728,85.98,63.738,32.813,971.173,32.392,14.923,95.018,13.705,62.044,164.075,9.402,48.215,5.318,10.378,20.033,1797.376,4.983,54.999,381.052,45.654,4.644,104.398,175.296,8.079,9.106,7.282,13.863,12.414,5.987,5902.9,19.58,25.497,16.989,1607.255,44.832,3.339,15.594,8.433,31.645,37.824,273.246,9.688,433.615,442.479,112.334,57.881,77.95,65.896,7.67,18.96,4.37,824.231,32.914,66.118,29.392,31.717,535.832,13.222,61.901,1.506,16.394,56.531,41.643,354.64,302.547,86.645,433.42,86.124,9.86,21.552,8.28,21.096,128.963,7140.961,154.694,7.084,20.971,424.462,10.163,274.315,1365.777,97.572,48.453,185.977,94.359,52.569,78.572,2.385,233.167,27.382,2.899,33.556,28.389,98.859,7.581,548.826,17.552,100.048,542.233,44.351,34.095,305.805,77.809,2.211,0.316,129.115,18.568,2.552,3.996,86.056,5.485,191.763,28.282,53.969,15.487,79.087,28.722,47.779,164.938,60.228,3.468,41.058,96.523,699.482,8.899,19.208,661.405,3.01,21.411,28.303,5.614,13.242,65.26,101.101,104.184,5.442,283.907,49.392,15.035,15.015,44.487,878.214,32.349,28.305,2.673,163.251,130.481,37.37,27.54,855.751,19.375,1.748,234.839,98.838,65.855,442.517,19.125,24.265,130.433,278.452,16.363,31.575,203.652,8.486,17.521,41.16,20.345,12.465,0.628,46.267,187.63,17.102,125.7,32.939,29.81,51.718,153.275,14.324,6.515,35.79,7.127,69.83,2.595,533.786,29.938,105.627,20.603,0.392,0.732,5.38,18.021,5234.598,306.598,5.055,16.48,7.393,85.661,297.523,1977.797,46.939,55.588,94.121,11.855,57.35,94.578,129.917,201.242,125.987,77.176,16.103,78.343,418.692,73.208,3.814,376.02,41.259,31.036,855.904,128.152,10.87,151.546,142.443,15.283,54.925,30.823,16.036
2018-01-01 08:00:00,104.148,26.959,188.549,76.633,28.491,2.775,131.379,57.966,11.357,81.321,221.639,14.024,70.112,1101.092,4389.587,52.078,4.179,74.8,250.062,544.074,427.431,28.653,6.372,20.774,130.957,69.649,138.742,87.892,66.091,33.47,1034.612,32.604,15.571,105.021,14.091,72.563,173.819,9.869,50.084,5.865,12.977,20.875,1940.667,6.107,59.996,399.48,47.775,5.084,112.263,188.059,8.233,10.01,8.206,14.738,14.457,6.365,6303.213,20.978,27.539,18.054,1747.564,49.395,4.861,16.173,8.598,35.95,43.336,292.62,10.523,471.606,540.891,115.386,61.407,85.825,68.955,11.494,19.259,5.407,896.277,34.514,67.489,31.538,33.899,575.016,13.935,69.219,2.377,16.928,55.701,44.981,378.852,325.114,88.298,453.093,95.979,10.497,22.757,9.041,21.894,140.805,7830.522,167.014,7.205,22.399,431.647,10.81,283.751,1518.474,105.156,52.331,200.733,99.71,54.606,86.418,2.16,252.841,32.307,3.032,35.547,29.734,109.836,8.102,608.776,18.069,109.217,575.423,46.159,37.335,334.179,80.415,2.954,0.357,135.451,20.601,2.776,4.596,88.273,5.877,202.628,34.06,54.645,16.61,84.886,33.502,54.277,180.299,63.532,3.557,42.564,97.152,754.013,9.12,21.462,699.147,3.09,21.857,29.468,5.543,13.474,69.782,110.994,106.412,6.975,310.104,51.414,16.191,16.712,49.952,960.57,33.615,30.324,2.784,173.482,139.018,42.186,30.213,891.583,20.589,1.765,249.333,105.666,66.865,467.482,22.303,27.593,139.084,296.925,16.039,34.413,221.297,9.03,17.587,43.365,22.18,12.392,0.984,48.672,208.585,17.834,131.888,34.663,30.145,56.522,162.728,15.658,6.974,39.166,10.081,72.978,2.971,553.304,30.3,120.848,22.415,0.887,0.683,5.513,18.93,5565.545,331.22,5.218,17.68,6.626,90.089,309.556,2113.771,48.744,57.796,101.168,12.663,59.968,99.085,138.187,210.238,130.0,82.923,16.847,84.638,452.442,81.622,4.471,387.913,44.85,35.068,922.539,137.865,11.376,157.075,146.382,12.226,57.32,35.014,18.939
2018-01-01 09:00:00,104.067,29.488,188.159,80.522,29.183,2.783,128.835,53.407,10.904,80.957,226.582,13.23,68.588,1108.591,4431.922,51.041,4.283,77.501,242.411,588.325,420.984,28.422,6.169,21.659,131.991,68.067,138.294,87.813,69.285,32.784,1046.713,32.606,16.205,105.05,13.55,80.962,176.421,10.773,50.985,5.377,13.3,21.851,1931.23,5.737,63.484,391.528,45.295,3.976,113.374,191.583,8.106,10.04,8.444,14.481,14.788,5.671,6268.853,21.976,28.334,17.064,1773.105,49.688,4.682,20.058,9.254,37.115,43.128,306.556,11.663,464.509,612.021,116.784,62.42,83.876,70.097,13.006,19.737,5.799,888.76,33.776,68.85,32.772,33.105,598.753,13.727,67.898,1.638,17.901,55.497,45.699,382.779,325.411,89.743,443.6,97.194,11.594,23.525,9.719,21.71,141.8,8074.92,162.798,6.879,21.332,433.056,11.151,280.472,1568.677,103.405,49.863,200.21,97.672,55.171,90.837,2.179,251.513,33.73,3.491,37.159,26.996,118.409,7.222,653.108,18.248,111.189,562.372,44.986,35.637,337.452,80.812,3.017,0.414,138.263,20.305,2.585,4.562,88.728,6.026,192.371,34.087,54.418,14.999,87.624,33.979,53.856,191.402,62.355,3.668,41.873,96.116,761.464,8.915,23.619,704.539,2.481,22.177,28.733,8.728,12.188,69.081,118.535,105.52,6.136,321.657,54.687,16.613,16.527,53.383,970.41,32.515,28.005,2.321,186.305,142.235,45.742,31.78,927.419,20.572,1.746,269.154,100.573,68.225,463.612,23.74,30.23,141.498,309.412,17.791,35.6,226.275,9.273,16.295,40.845,25.519,13.267,1.117,45.286,213.471,18.496,129.107,34.357,30.602,57.917,163.917,15.915,7.511,40.075,9.271,73.181,3.0,546.735,31.371,122.057,21.903,0.893,0.635,6.274,21.499,5598.619,333.479,5.309,19.551,7.364,87.551,321.405,2190.342,48.967,59.388,98.397,12.361,59.573,101.367,140.605,210.719,135.837,88.698,17.359,81.416,464.459,81.471,3.529,397.136,47.207,33.571,959.342,138.863,12.782,157.68,147.123,11.559,52.599,34.313,21.167
