timestamp,9qz6pn,9rrdcd,9x2t3j,9x13eq,9x60s5,9x21qy,9x1mpn,9wcmbm,9w8xpz,9wfjdx,9qxrtt,9rpccm,9w8kp9,9qzt9e,9x29ub,9wb606,9x2uud,9x0rm5,9w9vvt,9x08j1,9wbkrt,9x30db,9rpw1y,9x4h7b,9x0s4z,9x0vqq,9qx7cx,9wc1dk,9x26y1
2018-01-01 00:00:00,0.059,23.312,9.57,7.733,0.985,52.441,12.523,2.843,0.715,3.096,11.158,6.129,2.025,2.208,1.059,0.317,0.525,109.459,0.999,10.288,7.216,17.834,6.941,8.699,59.011,4.482,40.291,0.025,30.303
2018-01-01 01:00:00,0.079,31.133,12.623,10.522,1.41,73.421,17.508,3.977,0.821,3.846,15.994,8.437,2.657,3.125,1.516,0.434,0.762,161.521,1.468,15.031,11.392,24.212,9.721,12.379,87.095,6.349,58.59,0.037,42.657
2018-01-01 02:00:00,0.05,25.852,8.409,4.708,0.986,38.865,12.477,1.72,0.536,2.993,8.178,5.332,1.746,2.372,0.908,0.116,0.691,93.159,1.311,7.439,6.597,17.776,8.625,8.243,66.361,3.629,38.629,0.015,32.18
2018-01-01 03:00:00,0.044,24.819,7.091,2.757,0.711,33.453,10.94,1.266,0.52,2.746,6.343,4.337,1.507,2.259,0.788,0.01,0.679,75.684,1.259,6.184,5.052,16.344,7.943,6.744,56.303,2.968,31.319,0.01,28.88
2018-01-01 04:00:00,0.051,24.589,7.759,2.847,0.829,38.694,10.83,1.478,0.563,2.091,6.698,4.465,0.95,2.331,0.801,0.011,0.708,80.752,1.299,6.545,5.714,17.136,8.148,7.235,59.395,2.904,38.307,0.018,30.56
2018-01-01 05:00:00,0.059,25.756,8.616,3.202,1.028,41.443,12.01,2.294,0.619,2.08,6.722,2.798,1.085,2.23,0.295,0.012,0.825,89.433,1.609,7.778,5.857,18.293,8.236,8.408,62.042,3.384,45.369,0.036,34.653
2018-01-01 06:00:00,0.062,25.482,9.004,4.722,0.863,39.726,12.104,2.493,0.672,2.218,7.097,2.275,1.276,2.332,0.111,0.014,0.848,97.809,1.895,9.818,7.52,18.801,7.979,8.333,69.283,3.484,51.083,0.042,37.064
2018-01-01 07:00:00,0.062,25.378,8.85,4.736,1.12,43.404,12.472,1.988,0.681,2.593,9.13,2.331,1.322,2.299,0.153,0.013,0.83,100.637,1.858,10.697,11.17,18.886,8.24,8.709,71.336,3.919,61.5,0.039,38.497
2018-01-01 08:00:00,0.064,24.994,8.538,4.053,1.354,43.267,12.995,2.119,0.636,2.569,12.676,2.375,1.573,2.216,0.424,0.013,0.809,113.674,3.093,8.645,11.337,17.994,9.084,8.515,70.935,4.09,63.57,0.044,45.401
2018-01-01 09:00:00,0.066,23.588,8.186,4.195,1.031,42.066,13.492,2.455,0.748,2.287,12.097,2.549,1.655,2.328,0.185,0.014,0.611,116.117,3.083,8.925,11.83,17.766,8.736,8.477,73.275,3.667,69.975,0.046,48.414
2018-01-01 10:00:00,0.062,21.825,8.365,4.466,0.934,40.869,13.224,1.541,0.899,2.247,10.75,2.297,1.57,2.187,0.193,0.013,0.627,120.375,2.662,8.99,10.469,17.256,8.849,8.332,65.42,3.604,71.462,0.038,49.629
2018-01-01 11:00:00,0.053,19.039,7.552,3.46,0.653,37.238,9.791,1.239,0.73,2.206,8.959,1.777,1.13,1.579,0.169,0.009,0.702,112.232,2.698,7.062,9.308,15.867,8.053,7.396,49.53,3.185,60.803,0.025,42.701
2018-01-01 12:00:00,0.038,15.805,6.34,4.343,0.327,29.341,7.68,1.096,0.388,2.008,5.786,1.602,0.762,1.69,0.108,0.006,0.626,89.439,1.927,5.298,7.665,14.465,7.754,5.618,47.559,2.694,46.961,0.02,32.388
2018-01-01 13:00:00,0.028,13.645,5.582,3.124,0.208,21.093,7.274,0.829,0.24,2.499,3.988,1.451,1.2,1.589,0.059,0.005,0.467,66.585,1.304,3.732,5.167,11.747,5.644,4.829,41.748,2.26,36.846,0.014,23.678
2018-01-01 14:00:00,0.017,11.564,4.743,1.454,0.163,23.208,6.634,0.487,0.157,1.863,2.749,5.593,0.906,1.379,0.9,0.003,0.359,51.29,0.855,2.848,4.063,10.121,3.989,3.884,30.615,1.825,28.322,0.01,17.031
2018-01-01 15:00:00,0.011,9.964,4.036,0.783,0.16,19.776,5.646,0.824,0.113,0.459,1.699,5.823,0.178,1.239,1.009,0.003,0.244,44.095,0.659,2.41,3.297,9.304,2.728,3.439,25.29,1.326,19.445,0.007,13.582
2018-01-01 16:00:00,0.006,9.06,2.951,1.253,0.117,14.335,4.979,0.691,0.081,0.049,0.824,1.929,0.021,1.12,0.381,0.002,0.13,36.558,0.365,1.84,2.493,7.617,2.128,2.531,22.057,1.01,12.5,0.005,10.715
