timestamp,9qz6pn,9rrdcd,9x2t3j,9x13eq,9x60s5,9x21qy,9x1mpn,9wcmbm,9w8xpz,9wfjdx,9qxrtt,9rpccm,9w8kp9,9qzt9e,9x29ub,9wb606,9x2uud,9x0rm5,9w9vvt,9x08j1,9wbkrt,9x30db,9rpw1y,9x4h7b,9x0s4z,9x0vqq,9qx7cx,9wc1dk,9x26y1
2018-01-01 00:00:00,3.152,44.222,37.006,14.025,1.652,164.81,20.59,5.413,3.401,6.289,31.205,9.321,6.213,5.969,3.496,0.633,1.976,557.401,4.738,20.904,13.398,50.033,22.339,19.565,239.238,12.074,92.372,0.869,117.961
2018-01-01 01:00:00,3.969,54.637,43.725,18.202,2.162,203.075,26.832,7.4,3.706,7.686,40.258,12.27,7.756,7.278,4.647,0.769,2.404,685.144,5.541,28.757,18.478,55.714,28.041,26.777,291.165,16.833,115.084,1.204,141.519
2018-01-01 02:00:00,3.491,44.186,34.629,10.117,1.717,139.898,18.714,4.1,2.664,6.235,26.306,8.733,5.502,5.415,3.285,0.405,1.963,525.194,4.657,16.51,11.679,43.007,23.861,18.675,232.827,11.161,80.772,0.877,112.913
2018-01-01 03:00:00,3.332,41.989,31.762,7.907,1.378,126.576,15.944,3.707,2.323,5.819,22.904,8.061,4.971,6.222,4.3,0.511,1.98,484.597,4.554,14.672,9.624,40.793,22.963,15.53,211.664,10.571,70.691,0.817,103.969
2018-01-01 04:00:00,3.349,41.434,29.937,7.617,1.63,129.325,15.838,3.93,2.359,5.181,22.103,7.42,4.534,5.544,3.179,0.614,1.82,480.437,4.704,14.321,10.3,39.751,24.158,16.258,209.553,9.08,76.15,0.873,102.916
2018-01-01 05:00:00,3.381,43.364,30.408,8.063,1.722,132.473,17.412,4.482,2.478,5.085,22.287,5.696,4.702,4.769,2.385,0.615,1.99,485.404,4.877,15.169,10.5,40.817,23.989,17.851,212.506,9.57,84.525,0.977,107.808
2018-01-01 06:00:00,3.388,43.323,31.966,9.909,1.527,133.678,17.608,5.06,2.633,5.363,23.008,5.475,5.309,4.98,2.261,0.618,2.056,509.877,5.02,17.519,12.363,41.458,22.74,17.758,224.736,9.492,92.354,1.002,115.06
2018-01-01 07:00:00,3.575,45.51,33.947,10.895,1.817,145.808,19.076,4.761,2.926,6.044,27.499,6.027,5.486,5.154,2.833,0.622,2.098,556.194,5.641,19.027,16.43,45.678,23.914,19.12,241.67,11.249,109.226,1.026,124.753
2018-01-01 08:00:00,4.492,47.572,42.399,11.5,2.301,169.913,20.621,5.27,3.169,6.094,34.715,6.508,7.184,5.577,4.081,0.656,2.312,672.478,7.909,18.937,18.019,50.959,30.992,21.787,287.334,13.151,126.417,1.228,149.233
2018-01-01 09:00:00,5.844,49.475,46.855,13.846,2.138,198.365,23.755,6.259,3.469,6.599,37.411,6.735,9.425,7.968,3.965,0.718,3.053,775.465,8.113,20.436,19.756,60.967,34.53,24.296,330.726,13.393,146.63,1.507,177.883
