timestamp,dqdnu5,dqb0k6,dnxngr,dq8s3s,dnxwnf,dnxuwe,dqcjjt,dnz9nu,dnz29d,dnxkq2,dnw71z,dnxm8n,dq89hh,dntsj0,dq8jv0,dnxg8j,dqbbrg,dnw8fy,dq9hw9,dq84d1,dq8udk,dqbw92,dnwvnm,dqbdfn,dq8m7q,dnt7q0,dq8fcm,dq9rc4,dqchcs,dqbsmj,dnwf5e,dq8r4w,dnx4qn,dqbr50,dnws79,dq9sf9,dq8wdf,dnw0xb,dqb1y7,dq8bej,dnxc5t,dq8yud,dq8y0f,dnx31p,dnz6m2,dq93ym,dq9kkf,dq9q9f,dqc1u0,dq9ntb,dq9wmp,dnsbu3,dqby36,dqb81b,dq865t,dqb6db,dq9ubm,dq828w,dq9tfw,dnwg6x,dnxyuz,dq9jru,dqdh0q,dq9xmg,dq87rc,dqb98g,dqb5tz,dnwbt5,dnx93p,dq8te5,dq85z0,dq95dc,dqbuhv,dnwdg7,dqbkj4,dq9rvg,dnxhky,dnxx05,dnzghf,dntd5g,dnt2b5,dqbjh1,dnw18d,dq90vk,dqbc0y,dqbft8,dq974t,dq941f,dntgpy,dqbmk7,dnt9p1,dqc2u3,dnt4rg,dnw3fv,dq9e9z,dqchvf,dnt863,dnxwdh,dqb0qh,dq98xt,dq8gyz,dnxngv,dnx815,dq8bg8,dqcj11,dqcj5y,dq929n,dqbcus,dnw2wd,dq9dzb,dnzftj,dq9h1h,dnxwbn,dnxsvb,dqbukv,dqbut9,dnx0ww,dq9dft,dq9f11,dnt4pg,dq8gwu,dq9epx,dq99wq,dnwenv,dq8vsb,dnxhhd,dnxh47,dnzc0f,dq98b0,dq9cnp,dnzbs9,dq9kn2,dqbqv5
2018-01-01 00:00:00,0.006,0.075,0.0,0.0,0.002,0.037,2.853,0.022,0.0,0.022,0.0,0.005,0.001,0.004,0.0,0.001,0.0,0.023,0.0,0.005,0.165,0.042,0.0,0.016,0.0,0.0,0.044,0.002,7.751,0.019,0.0,0.0,0.017,0.009,0.001,0.013,0.021,0.041,0.036,0.0,0.026,0.079,0.324,0.006,0.0,0.013,0.068,0.0,0.001,0.0,0.008,0.0,0.403,0.0,0.0,0.005,0.0,0.001,0.004,0.052,0.0,0.0,0.0,0.0,0.001,0.002,0.001,0.054,0.021,0.001,0.004,0.034,0.502,0.005,0.055,0.0,0.121,0.02,0.034,0.001,0.047,0.002,0.152,0.0,0.216,0.109,0.0,0.0,0.052,0.024,0.006,0.001,0.028,0.007,0.072,3.504,0.016,0.0,0.068,0.191,0.015,0.0,0.035,0.0,0.001,0.001,0.0,0.03,0.0,0.031,0.014,0.008,0.0,0.106,0.012,0.002,0.0,0.321,0.505,0.0,0.027,0.0,0.038,0.0,1.04,0.579,0.013,0.009,0.065,0.748,0.003,0.007,0.016
2018-01-01 01:00:00,0.004,0.088,0.0,0.0,0.001,0.05,3.701,0.01,0.0,0.003,0.0,0.007,0.0,0.001,0.0,0.001,0.0,0.03,0.0,0.0,0.199,0.055,0.0,0.016,0.0,0.0,0.058,0.001,10.269,0.027,0.0,0.0,0.01,0.007,0.0,0.005,0.033,0.048,0.026,0.0,0.033,0.114,0.343,0.008,0.0,0.007,0.028,0.0,0.0,0.0,0.002,0.0,0.526,0.0,0.0,0.001,0.0,0.0,0.004,0.054,0.0,0.0,0.0,0.002,0.001,0.0,0.002,0.073,0.029,0.0,0.001,0.042,0.552,0.002,0.072,0.0,0.162,0.029,0.046,0.007,0.062,0.006,0.15,0.0,0.115,0.123,0.0,0.001,0.058,0.026,0.008,0.007,0.037,0.002,0.12,4.704,0.012,0.0,0.087,0.212,0.009,0.0,0.031,0.0,0.0,0.002,0.0,0.034,0.0,0.053,0.011,0.008,0.0,0.118,0.003,0.001,0.0,0.421,0.608,0.0,0.038,0.0,0.044,0.0,1.347,0.671,0.004,0.003,0.074,0.995,0.0,0.014,0.007
2018-01-01 02:00:00,0.002,0.098,0.0,0.0,0.0,0.054,3.92,0.012,0.0,0.005,0.0,0.006,0.0,0.0,0.0,0.001,0.0,0.03,0.0,0.0,0.192,0.058,0.0,0.021,0.0,0.0,0.057,0.001,10.142,0.009,0.0,0.0,0.004,0.007,0.0,0.002,0.025,0.053,0.022,0.0,0.032,0.121,0.339,0.003,0.0,0.017,0.04,0.0,0.0,0.0,0.0,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.003,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.07,0.031,0.0,0.0,0.041,0.59,0.0,0.072,0.0,0.15,0.029,0.047,0.0,0.062,0.001,0.149,0.0,0.078,0.118,0.0,0.001,0.058,0.027,0.0,0.007,0.037,0.0,0.103,4.674,0.01,0.0,0.086,0.23,0.007,0.0,0.027,0.0,0.0,0.002,0.0,0.029,0.0,0.074,0.005,0.007,0.0,0.104,0.0,0.0,0.0,0.415,0.638,0.0,0.038,0.0,0.041,0.0,1.329,0.498,0.002,0.0,0.07,0.907,0.0,0.01,0.003
2018-01-01 03:00:00,0.002,0.089,0.0,0.0,0.001,0.055,3.834,0.007,0.0,0.001,0.0,0.006,0.0,0.0,0.0,0.001,0.0,0.022,0.0,0.0,0.211,0.054,0.0,0.014,0.0,0.0,0.057,0.001,10.216,0.01,0.0,0.0,0.004,0.007,0.0,0.002,0.025,0.054,0.022,0.0,0.008,0.08,0.336,0.003,0.0,0.007,0.038,0.0,0.007,0.0,0.0,0.0,0.477,0.0,0.0,0.0,0.0,0.0,0.002,0.034,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.067,0.031,0.0,0.0,0.041,0.599,0.0,0.071,0.0,0.156,0.028,0.047,0.0,0.062,0.0,0.151,0.0,0.067,0.116,0.0,0.0,0.058,0.029,0.0,0.003,0.037,0.002,0.091,4.458,0.009,0.0,0.085,0.232,0.005,0.0,0.031,0.0,0.0,0.002,0.0,0.025,0.0,0.033,0.005,0.007,0.0,0.088,0.0,0.0,0.0,0.408,0.645,0.0,0.038,0.0,0.067,0.0,1.34,0.402,0.006,0.0,0.039,0.759,0.0,0.013,0.009
2018-01-01 04:00:00,0.004,0.079,0.006,0.0,0.0,0.055,3.791,0.006,0.0,0.001,0.0,0.007,0.0,0.0,0.0,0.01,0.0,0.025,0.0,0.0,0.216,0.054,0.0,0.013,0.0,0.0,0.057,0.001,10.318,0.004,0.0,0.0,0.004,0.007,0.0,0.008,0.024,0.059,0.018,0.0,0.0,0.115,0.293,0.002,0.0,0.007,0.019,0.0,0.0,0.0,0.001,0.0,0.294,0.0,0.0,0.0,0.0,0.001,0.002,0.026,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.064,0.033,0.0,0.0,0.041,0.53,0.0,0.07,0.0,0.153,0.028,0.047,0.001,0.068,0.0,0.18,0.0,0.065,0.071,0.0,0.0,0.057,0.028,0.0,0.0,0.037,0.0,0.098,4.598,0.008,0.0,0.083,0.222,0.005,0.0,0.028,0.0,0.0,0.002,0.0,0.032,0.0,0.06,0.005,0.007,0.0,0.084,0.0,0.0,0.0,0.391,0.643,0.0,0.038,0.0,0.037,0.0,1.332,0.395,0.002,0.0,0.03,0.894,0.0,0.002,0.003
2018-01-01 05:00:00,0.004,0.099,0.0,0.0,0.001,0.055,3.909,0.006,0.0,0.006,0.0,0.006,0.0,0.006,0.0,0.005,0.0,0.03,0.0,0.0,0.224,0.053,0.0,0.013,0.0,0.0,0.056,0.002,10.829,0.002,0.003,0.0,0.028,0.003,0.0,0.001,0.024,0.051,0.012,0.0,0.0,0.114,0.316,0.004,0.0,0.007,0.041,0.0,0.0,0.0,0.008,0.001,0.367,0.0,0.0,0.001,0.0,0.0,0.001,0.041,0.0,0.0,0.001,0.0,0.001,0.002,0.004,0.06,0.039,0.0,0.0,0.045,0.327,0.002,0.07,0.0,0.165,0.028,0.047,0.0,0.066,0.001,0.001,0.0,0.063,0.08,0.0,0.0,0.062,0.026,0.001,0.0,0.037,0.0,0.115,4.746,0.022,0.0,0.079,0.215,0.015,0.0,0.029,0.0,0.003,0.002,0.0,0.018,0.0,0.046,0.012,0.005,0.0,0.092,0.002,0.002,0.0,0.39,0.641,0.0,0.04,0.0,0.038,0.0,1.372,0.408,0.003,0.005,0.027,0.889,0.0,0.005,0.008
2018-01-01 06:00:00,0.004,0.181,0.0,0.0,0.001,0.04,4.204,0.007,0.0,0.01,0.0,0.006,0.0,0.005,0.0,0.001,0.0,0.035,0.0,0.0,0.315,0.052,0.0,0.014,0.0,0.0,0.037,0.001,11.795,0.001,0.0,0.0,0.022,0.001,0.0,0.0,0.024,0.061,0.003,0.0,0.0,0.087,0.437,0.005,0.0,0.007,0.013,0.0,0.0,0.009,0.006,0.0,0.516,0.0,0.0,0.001,0.0,0.0,0.001,0.076,0.0,0.002,0.0,0.0,0.001,0.0,0.002,0.057,0.03,0.0,0.0,0.044,0.204,0.001,0.051,0.0,0.173,0.028,0.046,0.0,0.052,0.0,0.001,0.0,0.051,0.086,0.0,0.0,0.06,0.025,0.0,0.0,0.037,0.0,0.15,4.305,0.016,0.0,0.079,0.231,0.022,0.0,0.029,0.0,0.002,0.002,0.0,0.013,0.0,0.069,0.005,0.004,0.0,0.082,0.004,0.001,0.006,0.501,0.842,0.0,0.04,0.0,0.042,0.0,1.419,0.471,0.002,0.004,0.027,0.904,0.0,0.007,0.02
2018-01-01 07:00:00,0.012,0.209,0.0,0.0,0.0,0.038,5.143,0.001,0.0,0.021,0.0,0.007,0.0,0.003,0.0,0.001,0.0,0.031,0.0,0.0,0.367,0.053,0.0,0.025,0.0,0.0,0.03,0.0,12.577,0.005,0.0,0.0,0.008,0.001,0.0,0.0,0.026,0.029,0.0,0.0,0.001,0.118,0.683,0.005,0.0,0.007,0.013,0.0,0.0,0.0,0.0,0.005,0.569,0.0,0.0,0.0,0.028,0.0,0.001,0.173,0.0,0.009,0.0,0.0,0.001,0.0,0.002,0.055,0.041,0.0,0.0,0.041,0.19,0.007,0.049,0.0,0.199,0.028,0.046,0.003,0.053,0.0,0.001,0.0,0.048,0.052,0.0,0.0,0.059,0.025,0.0,0.0,0.047,0.003,0.207,4.924,0.024,0.0,0.087,0.236,0.015,0.0,0.03,0.0,0.011,0.004,0.0,0.009,0.0,0.088,0.005,0.003,0.0,0.091,0.004,0.001,0.002,0.654,1.193,0.0,0.037,0.0,0.06,0.0,1.505,0.507,0.002,0.003,0.035,1.219,0.0,0.024,0.04
2018-01-01 08:00:00,0.004,0.268,0.0,0.0,0.001,0.034,5.827,0.0,0.0,0.021,0.0,0.007,0.0,0.0,0.0,0.001,0.0,0.031,0.0,0.001,0.44,0.054,0.0,0.029,0.0,0.0,0.03,0.0,13.831,0.016,0.0,0.018,0.006,0.029,0.0,0.001,0.032,0.028,0.0,0.0,0.002,0.204,0.794,0.0,0.0,0.007,0.013,0.0,0.0,0.001,0.0,0.008,0.633,0.0,0.0,0.0,0.0,0.0,0.002,0.194,0.0,0.012,0.0,0.0,0.001,0.0,0.003,0.054,0.038,0.0,0.0,0.036,0.131,0.001,0.02,0.0,0.213,0.028,0.047,0.0,0.054,0.004,0.002,0.0,0.052,0.051,0.0,0.0,0.057,0.029,0.001,0.0,0.037,0.004,0.241,5.55,0.034,0.0,0.087,0.284,0.021,0.0,0.03,0.0,0.016,0.001,0.0,0.013,0.0,0.08,0.008,0.003,0.0,0.098,0.001,0.0,0.011,0.815,1.411,0.0,0.038,0.0,0.045,0.0,1.473,0.549,0.007,0.003,0.045,1.134,0.0,0.029,0.07
2018-01-01 09:00:00,0.005,0.353,0.0,0.0,0.002,0.016,7.221,0.004,0.0,0.006,0.0,0.008,0.0,0.0,0.0,0.001,0.0,0.031,0.0,0.007,0.544,0.056,0.0,0.029,0.0,0.0,0.034,0.0,16.685,0.012,0.001,0.024,0.004,0.021,0.0,0.0,0.057,0.027,0.0,0.0,0.007,0.116,1.017,0.009,0.0,0.011,0.011,0.0,0.0,0.01,0.0,0.01,0.789,0.0,0.006,0.0,0.0,0.002,0.001,0.381,0.0,0.018,0.0,0.0,0.001,0.0,0.003,0.059,0.029,0.0,0.0,0.04,0.162,0.002,0.012,0.006,0.27,0.027,0.046,0.0,0.051,0.037,0.007,0.0,0.097,0.049,0.0,0.0,0.059,0.027,0.022,0.001,0.038,0.013,0.359,6.192,0.171,0.0,0.126,0.456,0.022,0.0,0.043,0.0,0.051,0.002,0.0,0.011,0.0,0.082,0.034,0.001,0.0,0.164,0.008,0.005,0.021,1.033,1.795,0.0,0.06,0.0,0.046,0.0,1.729,1.203,0.011,0.003,0.023,1.852,0.0,0.123,0.122
