timestamp,dqdnu5,dqb0k6,dnxngr,dq8s3s,dnxwnf,dnxuwe,dqcjjt,dnz9nu,dnz29d,dnxkq2,dnw71z,dnxm8n,dq89hh,dntsj0,dq8jv0,dnxg8j,dqbbrg,dnw8fy,dq9hw9,dq84d1,dq8udk,dqbw92,dnwvnm,dqbdfn,dq8m7q,dnt7q0,dq8fcm,dq9rc4,dqchcs,dqbsmj,dnwf5e,dq8r4w,dnx4qn,dqbr50,dnws79,dq9sf9,dq8wdf,dnw0xb,dqb1y7,dq8bej,dnxc5t,dq8yud,dq8y0f,dnx31p,dnz6m2,dq93ym,dq9kkf,dq9q9f,dqc1u0,dq9ntb,dq9wmp,dnsbu3,dqby36,dqb81b,dq865t,dqb6db,dq9ubm,dq828w,dq9tfw,dnwg6x,dnxyuz,dq9jru,dqdh0q,dq9xmg,dq87rc,dqb98g,dqb5tz,dnwbt5,dnx93p,dq8te5,dq85z0,dq95dc,dqbuhv,dnwdg7,dqbkj4,dq9rvg,dnxhky,dnxx05,dnzghf,dntd5g,dnt2b5,dqbjh1,dnw18d,dq90vk,dqbc0y,dqbft8,dq974t,dq941f,dntgpy,dqbmk7,dnt9p1,dqc2u3,dnt4rg,dnw3fv,dq9e9z,dqchvf,dnt863,dnxwdh,dqb0qh,dq98xt,dq8gyz,dnxngv,dnx815,dq8bg8,dqcj11,dqcj5y,dq929n,dqbcus,dnw2wd,dq9dzb,dnzftj,dq9h1h,dnxwbn,dnxsvb,dqbukv,dqbut9,dnx0ww,dq9dft,dq9f11,dnt4pg,dq8gwu,dq9epx,dq99wq,dnwenv,dq8vsb,dnxhhd,dnxh47,dnzc0f,dq98b0,dq9cnp,dnzbs9,dq9kn2,dqbqv5
2018-01-01 00:00:00,65.896,129.024,39.081,17.657,64.846,21.213,156.784,91.417,10.005,141.322,16.227,47.642,14.336,52.307,23.258,82.317,36.511,58.61,15.358,15.043,493.416,36.428,11.832,80.818,8.669,38.576,37.984,17.565,816.847,91.904,30.234,26.597,91.827,94.111,21.275,55.107,34.019,38.581,20.18,14.988,45.408,178.396,394.397,88.136,4.712,39.477,72.243,8.141,29.722,24.581,22.131,54.624,200.1,66.838,10.465,16.025,22.876,46.871,18.826,146.14,43.824,27.453,17.2,24.643,21.058,57.662,24.717,31.376,110.862,45.953,16.514,58.096,363.952,53.135,11.622,16.582,104.76,35.018,124.789,66.941,51.702,76.571,52.792,26.287,195.673,149.417,9.472,10.9,83.834,82.644,101.297,54.255,76.811,74.889,52.405,110.071,33.703,4.791,55.613,174.576,35.939,10.999,71.446,3.248,16.852,8.205,6.618,41.078,14.739,127.142,56.761,33.115,9.537,140.246,45.902,15.398,28.124,177.852,196.474,9.968,55.794,7.696,77.003,22.592,276.453,115.894,29.41,29.32,100.862,474.59,35.821,18.657,38.438
2018-01-01 01:00:00,97.864,174.66,50.421,25.85,84.639,27.793,212.658,130.821,13.103,190.324,22.275,63.73,19.815,72.072,32.523,110.432,51.084,77.098,21.95,22.372,587.518,49.114,14.805,121.697,13.294,53.294,44.862,24.691,1138.773,138.132,40.113,37.027,120.161,126.008,27.624,72.348,50.715,51.854,26.962,21.366,61.585,249.16,542.062,110.32,6.392,49.295,94.948,11.204,41.774,34.073,29.643,74.17,259.813,101.492,14.631,18.302,31.019,64.177,25.858,187.502,65.404,38.513,23.844,31.743,30.595,89.269,33.839,39.115,145.309,62.947,24.803,69.061,533.983,70.879,16.616,21.644,135.191,46.845,182.633,88.221,68.968,98.642,64.864,31.339,278.427,208.951,11.014,13.265,107.491,110.87,130.602,67.712,105.872,94.988,72.45,150.73,43.665,7.24,75.488,258.947,43.483,14.774,97.568,4.707,23.324,11.8,8.252,58.338,18.953,184.416,81.25,46.175,11.899,179.581,67.009,22.604,35.332,234.807,286.091,14.325,67.515,11.114,112.852,30.073,368.208,153.14,38.565,43.65,124.943,665.124,51.324,24.201,50.354
2018-01-01 02:00:00,99.052,181.175,51.167,27.771,90.67,29.463,220.516,137.656,13.651,202.944,23.159,65.957,21.709,74.341,36.857,119.352,55.233,79.114,24.344,24.762,608.842,50.296,12.974,129.734,14.547,54.029,44.716,27.315,1276.725,146.064,41.416,37.822,125.121,127.148,28.604,77.681,54.683,51.755,27.812,22.231,70.281,261.364,558.957,119.542,6.409,49.538,96.795,11.84,45.883,38.166,31.144,75.678,259.199,105.132,15.429,18.703,31.439,68.866,27.271,187.58,68.808,43.135,24.809,34.729,34.698,94.644,35.238,44.107,155.718,66.477,29.376,71.595,571.64,76.143,17.069,21.841,142.837,47.785,196.147,90.658,75.252,96.535,69.521,32.926,303.905,227.902,10.929,13.538,114.184,110.957,128.612,66.446,109.301,100.552,73.722,156.655,44.308,7.045,79.804,271.225,44.631,15.021,104.45,5.024,28.439,12.305,7.487,65.833,18.867,194.839,86.904,47.602,12.676,188.397,71.841,22.309,38.853,244.841,313.542,14.755,71.142,11.179,124.344,30.539,378.993,161.766,42.408,46.487,127.464,691.305,53.413,24.641,50.197
2018-01-01 03:00:00,100.079,187.266,52.285,31.215,94.081,32.032,232.283,142.518,13.998,212.658,23.586,71.173,22.765,75.511,39.506,130.96,54.792,81.419,25.537,28.308,627.69,50.831,12.649,139.679,17.024,55.568,44.875,29.604,1386.949,154.831,45.4,40.819,132.742,128.687,29.501,80.47,58.27,52.594,28.757,22.951,77.251,281.908,587.289,132.703,6.378,50.508,99.332,12.764,50.148,40.405,31.57,78.409,277.585,109.352,14.012,20.685,32.244,75.286,29.763,198.432,71.625,49.076,25.345,35.611,39.268,101.624,37.838,48.928,168.322,73.252,34.411,75.58,591.11,79.09,18.131,22.063,160.017,47.619,206.212,93.845,79.188,95.978,72.574,33.047,316.26,234.793,11.429,14.722,121.136,116.001,131.529,64.311,111.312,105.086,74.572,162.915,45.552,6.8,84.33,294.266,44.668,15.103,115.384,5.251,30.188,12.998,10.184,66.221,19.151,188.28,92.651,50.28,15.119,202.997,76.088,22.184,41.854,248.003,345.871,15.229,72.203,10.582,132.575,32.983,400.594,171.653,46.97,48.438,130.39,704.829,55.386,24.893,51.038
2018-01-01 04:00:00,105.01,197.861,52.694,34.308,92.754,34.168,242.785,149.404,13.575,220.173,23.163,73.158,23.757,74.782,41.626,135.865,56.605,84.393,26.648,30.652,651.506,51.468,13.328,146.633,18.268,56.933,45.606,30.646,1441.077,163.536,48.212,42.659,135.007,128.529,32.425,78.389,59.791,55.506,28.728,23.687,83.06,304.51,625.096,144.303,6.48,52.506,101.119,13.584,49.114,39.447,33.219,80.236,291.316,121.625,14.462,21.539,31.926,81.131,28.275,216.111,75.887,53.171,27.09,38.18,40.907,107.742,38.516,52.705,181.39,77.374,38.408,78.329,581.97,80.855,19.137,23.562,164.699,47.207,216.646,95.992,81.304,102.548,77.612,33.087,328.786,240.474,12.25,15.465,134.812,121.047,138.637,66.163,113.885,109.115,75.177,169.903,47.541,7.085,85.98,295.426,47.088,15.529,122.281,6.42,31.075,13.329,10.383,63.973,19.977,188.501,95.846,54.074,15.346,206.937,75.153,21.132,44.456,247.85,360.693,15.684,75.512,10.546,134.744,34.71,426.048,176.902,47.6,50.426,137.059,701.471,57.873,25.676,53.487
2018-01-01 05:00:00,104.38,207.792,53.562,35.482,92.71,35.085,251.425,158.978,16.051,224.466,23.13,76.31,25.699,73.176,43.437,134.687,59.348,86.771,26.95,34.53,728.003,51.693,14.22,150.412,19.525,55.792,52.227,31.541,1500.477,169.783,48.359,46.977,141.071,131.995,33.876,79.887,61.357,58.993,29.033,25.823,86.029,321.789,649.717,152.416,6.621,53.653,108.653,13.427,47.311,41.572,33.503,79.378,294.39,132.154,16.619,22.649,34.326,88.974,26.991,229.59,82.99,52.723,26.895,36.813,42.77,114.901,38.33,56.4,185.13,81.349,40.188,83.814,566.199,83.903,19.56,24.332,168.522,48.688,236.029,98.653,83.505,101.322,83.133,33.208,345.799,248.693,13.275,15.851,143.198,122.0,145.694,69.192,116.412,112.121,77.371,175.251,49.811,7.488,86.577,301.375,53.008,15.781,124.89,6.933,32.49,14.767,10.381,68.877,20.629,192.598,101.642,55.57,14.083,211.398,71.632,19.92,45.431,254.871,348.457,16.587,83.751,11.699,131.524,34.959,446.111,186.701,47.636,56.284,141.353,696.249,61.781,27.828,57.739
2018-01-01 06:00:00,104.761,209.09,57.439,35.37,94.388,34.125,248.877,160.683,16.513,223.741,23.317,77.095,26.582,74.409,45.256,137.641,65.56,89.434,26.484,42.496,803.238,51.955,14.687,155.969,21.177,54.795,56.839,32.572,1551.924,176.388,50.347,50.344,150.06,132.369,33.891,82.316,61.142,63.914,32.366,26.003,87.575,341.195,655.669,157.719,6.636,56.719,118.677,12.856,47.846,40.982,34.204,85.847,319.959,135.328,17.544,21.843,33.875,104.094,28.142,243.297,87.869,50.84,26.992,43.819,43.804,116.659,36.642,56.885,187.583,81.046,40.622,93.494,579.161,90.235,19.858,25.806,169.402,51.784,248.525,104.184,88.309,101.823,86.29,33.651,365.638,256.726,13.048,16.602,145.287,128.266,149.626,76.868,116.59,114.838,82.678,178.908,51.572,7.56,86.303,321.314,58.052,15.784,128.924,6.82,33.797,14.804,10.255,71.81,21.527,193.591,104.181,55.039,13.555,226.864,73.663,19.5,48.179,266.469,361.213,16.524,89.312,11.812,145.865,35.882,450.656,194.618,48.662,56.784,142.78,689.601,63.206,28.432,62.176
2018-01-01 07:00:00,105.976,209.663,57.991,36.883,92.431,33.828,241.297,163.207,14.195,219.594,23.331,78.13,29.96,74.797,46.88,133.668,61.631,91.8,25.584,42.275,838.113,52.431,14.619,160.203,21.818,57.496,58.96,32.22,1576.228,183.142,50.425,49.411,149.292,134.996,34.157,84.234,61.575,68.613,33.332,25.296,90.077,348.09,650.21,165.563,6.598,56.424,112.794,13.134,46.866,43.201,36.047,87.815,326.389,134.828,18.257,21.202,32.121,110.928,27.542,245.152,88.531,49.498,29.598,44.638,53.368,114.125,37.6,58.93,191.703,81.494,42.7,98.043,581.829,93.92,21.814,26.412,169.06,52.218,255.227,106.607,90.278,105.705,84.845,34.24,362.221,246.066,12.526,16.121,148.866,129.737,160.385,75.974,114.678,120.65,81.995,175.023,55.206,7.297,93.25,323.47,59.223,16.083,136.55,6.852,33.996,12.61,10.194,74.452,21.821,196.682,106.152,53.702,14.345,222.949,73.704,19.467,51.152,263.852,356.086,19.094,94.151,11.647,140.853,36.175,453.292,198.391,48.296,57.469,143.563,681.231,65.11,28.385,63.433
2018-01-01 08:00:00,105.144,195.611,55.146,35.579,81.187,28.871,224.168,156.385,13.536,198.976,23.112,76.209,29.751,75.825,46.135,121.915,57.176,90.896,22.707,38.613,798.791,52.163,15.289,148.42,21.381,61.549,55.497,29.027,1434.241,176.873,47.208,44.537,142.588,130.651,31.37,77.18,57.7,68.448,30.313,25.263,85.585,316.926,601.174,156.428,6.507,51.477,103.447,11.346,41.36,41.86,34.019,91.026,311.942,116.387,17.287,19.283,29.281,103.95,25.02,233.161,81.461,49.623,29.962,40.427,54.433,105.595,34.408,56.466,175.017,72.112,41.321,95.507,532.654,91.517,21.248,24.577,162.514,49.37,243.633,106.66,88.981,102.164,81.77,33.056,319.676,220.303,11.543,14.783,144.407,124.096,160.103,71.775,115.254,117.363,75.579,163.402,54.292,6.958,86.949,303.8,59.193,14.761,128.203,6.652,30.861,12.271,9.968,64.501,22.149,188.692,104.692,49.778,13.843,198.527,68.095,17.574,48.078,248.992,336.878,19.195,93.893,10.88,132.263,35.73,416.748,199.95,45.004,55.345,136.052,649.855,64.838,28.907,61.121
2018-01-01 09:00:00,97.427,170.786,53.094,28.965,70.166,23.852,209.155,130.07,12.677,179.292,22.199,68.051,24.279,76.263,39.588,112.805,50.403,84.893,21.274,31.652,678.253,46.04,14.903,117.137,16.264,61.036,46.202,21.983,1171.884,145.378,43.465,39.101,125.41,115.777,28.12,67.069,45.88,65.596,25.504,23.488,69.403,257.372,521.555,126.011,6.405,45.425,91.986,8.838,35.25,35.272,29.461,92.268,268.192,88.981,14.922,17.409,25.499,86.894,23.351,213.713,67.348,45.803,23.694,31.617,45.296,81.608,30.001,46.715,141.989,55.328,30.251,77.573,458.809,86.18,15.608,21.202,141.29,46.713,202.441,99.0,82.367,86.679,75.443,30.137,275.385,190.751,10.741,13.619,126.855,108.326,144.98,60.708,114.316,106.076,65.739,145.559,46.675,5.742,73.141,282.276,48.695,13.777,107.125,5.396,24.521,11.608,8.751,56.179,21.163,168.783,89.891,43.642,12.249,185.578,55.951,14.74,42.351,221.631,301.013,17.912,84.133,9.381,117.449,32.192,370.46,171.833,40.074,47.975,121.56,630.258,57.296,25.283,53.526
