timestamp,dqdnu5,dqb0k6,dnxngr,dq8s3s,dnxwnf,dnxuwe,dqcjjt,dnz9nu,dnz29d,dnxkq2,dnw71z,dnxm8n,dq89hh,dntsj0,dq8jv0,dnxg8j,dqbbrg,dnw8fy,dq9hw9,dq84d1,dq8udk,dqbw92,dnwvnm,dqbdfn,dq8m7q,dnt7q0,dq8fcm,dq9rc4,dqchcs,dqbsmj,dnwf5e,dq8r4w,dnx4qn,dqbr50,dnws79,dq9sf9,dq8wdf,dnw0xb,dqb1y7,dq8bej,dnxc5t,dq8yud,dq8y0f,dnx31p,dnz6m2,dq93ym,dq9kkf,dq9q9f,dqc1u0,dq9ntb,dq9wmp,dnsbu3,dqby36,dqb81b,dq865t,dqb6db,dq9ubm,dq828w,dq9tfw,dnwg6x,dnxyuz,dq9jru,dqdh0q,dq9xmg,dq87rc,dqb98g,dqb5tz,dnwbt5,dnx93p,dq8te5,dq85z0,dq95dc,dqbuhv,dnwdg7,dqbkj4,dq9rvg,dnxhky,dnxx05,dnzghf,dntd5g,dnt2b5,dqbjh1,dnw18d,dq90vk,dqbc0y,dqbft8,dq974t,dq941f,dntgpy,dqbmk7,dnt9p1,dqc2u3,dnt4rg,dnw3fv,dq9e9z,dqchvf,dnt863,dnxwdh,dqb0qh,dq98xt,dq8gyz,dnxngv,dnx815,dq8bg8,dqcj11,dqcj5y,dq929n,dqbcus,dnw2wd,dq9dzb,dnzftj,dq9h1h,dnxwbn,dnxsvb,dqbukv,dqbut9,dnx0ww,dq9dft,dq9f11,dnt4pg,dq8gwu,dq9epx,dq99wq,dnwenv,dq8vsb,dnxhhd,dnxh47,dnzc0f,dq98b0,dq9cnp,dnzbs9,dq9kn2,dqbqv5
2018-01-01 00:00:00,77.016,163.169,44.573,20.583,74.367,24.721,258.719,119.442,11.352,162.777,17.868,57.315,18.597,58.164,26.069,98.153,44.147,66.575,17.492,18.842,609.413,41.652,13.402,97.255,11.412,42.239,44.538,20.389,1233.545,111.692,33.638,32.066,110.264,117.898,25.374,63.4,40.933,44.0,26.545,17.123,54.084,213.261,512.029,107.196,6.043,47.56,92.375,9.615,36.719,28.573,25.828,61.839,310.146,75.444,14.046,20.68,26.665,58.855,22.506,178.12,49.469,34.105,21.801,30.198,28.264,65.916,31.727,37.27,129.722,53.339,21.635,66.592,479.399,64.271,14.753,18.708,135.667,42.036,147.56,74.262,59.748,89.74,61.662,32.018,241.882,187.568,10.894,13.199,96.29,97.779,119.6,60.463,86.358,85.871,83.215,181.787,43.807,6.449,71.8,242.655,43.989,12.764,88.17,4.069,28.341,13.391,11.24,52.707,17.636,169.708,70.534,41.71,10.776,170.015,57.666,18.24,33.755,246.522,278.684,13.775,69.237,9.932,102.559,26.17,381.577,170.838,39.907,37.003,127.808,623.396,43.147,24.467,50.349
2018-01-01 01:00:00,112.408,218.99,58.143,31.499,97.168,32.667,350.211,167.294,14.871,220.616,24.54,77.151,25.574,80.711,36.207,133.514,61.122,87.207,26.019,27.521,740.779,56.023,16.742,145.811,17.354,58.598,53.32,28.53,1681.943,165.917,44.988,44.763,144.227,156.139,33.82,83.96,60.414,59.182,37.888,24.048,73.379,295.348,702.477,136.954,9.018,60.066,122.333,13.442,51.018,39.552,34.757,84.436,406.352,114.162,20.362,23.965,36.791,82.033,31.317,230.053,73.142,47.226,30.445,40.327,40.024,100.645,43.424,45.44,172.941,75.652,31.849,80.263,687.291,85.82,20.628,24.592,176.861,55.629,216.078,97.686,78.33,115.681,76.636,38.695,341.169,258.997,12.829,16.284,124.471,127.161,155.489,75.689,118.855,109.222,111.231,246.989,54.949,9.381,97.554,350.9,53.582,17.211,120.705,5.783,38.774,18.505,14.204,73.776,22.901,240.731,99.887,59.466,14.276,219.094,82.822,26.485,43.048,330.276,397.977,19.247,85.189,14.344,146.698,34.882,506.414,222.629,52.393,53.879,157.965,862.955,61.333,31.969,66.152
2018-01-01 02:00:00,113.216,224.904,58.784,31.428,102.467,34.313,349.845,171.649,15.162,230.485,26.11,79.217,28.593,82.047,40.56,141.522,65.596,89.118,27.242,30.237,751.948,56.526,14.911,151.405,18.309,59.125,52.731,30.917,1805.792,171.805,45.912,47.618,150.159,159.82,34.608,88.525,64.768,58.076,36.234,24.731,81.993,308.186,709.909,145.589,9.126,60.81,123.506,13.807,54.764,43.323,36.864,86.3,393.329,116.593,20.371,23.888,35.233,86.126,32.432,227.125,76.758,51.388,30.949,41.703,43.548,106.135,44.325,50.453,180.411,77.094,36.347,82.653,720.485,90.822,21.059,24.814,180.931,56.52,227.226,99.95,84.318,112.309,81.121,38.762,363.031,275.994,12.714,16.361,131.699,126.937,151.714,74.095,120.194,113.496,108.667,249.037,54.746,9.003,100.898,360.281,54.059,17.447,126.514,6.323,43.143,18.958,13.326,80.452,22.705,248.252,103.752,58.097,14.648,225.393,88.027,26.373,46.309,334.86,425.521,19.782,85.617,14.628,157.779,35.472,510.747,226.363,55.813,56.995,157.848,877.723,63.411,32.369,65.236
2018-01-01 03:00:00,114.222,231.624,59.671,34.689,105.797,36.653,360.857,175.858,15.547,239.725,26.416,84.463,28.484,83.118,43.43,151.188,65.092,91.643,28.331,33.298,771.704,57.212,14.428,161.934,20.625,60.276,53.352,33.346,1916.888,180.756,50.121,47.659,157.571,159.404,34.84,91.807,68.039,59.01,36.956,25.579,88.957,328.171,736.465,157.292,8.175,61.122,125.358,14.813,58.96,46.314,36.48,88.821,408.861,120.32,18.778,25.879,35.811,92.442,34.352,236.827,79.468,57.121,31.443,42.664,48.112,113.026,46.212,54.961,192.56,82.928,41.531,86.555,740.142,93.756,22.427,24.826,197.847,55.694,237.11,103.198,88.94,111.712,83.719,38.706,375.179,284.455,13.228,17.626,138.014,132.266,154.732,71.915,122.338,117.774,107.994,253.487,55.699,8.902,105.66,380.105,54.266,17.484,137.074,6.498,44.157,19.775,16.05,80.882,23.289,240.028,109.549,61.066,16.967,238.733,92.224,26.382,49.269,336.224,456.558,20.069,86.689,13.989,166.821,37.97,531.185,236.08,60.336,57.731,160.71,888.778,65.039,32.649,66.502
2018-01-01 04:00:00,119.535,244.299,60.891,38.146,104.622,38.904,376.817,183.908,15.698,249.523,25.796,86.339,29.284,82.658,45.871,157.679,67.401,95.427,29.159,35.92,801.624,58.572,15.263,170.922,21.892,62.046,54.072,34.51,1996.088,191.839,53.018,49.699,160.519,159.101,37.983,90.447,71.128,62.251,36.948,26.647,95.206,352.607,781.729,168.443,8.12,64.617,126.899,15.754,58.419,45.342,38.131,91.157,429.827,134.086,19.539,26.972,35.762,99.372,33.084,257.444,83.849,61.674,33.518,45.844,50.238,119.814,46.729,59.486,206.06,87.277,45.692,90.51,737.351,95.438,23.557,26.953,204.982,55.878,248.2,105.852,91.36,119.725,89.934,39.138,389.714,290.179,14.741,18.651,151.94,139.116,162.375,74.276,125.916,122.912,109.24,263.415,57.859,9.134,107.941,384.58,57.161,17.948,144.656,7.663,45.457,20.071,16.52,79.445,24.28,241.579,113.281,66.355,16.937,243.59,91.998,25.515,52.443,338.119,476.243,20.585,91.734,13.768,169.777,39.78,565.325,243.338,61.659,60.283,169.871,887.444,67.24,34.215,69.688
2018-01-01 05:00:00,122.949,259.856,63.556,40.391,106.219,40.553,400.916,199.525,18.012,258.269,26.005,91.066,32.719,82.603,48.521,159.026,70.637,100.861,30.037,39.876,900.176,60.089,16.521,176.904,24.12,63.329,62.192,35.913,2121.281,201.543,53.625,55.762,168.909,165.564,40.379,91.981,74.453,67.981,38.738,28.841,100.634,376.556,822.293,180.151,8.335,67.231,138.009,15.605,57.516,47.83,39.87,91.603,446.445,146.005,22.471,28.793,39.921,108.718,31.745,276.934,92.066,62.588,33.877,45.873,52.204,128.001,47.983,63.423,212.546,92.911,48.607,98.74,735.07,100.786,24.133,27.886,212.557,59.445,271.396,109.375,95.702,122.231,97.88,39.978,413.748,305.522,16.189,19.48,161.998,143.077,173.108,77.233,130.309,128.67,113.367,277.892,61.572,9.934,110.137,401.424,64.473,18.609,149.51,8.728,48.026,22.082,16.931,85.694,25.34,251.831,123.66,68.5,16.227,251.369,90.065,24.496,55.481,353.344,478.082,22.218,101.507,15.432,170.597,40.718,600.387,261.11,63.008,67.302,180.112,906.002,72.699,37.276,76.014
2018-01-01 06:00:00,128.295,278.386,70.022,41.628,111.391,40.657,434.437,212.274,19.324,265.707,26.207,94.965,35.703,87.165,51.832,167.178,80.381,108.04,30.472,49.07,1022.062,62.642,17.806,188.212,27.252,65.436,68.648,37.465,2304.28,214.932,57.283,61.829,188.326,174.981,43.795,97.777,74.396,74.309,44.583,30.74,105.92,406.989,859.683,195.413,8.91,74.405,159.772,16.454,59.48,50.346,41.782,100.377,509.219,151.899,25.466,29.689,41.259,129.061,33.267,302.022,100.08,63.696,36.895,55.639,54.461,135.451,49.582,66.73,223.757,96.538,51.113,110.246,788.023,111.659,25.414,30.011,226.746,64.771,296.169,117.683,102.913,125.778,104.752,43.222,454.262,329.987,16.549,20.736,169.795,151.834,182.304,86.276,132.203,135.681,125.645,300.201,66.126,10.318,114.616,445.656,72.473,19.753,159.751,8.907,52.797,23.295,18.257,93.257,27.286,267.002,134.776,70.286,15.958,277.104,97.491,25.605,60.335,391.078,521.966,23.386,111.144,16.083,194.076,42.629,635.521,284.455,66.622,71.907,188.56,954.987,76.921,39.937,85.546
2018-01-01 07:00:00,132.083,285.76,71.43,43.975,111.541,41.235,459.123,220.015,18.055,272.643,27.118,99.147,41.825,89.34,55.349,168.474,80.069,114.218,30.536,49.998,1094.068,67.686,17.782,198.121,28.395,67.025,73.406,37.212,2445.261,229.133,58.764,62.98,192.05,185.397,43.844,102.277,76.696,80.22,44.794,29.979,113.941,426.631,884.564,210.657,8.905,76.762,162.655,17.11,61.606,53.69,44.718,105.663,550.382,155.996,27.461,30.628,38.626,141.399,36.006,316.013,104.819,64.301,41.002,56.033,64.999,137.523,54.179,70.059,236.146,99.449,54.32,116.957,822.902,119.523,28.831,30.727,240.169,67.336,312.445,122.532,107.457,132.084,105.505,46.65,466.214,329.585,16.351,21.473,178.071,159.859,199.508,88.397,133.289,141.954,130.884,315.027,73.717,10.692,126.114,466.967,76.012,22.027,174.54,9.46,56.246,24.591,18.893,96.595,28.253,277.748,139.571,71.033,16.691,284.302,101.405,26.571,64.113,409.647,540.806,26.389,118.846,16.312,195.112,44.718,665.308,302.596,68.491,75.236,198.282,983.317,80.24,40.53,92.0
2018-01-01 08:00:00,130.585,273.838,68.503,41.73,101.712,37.247,450.532,216.226,21.41,256.61,28.194,98.11,41.081,91.56,54.253,158.52,76.197,113.404,28.678,48.106,1071.516,67.222,18.218,190.266,27.179,69.171,72.321,34.032,2334.619,223.475,54.779,58.526,192.811,183.856,40.942,97.246,72.542,80.715,42.147,30.679,110.607,398.014,858.675,205.327,9.295,74.113,154.287,15.909,59.123,51.236,43.026,108.133,548.665,136.985,27.914,28.795,36.582,135.658,32.129,306.806,96.534,66.174,40.976,52.221,66.417,130.657,49.696,67.249,220.258,89.468,52.427,114.071,782.451,119.25,29.331,29.444,232.317,63.465,302.365,125.015,107.37,128.407,105.505,45.148,424.785,310.345,15.128,21.276,175.363,158.571,208.475,84.524,133.907,138.749,128.537,311.783,71.106,10.801,121.879,454.373,76.204,18.951,172.505,10.153,54.008,23.477,19.767,88.119,30.049,275.964,139.299,67.812,15.871,267.458,97.317,23.999,60.455,404.79,534.569,28.656,121.264,15.611,194.338,43.408,646.597,313.944,66.819,71.186,192.049,971.468,79.9,40.808,91.529
2018-01-01 09:00:00,122.787,251.25,67.773,34.953,91.063,32.776,443.495,193.253,17.174,235.039,27.735,90.148,35.43,94.43,47.03,149.349,68.746,107.277,28.288,40.491,956.433,60.766,18.401,159.475,21.026,69.179,63.077,27.078,2090.214,190.435,50.442,53.363,173.983,173.461,41.431,88.218,62.385,79.304,39.045,28.632,91.364,342.31,794.759,176.485,9.096,68.648,139.995,12.676,55.24,44.137,40.745,111.378,509.85,110.173,25.569,26.559,34.507,119.372,29.478,292.611,81.771,61.275,35.4,45.448,56.24,106.194,45.924,58.796,193.505,72.26,41.347,97.679,714.325,112.037,22.09,26.022,211.693,61.623,263.135,121.362,102.776,114.652,97.578,43.158,385.593,283.86,14.299,19.791,160.413,142.637,187.384,75.59,133.388,128.733,117.212,296.829,63.861,10.115,108.655,449.31,66.766,16.964,151.158,9.187,48.53,25.49,19.035,80.183,29.621,259.902,127.434,64.215,14.694,249.655,85.934,20.799,57.015,388.344,505.174,27.727,111.376,14.584,177.91,40.42,611.228,299.261,63.19,65.298,181.112,969.024,72.879,43.42,84.223
