timestamp,drgfrx,drshb6,druszp,druhcq,druyrt,druphy,drgyu5,drumep,drud34,drux5b,drspcv,dru7gs,drsk95,drsrgu
2018-01-01 00:00:00,0.0,0.023,0.005,0.15,0.0,0.025,0.006,0.027,0.024,0.006,0.048,0.05,0.078,0.029
2018-01-01 01:00:00,0.0,0.026,0.017,0.192,0.0,0.033,0.012,0.097,0.048,0.022,0.051,0.091,0.145,0.038
2018-01-01 02:00:00,0.0,0.028,0.017,0.189,0.0,0.032,0.003,0.093,0.047,0.022,0.05,0.087,0.148,0.04
2018-01-01 03:00:00,0.001,0.032,0.017,0.197,0.0,0.033,0.0,0.091,0.047,0.022,0.049,0.085,0.138,0.0
2018-01-01 04:00:00,0.0,0.038,0.009,0.186,0.0,0.033,0.0,0.045,0.047,0.011,0.047,0.082,0.133,0.012
2018-01-01 05:00:00,0.0,0.0,0.005,0.187,0.0,0.052,0.0,0.024,0.048,0.006,0.046,0.08,0.132,0.01
2018-01-01 06:00:00,0.0,0.0,0.017,0.185,0.0,0.033,0.0,0.09,0.047,0.022,0.05,0.079,0.033,0.0
2018-01-01 07:00:00,0.0,0.0,0.0,0.025,0.0,0.0,0.013,0.0,0.047,0.0,0.053,0.079,0.0,0.0
2018-01-01 08:00:00,0.0,0.018,0.009,0.171,0.0,0.026,0.01,0.044,0.047,0.012,0.053,0.079,0.0,0.0
2018-01-01 09:00:00,0.0,0.101,0.017,0.21,0.0,0.034,0.0,0.082,0.047,0.022,0.108,0.079,0.134,0.022
2018-01-01 10:00:00,0.0,0.107,0.015,0.216,0.0,0.033,0.002,0.083,0.047,0.021,0.143,0.082,0.204,0.034
2018-01-01 11:00:00,0.0,0.096,0.013,0.206,0.0,0.031,0.0,0.082,0.047,0.02,0.147,0.082,0.183,0.033
2018-01-01 12:00:00,0.001,0.089,0.013,0.175,0.0,0.037,0.0,0.081,0.046,0.021,0.15,0.087,0.156,0.033
2018-01-01 13:00:00,0.001,0.084,0.011,0.172,0.0,0.037,0.0,0.081,0.045,0.021,0.143,0.101,0.151,0.033
2018-01-01 14:00:00,0.001,0.075,0.013,0.21,0.0,0.03,0.0,0.081,0.045,0.021,0.122,0.108,0.146,0.033
2018-01-01 15:00:00,0.0,0.069,0.012,0.209,0.0,0.03,0.0,0.08,0.045,0.021,0.107,0.105,0.139,0.032
2018-01-01 16:00:00,0.0,0.08,0.016,0.221,0.0,0.03,0.0,0.08,0.045,0.021,0.093,0.101,0.15,0.032
2018-01-01 17:00:00,0.0,0.054,0.035,0.211,0.0,0.042,0.0,0.082,0.046,0.022,0.075,0.093,0.149,0.03
2018-01-01 18:00:00,0.005,0.052,0.0,0.214,0.0,0.031,0.009,0.0,0.047,0.0,0.079,0.084,0.148,0.028
2018-01-01 19:00:00,0.004,0.059,0.0,0.215,0.0,0.031,0.013,0.0,0.05,0.0,0.075,0.081,0.158,0.029
2018-01-01 20:00:00,0.0,0.062,0.0,0.221,0.0,0.032,0.015,0.0,0.048,0.0,0.082,0.08,0.149,0.03
2018-01-01 21:00:00,0.0,0.027,0.0,0.223,0.0,0.033,0.016,0.0,0.024,0.0,0.079,0.04,0.147,0.029
2018-01-01 22:00:00,0.0,0.027,0.0,0.203,0.0,0.034,0.005,0.0,0.0,0.0,0.098,0.0,0.074,0.032
2018-01-01 23:00:00,0.0,0.023,0.0,0.201,0.0,0.033,0.002,0.0,0.0,0.0,0.094,0.0,0.0,0.04
2018-01-02 00:00:00,0.0,0.022,0.0,0.201,0.0,0.033,0.002,0.0,0.0,0.0,0.088,0.0,0.0,0.028
2018-01-02 01:00:00,0.0,0.015,0.0,0.193,0.0,0.033,0.004,0.0,0.0,0.0,0.085,0.0,0.0,0.0
2018-01-02 02:00:00,0.0,0.009,0.0,0.19,0.0,0.033,0.002,0.0,0.0,0.0,0.082,0.0,0.0,0.0
2018-01-02 03:00:00,0.0,0.007,0.0,0.189,0.0,0.033,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0
2018-01-02 04:00:00,0.0,0.016,0.0,0.186,0.0,0.034,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0
2018-01-02 05:00:00,0.0,0.016,0.0,0.186,0.0,0.034,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0
