timestamp,drgfrx,drshb6,druszp,druhcq,druyrt,druphy,drgyu5,drumep,drud34,drux5b,drspcv,dru7gs,drsk95,drsrgu
2018-01-01 00:00:00,6.018,5.481,4.638,42.775,1.646,12.238,2.65,1.238,9.067,4.109,8.375,6.571,7.075,12.347
2018-01-01 01:00:00,8.213,7.066,5.754,57.865,2.218,16.79,4.054,1.566,11.818,4.985,12.385,9.024,8.833,16.748
2018-01-01 02:00:00,8.359,7.334,5.86,58.434,2.294,15.809,4.191,1.539,11.973,5.015,12.777,8.895,8.881,17.652
2018-01-01 03:00:00,8.578,7.932,5.919,60.221,2.367,17.027,4.21,1.457,12.129,5.189,13.096,8.989,9.768,18.215
2018-01-01 04:00:00,9.092,8.2,6.045,60.9,2.727,17.239,4.22,1.466,12.388,5.244,13.461,9.728,9.645,18.64
2018-01-01 05:00:00,9.152,8.609,6.195,59.937,2.517,17.694,4.249,1.55,12.321,5.363,14.808,9.678,11.526,18.643
2018-01-01 06:00:00,8.753,8.992,6.071,62.345,2.479,18.746,4.08,1.676,15.163,5.504,15.995,13.039,12.208,19.591
2018-01-01 07:00:00,8.856,8.784,6.191,65.286,2.328,19.278,4.268,1.725,14.776,5.434,16.091,16.26,13.0,20.034
2018-01-01 08:00:00,8.869,8.334,5.97,62.488,2.246,20.077,4.181,1.759,14.846,4.957,15.191,15.757,11.846,19.451
2018-01-01 09:00:00,8.495,7.482,5.905,56.387,1.913,18.656,3.704,1.906,13.855,4.533,14.631,15.626,10.766,17.827
2018-01-01 10:00:00,7.678,6.671,5.407,49.506,1.467,16.514,3.017,1.941,12.689,4.13,11.549,14.78,10.018,15.23
2018-01-01 11:00:00,7.288,6.346,4.664,44.255,1.32,16.665,2.614,1.862,11.946,3.814,8.644,13.897,9.714,13.669
2018-01-01 12:00:00,6.829,5.694,4.498,38.838,1.219,14.621,2.261,1.817,11.465,3.831,7.162,13.381,8.749,13.619
2018-01-01 13:00:00,6.633,5.27,4.592,37.181,1.204,13.93,2.04,1.83,11.215,3.906,6.814,13.344,8.126,13.413
2018-01-01 14:00:00,6.899,4.925,4.524,36.883,1.261,13.866,1.932,1.763,10.79,3.675,6.492,12.82,7.866,11.89
2018-01-01 15:00:00,6.856,4.724,4.575,37.477,1.737,14.071,2.175,1.767,10.485,3.691,6.856,12.402,8.203,11.27
2018-01-01 16:00:00,6.76,5.712,4.766,41.383,1.816,14.573,3.284,1.829,11.414,3.868,8.393,12.665,8.849,12.144
2018-01-01 17:00:00,6.894,5.952,5.373,46.686,1.583,14.733,3.211,2.053,11.453,4.65,9.895,13.342,9.362,12.259
2018-01-01 18:00:00,7.63,6.443,5.795,49.592,1.557,14.667,3.124,2.29,12.667,4.918,10.281,11.673,9.837,12.538
2018-01-01 19:00:00,7.505,6.815,6.431,51.342,1.576,15.506,3.348,2.009,13.106,5.536,13.18,10.31,10.331,14.093
2018-01-01 20:00:00,7.641,6.794,6.819,53.904,1.811,16.423,3.496,2.098,13.141,5.357,13.535,10.965,8.076,15.375
2018-01-01 21:00:00,7.904,7.106,7.048,55.33,1.949,16.496,3.558,1.886,12.085,5.456,13.188,11.167,8.903,16.269
2018-01-01 22:00:00,8.193,7.494,7.206,56.633,2.337,17.004,3.453,1.685,12.285,5.558,13.377,9.98,9.466,16.313
2018-01-01 23:00:00,8.329,7.523,7.693,57.685,2.424,16.961,3.254,1.718,12.547,5.949,13.237,10.134,10.269,17.075
2018-01-02 00:00:00,8.389,7.392,7.193,57.821,2.394,16.849,3.256,1.689,13.003,6.041,11.516,9.997,10.234,17.702
2018-01-02 01:00:00,8.644,6.888,7.184,58.733,2.427,17.218,3.602,1.68,13.186,6.046,11.219,10.377,10.014,18.335
2018-01-02 02:00:00,8.841,6.81,7.329,59.646,2.46,16.173,4.013,1.715,13.506,6.163,11.546,10.566,9.992,18.776
2018-01-02 03:00:00,9.027,7.106,7.397,61.172,2.513,17.264,4.143,1.741,13.873,6.344,11.752,11.076,10.896,19.19
2018-01-02 04:00:00,9.578,7.289,7.57,62.411,2.885,17.619,4.188,1.792,14.253,6.494,11.775,11.684,10.489,19.989
2018-01-02 05:00:00,9.736,7.641,7.851,62.229,2.703,18.462,4.204,1.798,14.293,6.629,12.838,11.946,12.3,20.425
2018-01-02 06:00:00,9.305,8.06,7.858,63.827,2.494,18.608,4.182,1.913,17.189,6.682,14.282,15.176,13.16,21.001
2018-01-02 07:00:00,9.338,7.88,7.91,66.043,2.323,19.232,4.151,1.971,16.615,6.731,14.037,18.663,13.752,21.235
2018-01-02 08:00:00,9.205,7.362,7.593,64.003,2.241,20.297,4.017,2.086,17.206,6.43,12.871,18.56,13.451,20.934
2018-01-02 09:00:00,8.719,6.518,7.233,57.011,2.002,18.741,3.329,2.401,16.562,5.75,12.565,18.069,12.143,19.06
2018-01-02 10:00:00,7.935,5.836,6.383,49.598,1.512,16.455,2.726,2.356,14.722,4.948,9.835,16.7,10.607,16.578
2018-01-02 11:00:00,7.665,4.94,5.13,45.018,1.188,17.204,2.622,2.001,12.518,4.279,6.332,14.799,8.634,14.247
2018-01-02 12:00:00,7.274,4.438,4.542,42.892,1.055,16.033,2.666,1.814,11.062,3.813,5.071,13.046,7.364,12.728
2018-01-02 13:00:00,6.803,4.351,4.221,39.776,1.006,14.149,2.919,1.675,10.202,3.507,4.727,12.117,6.968,11.281
2018-01-02 14:00:00,7.063,4.238,4.058,39.703,1.074,14.064,3.138,1.593,9.919,3.327,4.642,11.535,6.436,9.877
2018-01-02 15:00:00,7.058,3.996,3.985,39.899,1.492,14.287,3.094,1.591,9.725,3.305,4.877,11.213,6.433,8.916
2018-01-02 16:00:00,6.7,4.602,4.031,40.409,1.662,14.051,3.42,1.652,10.088,3.429,5.795,10.915,7.244,9.39
2018-01-02 17:00:00,6.639,4.403,4.072,41.807,1.358,13.582,3.099,1.635,9.835,3.629,6.789,10.995,7.48,9.748
2018-01-02 18:00:00,6.345,4.138,3.992,40.154,1.138,12.359,2.705,1.583,10.035,3.373,6.442,8.934,7.946,10.912
2018-01-02 19:00:00,5.89,4.089,4.291,38.125,1.12,12.278,2.556,1.397,9.584,3.666,7.994,7.17,8.39,12.016
2018-01-02 20:00:00,5.562,4.181,4.331,36.665,1.169,11.345,2.45,1.437,9.228,3.549,8.245,6.816,6.382,12.588
2018-01-02 21:00:00,5.19,4.057,4.071,34.508,1.21,10.385,2.186,1.236,7.147,3.258,8.098,6.565,6.788,13.621
2018-01-02 22:00:00,5.147,3.925,3.604,34.616,1.522,10.87,2.237,1.01,6.808,2.9,7.891,5.224,7.01,14.113
2018-01-02 23:00:00,5.453,4.054,3.715,34.964,1.396,10.83,2.223,1.003,6.643,2.881,7.78,4.704,7.444,14.985
2018-01-03 00:00:00,5.523,4.271,3.374,35.327,1.283,10.842,2.16,0.99,6.945,3.034,5.891,4.266,6.951,15.176
2018-01-03 01:00:00,5.666,4.191,3.4,35.862,1.174,11.217,2.158,0.939,7.315,3.105,6.061,4.743,6.759,15.263
2018-01-03 02:00:00,5.698,4.621,3.342,35.702,1.14,10.293,2.185,0.94,7.325,3.122,6.477,4.656,6.568,15.864
2018-01-03 03:00:00,5.571,5.463,3.405,36.058,1.129,10.15,2.254,0.9,7.498,3.089,6.785,4.822,7.553,16.077
2018-01-03 04:00:00,5.903,5.794,3.4,35.845,1.403,10.181,2.24,0.879,7.935,3.043,7.164,5.51,7.636,16.691
2018-01-03 05:00:00,5.846,5.499,3.61,35.971,1.436,10.556,2.437,0.905,7.921,3.217,8.064,5.852,10.016,16.881
2018-01-03 06:00:00,5.773,5.618,3.67,37.181,1.268,11.247,2.462,1.136,10.968,3.391,8.745,8.317,10.65,17.122
2018-01-03 07:00:00,5.851,5.883,3.647,38.405,1.329,11.477,2.543,1.146,10.546,3.173,8.812,10.909,10.983,17.417
2018-01-03 08:00:00,5.833,5.496,3.718,37.522,1.373,12.695,2.561,1.179,10.117,3.199,8.368,10.633,10.326,17.357
2018-01-03 09:00:00,5.678,4.569,3.897,34.62,1.068,12.311,2.463,1.299,9.497,2.861,8.482,10.706,8.816,15.762
2018-01-03 10:00:00,5.594,3.822,3.29,33.158,0.743,12.071,2.355,1.353,8.803,2.459,6.331,10.329,7.056,13.335
2018-01-03 11:00:00,5.763,3.26,2.79,31.309,0.613,13.125,2.363,1.292,7.905,2.307,4.203,9.28,5.118,10.679
2018-01-03 12:00:00,5.247,2.869,2.609,27.385,0.449,11.27,2.337,1.195,6.996,2.169,3.201,8.604,4.136,8.78
