timestamp,c27ern,c2hwsr,c25nbr,c2d0r0,c0xcsy,c20uku,c2hpkg,c20yb3,c26zs7,c2eey8,c272wp,c2k2jk,c27h96,c0run2,c28cbw,c22pvn,c23q5t,c22z10,c26hjf,c24hgw,c22bzp,c27y9q,c22mmh,c2du5j,c0rbz7,c2sshm,c235sm,c287yw,c297u5,c21mbf,c2933q,c2kwbm,c2s5q0,c22ehb,c20pr7,c25xpu,c29mge,c2k6v6,c260k3
2018-01-01 00:00:00,0.001,0.021,0.231,0.06,0.011,0.32,0.0,0.029,0.011,0.0,0.093,0.0,0.02,0.067,0.076,0.012,7.709,0.129,0.001,0.021,0.032,0.0,0.008,0.022,0.015,0.0,1.113,0.002,0.022,0.009,0.447,0.391,0.006,0.164,0.004,0.055,0.123,0.048,0.102
2018-01-01 01:00:00,0.002,0.004,0.231,0.062,0.019,0.469,0.0,0.033,0.036,0.001,0.12,0.0,0.031,0.092,0.069,0.006,9.956,0.169,0.001,0.019,0.057,0.0,0.013,0.028,0.004,0.014,1.405,0.004,0.024,0.002,0.621,0.566,0.007,0.225,0.001,0.053,0.143,0.04,0.133
2018-01-01 02:00:00,0.002,0.004,0.223,0.059,0.011,0.346,0.0,0.024,0.008,0.001,0.124,0.0,0.028,0.067,0.07,0.0,9.593,0.246,0.001,0.013,0.058,0.0,0.015,0.022,0.005,0.001,1.327,0.002,0.012,0.0,0.509,0.517,0.008,0.183,0.0,0.049,0.101,0.007,0.098
2018-01-01 03:00:00,0.002,0.004,0.175,0.039,0.01,0.362,0.0,0.034,0.015,0.001,0.088,0.0,0.023,0.041,0.037,0.001,8.736,0.199,0.001,0.014,0.07,0.0,0.007,0.024,0.002,0.0,1.172,0.001,0.022,0.0,0.403,0.502,0.031,0.184,0.0,0.174,0.067,0.0,0.11
2018-01-01 04:00:00,0.002,0.004,0.101,0.03,0.013,0.256,0.0,0.035,0.003,0.001,0.073,0.0,0.033,0.032,0.017,0.0,8.201,0.101,0.011,0.011,0.056,0.0,0.004,0.022,0.001,0.0,0.906,0.0,0.02,0.0,0.38,0.356,0.009,0.198,0.0,0.279,0.047,0.0,0.182
2018-01-01 05:00:00,0.002,0.005,0.112,0.029,0.009,0.278,0.0,0.018,0.002,0.001,0.073,0.0,0.02,0.023,0.02,0.0,8.111,0.122,0.0,0.002,0.025,0.0,0.021,0.019,0.002,0.0,0.882,0.0,0.023,0.0,0.348,0.393,0.009,0.196,0.0,0.12,0.044,0.0,0.119
2018-01-01 06:00:00,0.002,0.004,0.186,0.03,0.024,0.216,0.0,0.017,0.002,0.001,0.073,0.0,0.02,0.02,0.039,0.0,7.97,0.096,0.0,0.003,0.029,0.0,0.02,0.024,0.001,0.0,0.912,0.0,0.027,0.0,0.309,0.285,0.009,0.171,0.0,0.013,0.039,0.0,0.131
2018-01-01 07:00:00,0.002,0.004,0.163,0.031,0.008,0.193,0.0,0.018,0.016,0.0,0.073,0.0,0.032,0.021,0.064,0.0,7.953,0.153,0.0,0.001,0.032,0.0,0.016,0.009,0.005,0.0,0.876,0.0,0.023,0.0,0.285,0.296,0.009,0.151,0.0,0.035,0.053,0.018,0.16
2018-01-01 08:00:00,0.002,0.003,0.142,0.036,0.031,0.206,0.0,0.03,0.013,0.0,0.073,0.0,0.018,0.036,0.052,0.0,8.887,0.206,0.0,0.001,0.033,0.0,0.019,0.003,0.077,0.0,0.992,0.0,0.025,0.012,0.295,0.334,0.008,0.14,0.0,0.067,0.058,0.01,0.13
2018-01-01 09:00:00,0.002,0.003,0.214,0.048,0.018,0.242,0.0,0.058,0.012,0.0,0.078,0.0,0.049,0.031,0.045,0.0,10.536,0.221,0.016,0.006,0.029,0.0,0.02,0.005,0.007,0.0,1.215,0.0,0.024,0.027,0.274,0.451,0.02,0.154,0.0,0.019,0.071,0.006,0.153
