timestamp,c27ern,c2hwsr,c25nbr,c2d0r0,c0xcsy,c20uku,c2hpkg,c20yb3,c26zs7,c2eey8,c272wp,c2k2jk,c27h96,c0run2,c28cbw,c22pvn,c23q5t,c22z10,c26hjf,c24hgw,c22bzp,c27y9q,c22mmh,c2du5j,c0rbz7,c2sshm,c235sm,c287yw,c297u5,c21mbf,c2933q,c2kwbm,c2s5q0,c22ehb,c20pr7,c25xpu,c29mge,c2k6v6,c260k3
2018-01-01 00:00:00,8.666,7.026,151.1,94.073,64.707,232.916,2.388,91.743,36.926,11.573,54.233,2.63,65.919,54.752,37.928,28.572,722.421,147.362,53.801,15.091,75.24,11.138,51.883,41.084,30.437,14.628,407.3,12.456,63.198,5.91,426.492,282.126,42.118,149.146,6.685,44.053,74.323,36.963,190.709
2018-01-01 01:00:00,12.592,10.747,205.911,134.166,89.545,333.027,3.541,126.291,53.224,15.83,71.117,3.937,94.254,73.979,51.636,37.55,998.845,216.804,81.93,22.945,107.602,13.966,75.303,56.491,38.816,20.141,575.925,16.439,87.82,8.729,592.638,403.594,57.345,207.761,8.755,59.138,102.004,52.09,276.622
2018-01-01 02:00:00,14.18,12.348,214.655,140.806,86.618,350.872,3.798,135.86,55.483,14.966,80.247,4.477,98.621,78.744,51.994,37.862,1007.591,207.147,86.12,24.888,110.718,13.752,77.799,53.655,36.162,19.766,593.427,14.499,89.553,9.686,605.898,391.655,53.116,218.676,7.697,64.111,100.858,53.318,284.165
2018-01-01 03:00:00,11.64,10.411,195.553,123.482,74.323,317.627,2.579,123.179,50.317,17.001,70.989,3.536,88.903,61.009,46.701,32.862,888.657,155.204,77.051,22.295,98.955,12.489,63.114,59.561,23.58,19.921,499.515,13.599,76.911,9.006,536.073,408.059,57.334,195.35,5.256,57.718,109.093,44.086,207.002
2018-01-01 04:00:00,12.2,9.633,198.67,120.641,65.982,295.277,2.607,113.015,49.171,17.083,75.767,3.451,94.03,53.899,47.201,31.805,821.71,144.718,74.113,21.105,94.011,13.577,60.145,62.708,21.079,22.142,463.499,15.041,72.229,8.813,499.72,459.423,60.369,181.683,4.967,53.905,116.981,40.749,179.504
2018-01-01 05:00:00,14.252,10.267,186.568,127.441,67.171,311.717,2.947,115.987,51.357,18.464,76.895,5.262,110.487,59.792,47.933,32.157,847.179,154.333,73.959,22.901,96.482,12.702,66.572,59.883,22.802,23.334,484.264,16.475,77.579,9.905,543.143,476.195,61.047,192.621,4.31,57.515,123.876,43.296,187.49
2018-01-01 06:00:00,14.597,10.514,190.671,141.202,74.482,334.612,3.08,123.357,53.328,17.46,80.192,5.556,120.11,64.109,51.585,35.252,923.121,175.398,77.644,25.27,97.346,13.377,63.868,59.16,25.653,25.347,519.763,15.943,87.563,10.369,577.43,503.985,61.603,202.955,4.83,58.995,130.801,46.233,193.777
2018-01-01 07:00:00,14.311,11.638,192.898,142.602,74.89,357.963,3.566,132.22,55.709,15.429,83.591,5.106,118.839,70.526,55.392,38.647,1020.662,191.544,76.649,25.309,103.656,14.622,64.031,56.999,26.829,26.772,551.91,16.478,94.851,8.869,608.319,542.996,57.533,227.525,5.263,63.738,137.382,46.291,198.13
2018-01-01 08:00:00,14.629,13.003,208.114,143.616,75.141,381.127,3.258,139.483,55.217,14.511,82.334,5.731,120.565,75.334,58.602,39.691,1111.718,186.7,72.792,27.935,109.087,14.431,70.195,56.839,27.738,28.374,621.435,18.52,102.343,9.561,660.602,589.344,56.674,247.883,5.12,68.679,146.702,46.162,206.99
2018-01-01 09:00:00,16.734,15.428,222.008,150.077,77.141,400.196,3.552,144.07,63.237,14.963,84.21,5.386,136.569,86.213,61.639,45.562,1289.75,209.459,77.822,28.051,124.615,15.934,74.152,61.425,29.935,29.368,713.698,18.802,106.947,13.912,689.858,632.481,63.499,269.78,5.198,69.459,175.881,47.668,222.426
2018-01-01 10:00:00,16.743,13.659,228.831,150.44,76.264,393.755,3.453,153.106,62.429,15.487,88.419,5.154,139.129,96.01,66.027,50.786,1355.662,229.175,78.769,26.773,133.992,16.073,78.422,63.159,33.393,27.598,716.099,18.502,106.697,14.814,706.652,622.624,65.776,281.462,5.494,71.126,169.903,49.256,229.922
2018-01-01 11:00:00,16.24,12.858,238.063,146.205,82.092,381.91,2.924,158.126,62.849,16.467,85.37,5.126,129.644,94.002,66.904,51.781,1363.153,225.807,75.593,24.926,124.681,15.539,78.875,65.298,38.011,27.152,715.676,20.621,106.347,13.504,695.063,586.044,67.696,266.804,7.506,69.551,163.972,49.882,235.485
2018-01-01 12:00:00,18.001,14.327,236.773,151.006,87.075,344.72,3.905,147.063,65.376,15.492,78.723,4.836,116.425,93.072,66.881,49.621,1283.067,212.695,73.551,24.79,111.219,16.553,72.592,62.736,30.958,26.722,680.862,19.703,102.096,12.053,664.851,506.176,64.012,236.822,5.365,69.091,160.153,49.14,209.197
2018-01-01 13:00:00,16.146,13.927,232.564,147.021,84.705,301.183,3.592,128.817,65.183,14.462,74.874,5.274,111.54,84.281,63.955,45.068,1112.819,199.624,72.542,25.292,98.538,16.784,61.133,57.65,24.031,23.705,646.773,16.645,94.59,11.946,639.413,458.663,56.968,216.868,3.107,66.194,156.495,49.257,191.067
2018-01-01 14:00:00,14.418,12.872,242.904,138.121,78.967,272.26,3.182,105.812,61.913,13.789,70.115,4.944,111.283,68.349,59.425,40.597,997.894,181.718,69.512,23.455,90.451,14.91,58.735,59.948,19.163,20.625,625.933,14.365,84.888,11.15,590.216,449.149,56.161,190.037,3.883,61.729,158.877,50.425,178.588
2018-01-01 15:00:00,13.869,12.485,244.98,140.2,76.304,246.265,2.825,100.318,60.027,17.814,63.19,4.713,109.67,54.883,52.908,31.862,892.162,156.493,72.068,21.08,85.933,11.757,51.47,65.297,15.249,20.351,567.973,15.478,77.045,12.313,569.527,439.522,62.842,166.333,3.335,64.293,149.062,48.179,174.984
2018-01-01 16:00:00,13.464,12.412,229.425,143.787,72.435,177.566,2.871,83.834,58.622,19.118,62.941,5.049,107.567,44.03,47.804,21.718,743.657,129.798,75.978,21.858,70.798,11.442,36.664,63.743,10.775,19.46,453.745,14.04,67.162,12.748,502.498,408.268,64.84,134.428,1.978,63.403,136.252,45.331,164.115
2018-01-01 17:00:00,13.92,11.645,237.777,141.692,63.072,135.093,2.763,55.862,57.622,19.521,64.042,4.763,105.654,34.774,44.126,17.461,607.195,105.62,75.471,21.122,52.515,11.753,28.541,62.041,8.343,17.971,358.661,12.385,61.278,12.306,475.754,358.992,63.815,99.524,1.394,63.533,127.856,44.92,155.978
2018-01-01 18:00:00,14.422,12.876,241.494,147.957,59.504,130.518,2.74,48.209,63.258,18.025,64.841,4.742,108.763,36.367,42.78,16.327,560.79,98.286,77.545,22.03,45.287,12.254,23.488,58.493,7.55,17.448,319.849,12.739,60.405,12.674,461.859,347.376,61.668,87.756,1.315,63.978,133.591,44.859,169.167
2018-01-01 19:00:00,14.923,14.097,219.163,163.77,62.826,156.342,3.881,60.547,64.912,17.904,67.949,4.387,114.555,42.376,45.43,15.986,582.104,124.533,82.435,23.353,52.385,13.069,27.01,60.743,9.436,18.226,371.176,13.476,68.878,14.175,501.052,369.341,65.281,103.526,1.516,66.992,147.408,44.939,180.252
2018-01-01 20:00:00,14.299,13.917,226.11,159.262,67.611,186.957,3.896,78.82,63.483,17.404,68.6,2.771,108.395,49.524,49.775,20.075,632.276,154.238,83.533,22.363,63.275,12.866,33.348,63.02,11.955,18.265,448.712,14.051,77.729,13.68,537.285,386.734,67.852,123.536,2.098,66.697,148.386,42.953,198.049
2018-01-01 21:00:00,14.354,12.506,274.652,149.565,70.986,205.171,3.427,85.511,61.631,15.948,66.192,2.559,106.78,60.211,52.838,30.684,756.817,159.427,78.96,19.942,71.574,12.805,36.78,62.049,16.088,17.868,488.0,17.419,79.21,14.022,538.84,391.411,67.313,136.745,2.91,64.38,140.489,42.073,205.721
2018-01-01 22:00:00,15.447,12.289,265.747,149.505,76.144,229.695,3.372,99.884,60.792,15.995,65.496,2.936,106.771,64.995,53.911,35.25,826.647,157.89,83.787,21.336,80.031,14.359,40.51,62.597,18.535,19.599,498.58,18.375,82.101,13.685,548.629,387.117,69.534,155.032,3.477,62.762,138.773,41.472,205.09
2018-01-01 23:00:00,15.833,10.929,264.622,145.159,81.1,259.792,4.238,117.194,58.233,16.182,67.377,2.772,106.485,65.614,53.474,33.866,846.517,168.114,83.693,20.6,87.291,17.58,46.815,61.292,21.695,19.84,501.251,17.016,81.197,11.4,537.177,381.469,67.511,167.646,4.288,62.595,141.62,42.106,203.456
2018-01-02 00:00:00,13.426,9.768,263.617,134.544,87.016,282.14,3.801,127.973,53.363,17.119,65.224,3.033,99.216,61.96,52.345,33.505,825.231,165.371,77.384,20.088,89.67,16.247,50.592,62.956,25.202,19.324,501.149,16.368,83.159,8.907,561.489,368.596,64.842,178.259,5.771,61.446,130.706,44.11,202.855
2018-01-02 01:00:00,12.895,10.361,247.511,139.611,91.628,315.456,3.678,131.424,56.254,17.566,63.128,3.296,96.942,59.954,52.237,33.096,855.017,164.486,81.313,20.919,99.197,14.803,62.477,64.702,25.438,19.867,501.609,15.553,87.419,8.505,588.603,390.506,64.92,192.354,6.188,59.927,126.109,45.181,201.672
2018-01-02 02:00:00,13.278,10.677,222.29,141.412,89.306,338.218,3.854,137.98,56.119,18.442,65.339,3.664,94.467,62.048,51.177,33.967,879.568,167.541,83.094,21.821,104.887,15.137,67.39,66.737,23.307,21.017,508.243,14.306,88.717,8.902,598.798,420.236,67.481,206.254,5.455,64.396,123.363,45.879,199.404
