timestamp,c27ern,c2hwsr,c25nbr,c2d0r0,c0xcsy,c20uku,c2hpkg,c20yb3,c26zs7,c2eey8,c272wp,c2k2jk,c27h96,c0run2,c28cbw,c22pvn,c23q5t,c22z10,c26hjf,c24hgw,c22bzp,c27y9q,c22mmh,c2du5j,c0rbz7,c2sshm,c235sm,c287yw,c297u5,c21mbf,c2933q,c2kwbm,c2s5q0,c22ehb,c20pr7,c25xpu,c29mge,c2k6v6,c260k3
2018-01-01 00:00:00,13.572,16.837,236.588,133.009,97.916,423.272,4.311,138.67,50.175,17.45,87.283,3.774,98.922,89.136,72.79,46.125,1779.956,264.962,75.669,22.681,112.984,17.599,73.381,64.751,45.386,22.371,797.984,23.598,109.868,10.705,778.367,540.074,57.747,277.519,8.307,72.908,159.788,58.028,297.68
2018-01-01 01:00:00,18.742,22.257,310.897,183.417,131.064,566.154,5.379,182.263,73.311,21.765,112.105,5.27,134.226,112.766,91.724,55.102,2296.614,363.293,106.365,32.069,150.473,20.061,105.971,84.525,55.397,28.998,1048.252,29.14,145.07,14.848,1013.934,724.944,76.321,360.075,10.575,95.88,211.668,74.939,410.308
2018-01-01 02:00:00,19.115,21.374,306.933,183.759,119.826,538.131,5.041,179.704,71.515,18.841,112.699,5.302,137.663,115.191,86.021,52.797,2107.405,323.664,107.059,33.597,151.542,18.601,102.619,74.684,48.559,27.608,980.526,24.924,137.986,14.598,963.979,663.917,68.037,347.602,9.183,92.658,187.406,72.326,396.561
2018-01-01 03:00:00,15.463,16.609,260.454,155.763,95.058,455.673,3.41,157.471,62.29,20.156,96.156,4.401,119.08,86.3,70.257,43.043,1761.62,240.025,91.676,27.667,131.632,15.972,78.639,74.437,31.571,25.453,793.886,21.069,115.018,12.413,811.288,625.536,69.522,294.478,6.237,82.401,176.145,58.286,294.668
2018-01-01 04:00:00,16.013,15.942,259.476,151.069,84.259,420.454,3.809,142.86,61.765,19.976,101.595,4.178,117.298,77.542,68.127,43.644,1662.31,222.247,88.785,26.501,121.733,17.479,73.822,75.656,28.846,27.003,743.819,21.231,107.774,12.405,758.202,668.231,72.306,273.816,5.933,74.07,179.818,53.121,262.185
2018-01-01 05:00:00,17.631,16.349,245.42,156.009,85.38,428.137,3.764,144.776,63.628,21.252,100.949,6.012,132.185,82.166,68.562,39.84,1631.323,228.117,86.22,28.617,121.16,15.992,79.924,72.995,29.748,27.86,751.784,22.626,110.538,12.936,787.595,676.555,72.744,279.516,5.21,76.597,182.526,55.328,263.893
2018-01-01 06:00:00,17.908,16.879,250.602,170.643,92.038,454.189,4.011,151.701,64.535,20.517,101.778,6.312,144.468,85.043,71.905,42.963,1690.263,248.17,90.048,29.727,120.095,16.84,77.006,73.026,32.412,30.041,783.381,22.046,119.416,13.466,817.758,704.337,73.556,288.564,5.747,77.81,189.858,57.404,269.291
2018-01-01 07:00:00,17.89,18.227,255.226,173.202,96.007,487.858,4.503,161.593,67.279,18.873,105.453,5.98,144.788,91.426,78.455,46.905,1837.359,271.829,89.94,30.092,128.059,18.107,77.82,71.567,34.25,31.31,835.234,23.689,126.524,11.907,866.432,753.294,69.835,317.953,6.15,84.726,201.589,58.08,278.421
2018-01-01 08:00:00,18.549,20.222,279.574,180.226,100.161,534.803,4.512,174.883,66.637,18.974,109.035,6.703,151.143,102.506,85.913,52.088,2066.914,279.832,86.941,33.707,139.003,19.014,88.998,74.397,38.856,33.731,958.04,28.289,138.76,13.893,962.003,830.334,70.222,352.019,6.418,93.232,221.527,59.668,298.751
2018-01-01 09:00:00,21.932,24.345,314.223,196.637,108.901,604.106,5.573,189.638,77.504,19.423,119.358,6.569,173.823,119.945,97.549,62.013,2525.353,331.187,98.276,36.741,164.2,21.836,99.175,83.698,44.132,37.977,1137.998,29.646,154.385,20.591,1053.069,932.551,81.843,409.969,7.099,100.248,274.755,66.485,341.359
2018-01-01 10:00:00,23.471,24.119,342.755,203.245,113.379,636.916,5.79,209.064,78.601,21.461,128.694,6.747,181.687,138.676,107.275,69.221,2827.834,375.78,103.407,36.712,180.245,22.57,109.408,89.676,50.357,38.949,1224.168,31.218,161.958,22.961,1141.696,966.3,88.495,448.011,8.482,106.876,284.725,72.378,367.436
2018-01-01 11:00:00,24.529,23.998,364.489,199.387,120.169,625.912,4.855,217.145,80.465,22.292,128.317,6.777,174.975,136.849,108.851,68.535,2909.017,375.481,101.239,35.595,173.191,22.215,108.073,91.974,52.954,39.94,1253.679,32.914,166.625,21.93,1166.602,935.895,90.55,434.488,11.527,107.508,277.427,75.475,379.633
2018-01-01 12:00:00,25.442,25.698,364.995,206.067,127.842,585.593,5.422,210.916,83.181,21.686,120.682,6.294,162.178,136.098,107.361,70.4,2874.74,367.336,100.151,34.985,160.924,22.763,101.684,89.826,47.162,38.68,1246.966,31.034,164.065,19.036,1146.929,870.911,88.728,406.973,9.461,106.354,284.386,73.973,357.383
2018-01-01 13:00:00,23.439,26.002,353.751,206.748,125.463,558.129,5.236,193.69,83.147,21.449,117.717,7.21,158.358,128.304,107.085,66.811,2717.879,357.222,100.803,36.355,151.332,23.31,90.034,85.834,39.192,34.261,1230.306,27.187,153.837,19.439,1137.727,832.731,79.584,388.393,5.287,105.184,280.44,73.397,347.959
2018-01-01 14:00:00,22.455,25.362,360.228,205.22,121.396,523.185,5.431,167.039,80.468,20.871,115.673,6.89,156.326,111.711,103.731,59.692,2610.925,334.084,94.436,35.201,141.357,22.334,85.938,88.906,35.028,31.206,1209.839,25.541,143.442,19.071,1094.026,817.662,77.239,370.596,5.868,100.541,283.003,76.034,343.333
2018-01-01 15:00:00,23.226,23.926,366.206,204.628,114.69,494.984,5.483,158.313,79.232,24.476,109.682,7.555,153.561,92.658,94.952,49.396,2461.058,306.653,98.273,31.925,132.618,20.23,78.105,93.575,28.704,30.638,1151.993,24.98,133.115,19.827,1057.115,796.324,83.963,346.529,5.279,104.945,269.761,73.034,336.734
2018-01-01 16:00:00,21.594,22.845,345.409,203.091,108.277,410.643,5.161,142.075,76.479,24.959,105.656,8.139,149.978,81.235,87.287,39.958,2258.029,276.414,100.45,31.196,117.592,18.791,63.187,90.2,24.183,29.751,1001.457,23.451,119.944,19.345,962.751,756.482,85.868,308.786,3.668,100.638,248.929,69.395,315.72
2018-01-01 17:00:00,20.922,23.069,345.856,193.608,98.363,365.302,4.41,114.978,78.726,24.944,107.958,7.952,148.362,72.73,81.94,36.738,2052.817,244.253,100.498,30.217,97.208,16.91,55.118,88.837,24.677,26.897,886.215,23.681,114.385,18.889,916.973,693.359,84.566,272.396,3.343,98.745,235.605,67.819,301.774
2018-01-01 18:00:00,20.703,24.829,351.393,204.411,96.746,361.924,4.869,108.25,84.379,23.194,107.743,7.321,156.925,75.401,82.642,33.686,1985.669,237.398,100.802,32.583,90.118,18.493,49.961,88.662,24.207,28.146,843.203,23.897,118.354,19.005,908.707,674.905,82.921,256.677,2.912,99.824,244.514,69.817,314.024
