timestamp,dpb4jm,cbr8b9,cbndmz,cbr1m1,dpcmj8,9zysxb,cbnkcv,dpc6b8,cbp06u,9zzwd0,dp8rr1,9zxq43,dp8mj0,dp8zjd,f040e1,cbq8kf,9zyxsy,9zzn6w,f01hun,dpc0fm,f00ggc,9zxebh,dp86bb,dpb9p3,9zxusu,cbpzd1,9zzkjv,dp8uey,9zzcvm,dp9f4x,dpfj0t,9zz1y9,9zxftj,f009mp,f001vv,dpcepn,dpbpmt,f013vx,dpb3m6,dpbzyq,dp9u9r,9zz9cz,dpcrbz,f00k4d,dpchdy,dp9y8v,9zytyh,9zyq2v,cbn68k,dpbm52,cbpezg,dp9g4x,9zxwy0,dp8dtp,cbp4wn,cbn20m,dp8p13,cbphvv,dpbyu3,dpc8gd,cbp9hw,9zzh11,9zz2j3,f00mgr,dp949p,cbntp4,dp9qb5,dp9hwx,dpbtp8,dpbdcq,dpbfy3,9zzuzj
2018-01-01 00:00:00,7.194,10.995,12.53,7.189,40.513,1.198,9.859,10.541,18.757,2.441,6.242,3.644,86.208,16.82,7.581,11.95,9.559,28.213,3.173,16.192,1.723,7.275,5.146,1.544,3.03,2.11,11.566,16.876,3.971,12.551,1.094,25.136,2.82,2.095,4.348,9.74,21.61,8.66,1.953,0.033,111.296,10.548,12.061,8.128,28.454,11.007,0.448,7.27,17.718,11.188,6.008,18.334,1.501,18.817,3.046,22.369,13.126,8.733,7.031,16.303,3.688,2.39,4.683,6.588,13.719,4.94,18.052,48.137,4.959,2.452,30.427,9.161
2018-01-01 01:00:00,19.478,21.865,26.057,12.672,112.699,3.117,13.963,26.196,41.609,5.734,18.279,10.721,270.724,47.515,14.196,20.103,17.804,59.61,5.392,39.978,3.531,22.78,14.07,4.676,10.338,4.129,26.99,42.604,11.731,46.747,3.2,66.144,8.693,5.557,8.979,25.485,49.097,21.335,6.296,0.075,368.693,25.972,29.019,17.816,75.857,35.175,1.089,16.982,33.223,26.316,13.023,67.127,5.35,64.918,6.649,40.713,34.2,16.592,16.514,44.856,8.366,8.661,10.585,11.283,41.836,9.005,54.103,143.695,12.646,5.727,78.248,21.702
2018-01-01 02:00:00,24.128,26.028,30.865,14.597,141.857,3.752,16.072,31.909,48.9,7.262,22.735,12.932,337.958,58.56,15.825,23.71,19.287,68.358,5.738,50.194,3.982,28.392,16.707,5.868,12.688,4.776,31.515,53.375,14.019,58.747,3.78,77.911,10.567,7.139,11.049,29.847,58.873,25.83,7.618,0.089,482.574,30.616,36.253,19.512,93.544,43.828,1.335,20.704,40.022,31.203,15.911,84.246,6.638,83.575,8.823,46.939,41.499,19.843,19.703,54.462,10.051,11.374,12.286,13.035,53.092,10.854,66.368,179.145,14.667,7.076,97.211,25.837
2018-01-01 03:00:00,24.781,26.777,31.32,16.388,141.573,3.856,17.099,32.21,51.788,7.272,24.833,12.925,350.678,59.605,15.793,24.999,19.48,72.092,5.658,50.909,4.144,28.761,17.059,6.105,13.037,4.882,32.584,55.087,14.179,61.395,3.795,78.061,10.759,7.523,11.665,30.145,60.257,26.426,7.666,0.08,484.844,31.609,37.084,19.877,94.424,44.552,1.332,21.6,40.453,25.905,16.258,89.173,6.727,86.58,8.493,47.579,42.846,19.831,19.615,54.753,10.151,11.777,12.374,13.857,54.986,11.126,67.667,185.772,14.45,7.071,100.522,25.368
2018-01-01 04:00:00,24.439,28.99,31.591,17.131,142.314,3.935,18.021,31.948,56.976,7.619,25.759,12.781,363.476,61.084,15.96,26.38,19.7,75.891,5.671,52.115,4.148,29.513,17.594,6.052,13.342,4.776,33.555,54.897,14.272,62.781,3.801,78.512,10.91,8.188,11.901,30.773,62.274,26.429,7.705,0.079,514.007,32.041,37.002,20.239,96.4,45.328,1.355,21.938,39.997,26.598,16.474,92.068,6.856,88.734,8.37,46.733,42.145,19.205,19.769,55.038,10.354,12.309,12.346,14.67,57.251,11.335,68.796,190.257,14.829,7.199,101.85,25.728
2018-01-01 05:00:00,24.805,31.436,32.597,16.642,145.354,3.877,19.62,31.805,58.74,7.473,24.311,12.793,373.917,60.819,16.128,27.67,20.266,76.051,5.75,52.754,4.122,29.663,17.53,6.168,13.805,4.906,33.663,56.657,14.17,63.182,3.869,79.636,11.238,7.829,12.178,34.129,63.711,26.48,7.74,0.081,531.812,32.429,36.806,20.741,99.225,46.122,1.529,22.365,42.425,28.072,16.639,90.048,7.186,92.507,8.75,49.075,41.604,19.105,20.175,54.572,11.018,15.357,12.601,15.472,58.599,11.567,70.106,192.919,15.49,7.85,105.109,25.871
2018-01-01 06:00:00,27.187,32.335,32.596,17.656,145.498,3.663,20.004,32.117,59.534,7.604,24.904,12.812,381.807,60.811,16.818,28.151,21.62,77.601,6.971,55.271,4.257,30.392,18.121,6.527,14.074,5.003,32.799,57.028,14.87,63.456,3.868,82.517,11.411,8.095,12.174,34.316,63.483,26.491,7.798,0.083,538.01,33.503,37.062,21.43,101.225,46.267,1.441,23.191,41.78,30.546,16.671,91.237,7.041,96.164,8.761,50.626,41.941,19.729,20.147,55.943,11.213,15.076,12.846,15.481,60.476,11.803,72.233,195.644,15.769,8.725,107.942,25.903
2018-01-01 07:00:00,27.614,32.417,33.509,18.395,147.418,3.878,19.798,32.451,60.263,7.541,24.877,14.036,389.554,65.066,16.966,32.023,22.792,79.953,6.967,58.505,4.214,31.803,17.562,6.713,15.035,5.217,33.221,60.077,15.547,61.94,3.861,86.31,12.171,9.064,11.859,35.132,63.437,27.59,7.813,0.085,540.145,34.945,37.191,21.297,102.593,48.91,1.299,22.432,45.583,31.591,16.59,94.189,6.897,94.527,8.758,50.252,42.945,20.824,20.585,56.609,11.271,14.332,13.559,15.379,62.819,11.945,71.065,207.998,15.962,10.289,109.667,25.961
2018-01-01 08:00:00,26.691,32.247,33.63,17.919,148.444,3.926,20.252,33.183,60.591,7.256,23.079,14.006,393.649,64.604,16.772,32.935,23.057,81.16,5.677,56.572,4.045,30.472,17.752,6.574,15.044,5.069,34.08,60.36,14.888,61.978,3.894,85.426,11.393,9.312,11.59,34.772,63.402,27.667,7.789,0.085,534.936,35.903,37.486,20.788,102.4,48.507,1.312,22.489,46.248,30.495,16.781,98.554,7.074,94.846,9.396,50.822,44.476,21.308,20.7,56.057,11.968,14.977,14.547,15.665,63.054,12.495,75.892,205.725,15.931,10.273,109.631,26.74
2018-01-01 09:00:00,25.339,31.985,32.498,17.476,146.978,3.907,20.757,32.847,59.111,7.312,22.96,13.514,389.84,63.4,16.359,32.347,22.655,83.557,5.623,54.753,3.92,29.354,15.563,6.441,14.556,5.007,33.533,57.771,14.875,60.652,3.839,80.949,11.087,9.237,11.833,32.492,61.962,26.591,7.571,0.082,538.227,34.35,36.958,19.924,101.261,49.139,1.367,22.786,46.248,30.071,16.843,96.147,6.67,92.886,8.825,52.132,43.461,21.505,20.457,57.501,11.752,14.01,14.281,15.361,61.97,12.481,75.215,200.473,15.408,9.752,106.102,25.669
