timestamp,dpb4jm,cbr8b9,cbndmz,cbr1m1,dpcmj8,9zysxb,cbnkcv,dpc6b8,cbp06u,9zzwd0,dp8rr1,9zxq43,dp8mj0,dp8zjd,f040e1,cbq8kf,9zyxsy,9zzn6w,f01hun,dpc0fm,f00ggc,9zxebh,dp86bb,dpb9p3,9zxusu,cbpzd1,9zzkjv,dp8uey,9zzcvm,dp9f4x,dpfj0t,9zz1y9,9zxftj,f009mp,f001vv,dpcepn,dpbpmt,f013vx,dpb3m6,dpbzyq,dp9u9r,9zz9cz,dpcrbz,f00k4d,dpchdy,dp9y8v,9zytyh,9zyq2v,cbn68k,dpbm52,cbpezg,dp9g4x,9zxwy0,dp8dtp,cbp4wn,cbn20m,dp8p13,cbphvv,dpbyu3,dpc8gd,cbp9hw,9zzh11,9zz2j3,f00mgr,dp949p,cbntp4,dp9qb5,dp9hwx,dpbtp8,dpbdcq,dpbfy3,9zzuzj
2018-01-01 00:00:00,17.514,16.389,28.523,13.591,125.194,4.641,16.386,25.768,39.176,11.636,20.68,9.275,282.909,43.815,19.103,27.229,22.805,69.68,5.709,47.968,6.059,21.189,15.989,8.878,11.041,5.131,21.203,43.754,12.755,61.89,8.268,58.659,7.23,9.286,11.936,32.339,61.885,24.049,6.405,0.906,484.394,22.429,22.39,24.54,96.526,34.89,2.341,18.113,35.662,32.658,13.048,85.618,5.746,73.972,8.224,53.678,35.119,16.474,20.583,59.082,9.35,9.323,12.091,18.182,47.202,12.356,57.573,175.547,25.047,10.713,84.419,34.17
2018-01-01 01:00:00,30.53,28.235,45.623,20.948,227.601,7.591,21.418,43.558,64.967,17.341,37.498,17.576,521.308,83.027,29.174,38.78,33.558,111.574,8.241,81.04,9.188,39.209,25.581,13.656,20.561,7.472,36.809,76.238,23.463,111.451,10.346,109.108,14.542,13.302,20.112,51.028,104.016,41.093,12.552,1.154,856.284,40.01,41.955,38.059,163.624,66.264,3.31,31.222,53.046,54.393,20.745,154.608,13.12,135.328,13.151,77.976,62.318,25.792,32.501,101.001,14.724,17.789,20.857,25.273,85.817,18.293,100.293,311.997,35.29,15.474,145.292,51.731
2018-01-01 02:00:00,35.553,32.974,49.165,22.88,253.91,8.204,22.736,51.566,71.331,19.25,40.942,19.432,579.92,93.835,29.771,41.545,36.499,121.065,8.34,89.02,8.96,43.886,28.008,14.176,22.676,8.18,40.486,84.608,25.858,122.919,10.634,120.307,16.707,15.232,22.183,54.951,109.702,44.182,13.99,1.08,965.161,43.939,50.142,39.107,181.257,74.761,3.589,34.995,59.921,57.942,23.687,173.044,12.924,153.11,14.921,82.897,70.487,29.066,36.213,108.917,15.875,20.435,23.003,27.783,96.601,20.642,113.064,348.9,37.426,16.365,168.342,56.79
2018-01-01 03:00:00,35.929,33.253,49.626,23.639,250.381,8.51,24.19,47.624,73.698,17.771,42.395,19.055,584.248,93.581,29.644,42.735,37.238,119.926,8.313,89.282,9.283,44.54,28.292,13.78,23.082,8.447,41.148,86.266,24.993,125.042,9.873,118.515,16.384,15.501,22.44,55.051,111.517,43.966,14.426,1.142,955.462,44.453,50.829,39.718,177.616,74.906,3.484,33.671,58.575,52.574,24.161,173.206,12.622,155.738,14.337,82.6,71.218,29.243,33.272,106.954,15.614,20.556,22.319,28.194,97.927,20.953,112.099,353.588,35.468,16.425,168.049,54.964
2018-01-01 04:00:00,36.085,35.468,50.5,24.512,251.277,8.318,26.191,47.013,79.564,17.899,42.898,19.247,597.884,95.56,29.603,44.73,36.317,125.682,8.002,89.829,9.379,45.105,29.778,13.976,23.042,8.776,42.791,86.64,25.326,127.391,9.76,118.756,16.972,16.152,22.583,56.282,112.193,44.24,14.259,1.328,988.127,45.8,50.645,40.411,178.443,75.765,3.554,33.961,58.506,53.47,25.245,176.857,12.799,158.535,14.333,83.56,69.173,28.905,32.875,106.836,15.952,21.328,22.505,29.202,100.964,21.357,113.214,355.54,35.793,16.698,168.572,53.143
2018-01-01 05:00:00,36.747,38.033,52.492,24.107,259.485,8.718,26.739,47.615,82.993,18.972,42.849,19.794,615.853,96.472,30.272,46.963,38.083,127.358,8.148,91.87,9.554,46.621,30.221,14.206,23.948,9.372,43.249,90.643,25.723,130.816,10.085,123.006,19.145,16.213,23.628,61.589,116.007,45.72,14.378,1.655,1022.862,45.828,53.956,41.366,186.809,77.546,3.832,36.077,62.954,56.553,24.58,178.912,13.684,165.548,14.913,85.779,69.725,29.891,34.691,109.284,16.969,25.061,23.685,29.982,104.584,22.18,116.641,363.443,38.299,17.688,175.452,54.577
2018-01-01 06:00:00,40.688,39.586,54.93,26.325,271.553,9.895,29.005,51.535,85.973,20.936,46.914,20.744,652.867,100.242,32.842,51.594,40.878,134.286,9.662,99.872,10.133,48.686,32.396,16.295,25.509,10.593,44.415,95.161,28.156,138.755,10.602,130.869,18.573,17.638,24.82,65.652,121.288,49.359,14.411,1.148,1089.531,49.81,55.616,45.585,197.421,83.562,4.107,38.397,65.514,62.367,25.171,191.026,14.683,180.791,15.215,92.054,74.526,31.347,37.25,116.203,17.444,25.917,24.911,31.316,111.293,22.828,125.446,385.882,42.011,19.766,188.726,58.879
2018-01-01 07:00:00,44.46,40.831,60.018,28.853,300.616,12.126,31.814,57.24,92.035,23.014,52.97,23.912,711.652,112.335,35.6,60.018,45.519,148.389,10.593,112.074,11.282,56.856,36.582,18.474,28.05,10.044,47.492,105.175,30.853,151.829,12.359,145.102,20.872,21.144,25.822,70.512,136.675,54.464,15.849,1.376,1208.309,54.337,57.472,47.925,219.419,93.69,4.354,40.992,76.943,68.848,28.04,209.9,16.317,195.772,16.674,98.631,78.934,35.928,40.436,127.513,18.656,29.8,27.11,35.723,119.99,24.706,136.273,445.511,45.305,23.626,207.803,66.89
2018-01-01 08:00:00,46.72,42.607,66.393,29.127,314.131,11.914,32.479,62.771,101.755,26.282,54.473,24.053,749.899,116.507,36.807,64.237,49.852,158.62,10.301,116.085,11.647,55.752,38.392,18.805,29.942,10.064,49.013,109.586,31.69,163.647,13.632,153.006,23.083,22.306,28.227,72.775,149.014,56.331,18.084,2.119,1286.131,58.097,59.728,50.617,233.759,97.264,5.367,42.052,79.59,71.534,29.258,235.064,16.952,199.165,18.412,109.518,86.214,37.814,43.641,138.568,19.531,32.888,29.948,38.002,124.908,28.672,148.51,474.215,50.39,25.052,215.143,70.643
2018-01-01 09:00:00,44.655,43.606,64.76,29.668,320.578,12.156,34.113,61.712,101.24,26.085,55.128,23.224,760.523,116.331,39.507,65.551,52.977,163.756,8.928,119.329,11.294,54.626,36.755,18.532,31.395,10.877,48.548,107.513,32.57,166.746,13.355,149.959,22.619,22.726,29.329,72.628,150.65,55.707,17.563,1.952,1346.061,58.559,59.323,51.731,238.028,94.962,5.416,42.429,80.565,71.43,29.439,238.601,16.323,201.282,18.858,109.141,85.118,41.178,42.985,141.535,20.282,28.908,29.15,35.958,130.534,28.753,146.966,468.535,48.42,25.702,212.088,79.014
2018-01-01 10:00:00,42.33,42.866,64.27,27.378,322.685,12.917,33.179,60.112,99.853,26.698,51.489,23.609,788.198,119.992,36.669,63.528,51.885,173.789,8.928,122.571,10.812,53.111,33.946,19.52,31.758,10.502,47.551,109.788,32.288,169.042,14.412,144.389,24.587,23.444,27.739,70.613,148.561,54.526,16.907,1.928,1381.472,55.002,55.586,52.09,241.649,94.81,5.788,41.726,79.176,75.071,29.815,246.286,16.198,210.901,19.382,112.797,84.828,37.568,41.211,142.282,18.868,27.825,27.991,36.162,129.001,29.787,147.517,476.197,46.75,27.696,213.234,70.049
2018-01-01 11:00:00,42.571,42.714,65.269,28.71,318.806,11.854,30.086,58.176,96.822,24.55,51.054,21.612,786.793,121.899,35.735,61.9,51.28,180.214,9.074,117.783,11.64,53.78,31.842,18.715,32.376,11.722,46.464,109.239,30.573,170.166,14.743,138.972,20.615,20.413,26.02,72.364,140.325,52.87,17.613,1.783,1358.315,52.574,53.325,52.184,241.309,95.349,6.525,41.102,73.004,76.237,28.932,236.476,16.3,217.529,17.89,109.108,87.224,38.205,41.505,141.929,19.343,27.696,28.544,34.826,130.217,28.587,143.88,483.786,47.984,24.612,213.779,70.462
2018-01-01 12:00:00,38.706,40.486,62.484,26.121,305.109,11.018,28.567,53.405,95.524,23.988,49.392,21.124,756.978,118.749,35.14,57.834,50.375,181.511,9.182,109.411,11.594,51.116,34.159,17.647,31.77,10.14,46.34,96.434,29.963,166.942,12.079,139.441,19.469,20.008,25.517,70.422,134.3,51.238,17.151,1.852,1331.609,53.82,51.101,50.237,239.866,92.347,5.577,42.669,70.564,80.401,26.857,235.162,15.073,210.326,16.484,106.154,80.639,34.241,40.453,137.929,18.257,27.652,28.383,35.802,125.337,25.868,141.356,471.433,46.885,24.754,203.11,76.022
2018-01-01 13:00:00,39.637,37.081,57.533,24.703,296.359,11.019,26.76,51.552,94.993,22.735,50.104,21.173,731.448,111.301,34.939,52.84,47.276,169.334,8.27,104.734,9.941,48.309,33.002,18.514,29.3,9.375,41.347,97.201,28.724,162.348,12.612,138.232,19.602,21.823,22.862,68.193,132.325,50.293,16.624,2.034,1293.443,49.553,49.145,46.217,226.112,87.389,5.008,40.808,67.587,75.917,25.534,228.333,14.532,205.764,17.959,105.32,83.422,32.164,38.941,131.509,17.89,25.71,26.196,36.846,127.258,24.879,140.12,458.521,46.182,25.354,194.887,72.113
