timestamp,dnznet,dr082j,dnvbk9,dnys4u,dpntn7,dnvd8d,dnykfp,dny6fc,dnyx7e,dny26g,dnyt2h,dnzwmz,dnwz9r,dqbpeh,dpnwqx,dnzvvv,dnyz6y,dnvuvm,dqbxs5,dny40c,dnyvb3,dnv9hk,dntxpq,dntutv,dpnbwp,dpndsr,dnvst6,dnwkf3,dppb5m,dntwd6,dpp16p,dnwtxh,dr0350,dny9c6,dpnsj7,dnzs48,dnyrcn,dnz456,dpp2e1,dnvg04,dnwnyf,dnzhwe,dnyqg7,dnyhks,dnww0p,dnzpf2,dnzqmx,dpn2x8,dnyvq3,dnv2ur,dnyfcm,dpn9m0,dnyjup,dnyp14,dnwjbm
2018-01-01 00:00:00,13.073,171.468,43.788,7.044,25.094,140.623,8.858,4.228,2.875,62.564,5.651,9.359,52.496,38.638,19.223,12.08,44.546,21.195,102.872,281.376,8.802,40.613,78.708,60.561,28.287,29.727,34.44,132.929,42.068,62.568,71.079,15.346,27.572,27.236,31.985,7.399,5.241,22.786,16.823,105.922,149.237,21.397,10.035,24.754,27.664,6.814,12.382,4.244,14.472,80.059,18.153,9.046,8.262,60.855,58.417
2018-01-01 01:00:00,16.796,221.715,58.233,9.254,33.762,184.338,12.03,5.853,4.202,83.297,8.869,12.984,71.648,51.74,26.992,14.84,64.321,29.063,133.042,365.801,12.971,54.501,103.588,82.106,39.384,41.0,47.681,177.297,55.559,83.926,97.972,21.191,36.599,36.117,44.247,9.399,7.142,28.721,23.917,143.282,194.871,29.385,13.215,31.331,36.559,9.466,17.039,7.821,20.965,105.981,24.031,12.755,12.255,93.781,77.722
2018-01-01 02:00:00,17.794,223.926,56.868,9.387,34.099,189.747,11.56,6.278,4.391,86.858,9.485,13.586,79.782,56.302,28.343,15.157,71.721,28.146,134.622,360.772,14.254,56.836,102.177,84.073,41.601,42.856,47.562,182.424,55.98,85.352,103.178,21.893,36.895,36.362,45.943,10.175,7.309,30.486,27.189,142.925,198.486,30.798,13.791,30.8,40.05,9.876,17.66,8.254,22.138,112.297,24.191,13.269,13.035,95.413,75.859
2018-01-01 03:00:00,18.011,222.638,54.438,9.654,36.405,197.452,11.172,8.137,4.568,91.821,9.228,15.141,83.552,57.16,30.744,15.597,75.736,28.574,137.882,368.425,16.597,57.246,103.094,87.266,45.403,42.556,47.932,185.579,58.048,89.62,107.672,22.412,38.743,35.654,46.336,9.422,7.454,30.685,29.138,137.184,210.026,30.683,15.509,30.641,40.078,11.146,17.745,5.668,23.499,115.535,22.784,13.341,13.188,97.632,80.886
2018-01-01 04:00:00,19.082,230.082,55.135,10.129,38.345,208.857,11.529,8.851,5.02,98.507,9.191,15.964,85.843,58.504,31.761,15.635,77.376,29.428,138.781,400.349,17.823,55.951,106.038,88.775,47.223,42.253,49.105,187.936,60.339,92.06,107.493,23.462,39.961,36.702,47.457,9.394,7.557,30.991,28.987,139.496,213.496,31.003,16.577,31.1,39.182,11.721,17.63,5.877,24.143,114.798,22.815,14.485,13.303,100.774,85.121
2018-01-01 05:00:00,21.113,243.1,58.587,10.877,39.403,214.386,11.74,9.104,5.254,97.176,9.618,16.468,87.897,59.051,33.219,16.491,81.24,31.038,142.528,414.85,18.821,58.126,109.855,88.554,48.246,43.202,50.835,190.77,62.701,93.688,112.744,23.902,40.555,38.664,50.312,10.473,7.723,32.234,28.533,146.6,219.07,33.253,16.816,31.927,39.546,11.949,19.241,8.062,24.575,116.048,23.72,15.92,15.412,105.595,88.119
2018-01-01 06:00:00,22.826,254.172,62.63,11.576,42.811,221.181,11.67,9.138,5.792,95.368,9.926,18.162,90.283,55.679,37.274,18.216,85.947,32.457,149.374,426.086,19.649,61.984,119.557,87.944,47.8,44.76,54.775,191.71,70.11,101.512,121.902,24.422,42.909,39.714,52.839,11.745,7.862,31.827,29.972,151.394,223.625,36.284,16.644,32.708,40.436,12.369,20.62,9.647,27.121,122.548,23.927,16.796,15.409,111.951,86.714
2018-01-01 07:00:00,24.643,258.956,63.363,12.706,44.628,233.74,11.958,9.237,6.182,95.139,10.003,18.234,91.018,57.023,38.102,18.858,90.998,32.469,151.908,442.308,19.666,64.147,125.146,87.632,49.759,47.41,54.81,191.195,72.525,105.045,122.948,24.532,42.749,41.506,56.702,12.716,7.83,31.108,30.077,157.429,225.985,36.237,18.247,33.666,41.31,12.55,20.366,8.864,28.104,129.818,23.945,16.017,15.253,115.88,85.283
2018-01-01 08:00:00,24.203,245.692,62.344,12.944,44.379,242.241,12.151,9.212,5.835,100.347,9.781,17.818,94.081,55.254,37.832,19.038,91.569,32.04,147.643,445.565,19.627,64.139,121.585,85.907,49.858,47.608,52.717,192.596,70.776,102.088,124.945,23.54,41.844,41.211,56.808,12.737,7.533,30.061,30.941,154.695,219.919,36.19,16.871,33.336,41.231,12.458,19.652,8.463,27.772,130.186,23.428,15.328,14.67,113.853,85.525
2018-01-01 09:00:00,23.052,216.856,58.169,11.74,40.951,229.462,11.369,10.128,5.29,96.955,8.734,17.312,89.091,50.297,37.515,18.477,85.331,32.162,133.783,417.652,18.561,59.866,112.585,82.555,49.575,43.53,49.071,187.631,64.008,94.934,112.834,23.263,35.453,37.58,52.823,12.053,6.978,28.49,28.216,144.483,209.148,34.187,15.007,30.732,42.433,11.382,18.231,6.56,26.202,123.946,22.051,13.577,12.741,100.383,83.76
