timestamp,dnznet,dr082j,dnvbk9,dnys4u,dpntn7,dnvd8d,dnykfp,dny6fc,dnyx7e,dny26g,dnyt2h,dnzwmz,dnwz9r,dqbpeh,dpnwqx,dnzvvv,dnyz6y,dnvuvm,dqbxs5,dny40c,dnyvb3,dnv9hk,dntxpq,dntutv,dpnbwp,dpndsr,dnvst6,dnwkf3,dppb5m,dntwd6,dpp16p,dnwtxh,dr0350,dny9c6,dpnsj7,dnzs48,dnyrcn,dnz456,dpp2e1,dnvg04,dnwnyf,dnzhwe,dnyqg7,dnyhks,dnww0p,dnzpf2,dnzqmx,dpn2x8,dnyvq3,dnv2ur,dnyfcm,dpn9m0,dnyjup,dnyp14,dnwjbm
2018-01-01 00:00:00,16.344,205.102,52.228,11.433,32.265,194.508,11.034,7.507,4.758,77.464,7.078,13.556,66.97,44.81,27.374,15.856,69.025,29.892,119.536,377.928,13.205,46.572,90.46,66.87,46.594,37.774,41.754,154.085,51.266,70.157,109.903,19.33,32.193,34.696,49.847,10.123,7.197,27.297,23.395,127.827,181.854,29.975,13.73,28.468,31.207,12.324,14.398,6.645,20.41,91.925,21.524,14.01,9.717,99.796,64.171
2018-01-01 01:00:00,20.76,266.371,69.487,15.095,43.85,255.191,15.03,9.888,6.873,102.315,10.722,19.694,91.17,60.41,38.079,19.888,100.89,40.926,155.809,491.715,18.441,61.866,118.939,90.691,65.126,51.907,56.557,204.322,68.069,93.585,148.703,26.8,43.213,47.05,67.843,14.207,9.6,34.009,32.695,171.154,236.286,40.158,18.424,36.226,41.334,16.8,19.67,11.161,28.982,121.256,29.073,18.936,14.263,145.918,85.775
2018-01-01 02:00:00,21.642,266.417,66.384,15.357,42.421,257.526,14.397,10.081,6.682,106.021,11.364,18.922,98.524,64.072,39.253,19.739,101.617,39.503,155.818,476.939,19.648,64.294,117.727,91.386,65.209,53.701,55.979,208.474,66.219,94.955,153.15,27.147,43.394,46.251,68.635,13.561,9.792,35.736,35.739,169.341,235.312,40.646,19.363,35.646,44.536,17.179,20.417,11.814,30.095,126.757,26.933,19.441,15.29,146.021,83.378
2018-01-01 03:00:00,21.871,263.948,62.928,15.286,44.883,264.419,14.042,11.648,6.842,109.599,11.167,19.562,102.739,64.795,41.422,20.247,105.02,39.504,158.597,481.517,22.108,64.815,117.964,94.619,69.244,53.21,56.329,211.38,68.128,98.507,157.643,27.71,44.757,45.009,68.523,12.814,10.254,35.812,37.944,162.88,246.568,41.159,20.762,35.635,44.894,18.308,20.269,8.815,31.078,129.832,25.791,19.553,15.495,148.476,88.428
2018-01-01 04:00:00,23.109,272.623,63.614,15.914,46.927,277.878,14.757,12.604,7.841,117.146,11.449,20.447,105.524,66.412,42.659,20.354,107.699,40.569,160.11,517.614,23.894,63.427,121.029,96.618,72.419,53.447,58.339,214.359,71.147,101.76,158.426,29.536,46.881,47.176,70.276,13.966,10.022,37.185,37.802,166.809,252.129,41.91,21.989,36.224,44.014,19.219,20.328,8.979,31.574,129.454,26.07,20.981,16.022,152.247,92.966
2018-01-01 05:00:00,25.476,289.906,67.84,17.335,49.3,291.623,15.202,12.936,8.057,117.856,12.427,21.939,109.47,69.521,46.265,22.442,114.659,43.955,166.712,547.304,25.634,67.063,127.386,96.39,75.108,55.224,60.72,220.611,75.141,104.297,167.193,30.258,47.871,50.19,74.567,16.345,10.599,38.996,39.892,176.261,261.264,44.793,22.982,38.13,45.433,20.163,22.028,11.371,33.236,132.49,27.23,23.426,19.688,162.753,98.184
2018-01-01 06:00:00,28.498,312.191,74.331,19.572,54.562,313.511,16.627,15.196,8.859,122.389,13.226,24.835,117.839,70.161,52.996,25.179,123.963,49.967,178.71,582.339,27.331,72.548,140.467,98.862,82.056,58.856,66.504,226.346,87.883,116.765,185.676,32.724,52.807,53.736,81.42,17.44,11.79,39.574,43.448,186.646,277.244,50.847,23.781,39.927,47.701,21.799,24.078,13.845,38.448,146.08,29.54,25.381,20.702,181.194,97.245
2018-01-01 07:00:00,31.238,333.897,78.226,22.491,57.419,341.625,18.925,17.184,10.047,127.21,13.304,26.98,122.583,73.336,55.725,27.527,138.846,50.545,187.614,623.02,28.032,76.562,148.452,101.104,89.877,65.253,68.859,232.567,95.193,121.908,196.096,34.053,54.577,56.043,91.838,18.763,12.342,41.754,46.239,200.911,291.732,53.631,26.665,41.444,49.889,23.49,24.584,13.655,40.959,155.754,30.532,26.333,18.793,193.846,97.607
2018-01-01 08:00:00,31.122,325.816,76.103,22.167,58.082,355.743,19.466,16.682,9.169,133.548,13.001,27.427,127.361,72.326,56.214,26.508,138.099,50.026,183.505,630.088,28.266,75.975,147.237,99.006,90.787,67.415,69.44,236.442,91.247,120.143,202.121,33.129,51.905,56.338,95.333,18.981,11.854,42.325,47.549,201.817,291.133,54.244,25.33,41.543,49.797,24.262,23.688,13.781,40.992,158.113,29.327,25.944,18.533,193.233,97.925
2018-01-01 09:00:00,29.576,291.043,72.776,20.162,56.164,351.15,16.966,16.7,9.294,133.521,11.978,25.906,124.657,67.216,56.803,25.435,132.186,53.495,168.191,614.228,28.164,72.706,141.153,94.414,93.456,64.247,63.746,232.037,84.967,113.753,197.662,32.98,47.673,54.303,93.798,19.746,11.265,40.167,41.999,188.924,281.947,52.361,23.32,38.446,50.067,23.728,22.29,11.575,39.604,152.954,27.824,25.354,16.327,182.52,97.671
2018-01-01 10:00:00,25.624,274.851,67.359,20.17,52.712,325.15,16.225,16.432,7.342,124.109,11.249,22.839,117.664,60.492,57.807,22.944,124.639,47.18,151.556,582.494,25.578,65.261,130.652,89.66,88.671,62.119,58.77,222.145,82.44,104.353,191.262,31.127,44.073,52.845,92.922,19.44,10.971,39.873,36.734,174.534,275.326,46.717,22.918,37.443,48.793,23.609,20.063,10.733,37.791,137.039,25.81,23.987,14.286,176.255,95.916
2018-01-01 11:00:00,24.13,264.546,65.64,19.887,52.906,312.246,17.224,14.12,6.897,120.556,11.148,20.849,107.909,54.425,56.808,22.475,118.809,45.225,150.608,541.358,25.113,59.943,125.253,86.994,81.256,65.098,58.502,220.499,82.079,100.218,185.568,25.961,44.517,53.679,89.717,17.498,10.672,37.185,34.061,169.55,271.325,45.089,22.591,34.956,46.952,22.356,17.644,10.154,34.713,128.595,23.9,22.985,13.035,173.102,94.877
2018-01-01 12:00:00,22.08,260.256,64.995,18.529,50.729,302.088,17.168,13.588,7.246,116.629,12.413,21.671,104.822,50.828,56.392,20.344,109.869,43.006,149.521,519.107,24.529,58.817,114.864,85.485,77.208,64.355,54.288,222.738,74.121,96.998,184.492,25.144,40.486,45.743,88.762,18.276,10.174,37.482,35.196,163.193,261.165,45.051,19.873,30.867,43.975,21.814,17.449,12.561,33.464,128.881,23.736,24.518,12.899,170.187,91.34
2018-01-01 13:00:00,21.494,253.866,56.95,17.054,50.358,289.347,16.793,12.519,6.878,118.682,10.193,19.991,100.07,49.2,54.022,19.459,105.71,39.353,144.695,494.818,21.897,54.124,110.625,84.523,76.075,59.827,51.183,216.917,70.293,88.97,180.531,23.302,39.029,46.427,88.043,15.268,10.955,34.783,36.253,152.683,253.039,41.667,18.889,28.46,41.086,22.717,15.615,11.906,30.985,120.049,23.254,22.317,12.138,162.133,87.436
