timestamp,9xkv40,9xgjq9,9xugqu,9x7vnx,9xsuw9,9xvtst,9xdubt,9xmz3q,9xfbsr,9xu4w9,9xmdfm,9x921r,9xsh6r,9xtsyz,9xfj45,9xmret,9xgyzb,9x9g6c,9x6t42,9xc6x4,9x36u5,9xg3tg,9xv9km
2018-01-01 00:00:00,0.0,0.035,0.06,0.007,0.004,0.0,0.043,0.0,0.0,0.0,0.057,0.003,0.086,0.0,0.012,0.0,0.013,0.002,0.003,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.047,0.075,0.013,0.005,0.0,0.058,0.0,0.0,0.0,0.075,0.005,0.106,0.0,0.014,0.0,0.018,0.003,0.003,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.001,0.043,0.069,0.01,0.005,0.0,0.051,0.0,0.0,0.0,0.071,0.001,0.083,0.0,0.015,0.0,0.01,0.001,0.003,0.002,0.001,0.0,0.0
2018-01-01 03:00:00,0.005,0.041,0.065,0.009,0.005,0.001,0.059,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.041,0.065,0.01,0.005,0.001,0.063,0.0,0.0,0.0,0.072,0.0,0.062,0.0,0.013,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.041,0.066,0.01,0.005,0.001,0.061,0.0,0.0,0.0,0.07,0.0,0.079,0.0,0.013,0.0,0.008,0.0,0.0,0.001,0.0,0.0,0.0
2018-01-01 06:00:00,0.001,0.041,0.066,0.011,0.006,0.001,0.055,0.0,0.0,0.0,0.067,0.0,0.076,0.0,0.013,0.0,0.008,0.0,0.0,0.001,0.0,0.0,0.0
2018-01-01 07:00:00,0.004,0.042,0.06,0.012,0.007,0.001,0.076,0.0,0.0,0.0,0.075,0.0,0.073,0.0,0.015,0.0,0.008,0.0,0.002,0.0,0.0,0.0,0.0
2018-01-01 08:00:00,0.002,0.042,0.053,0.013,0.007,0.001,0.053,0.0,0.0,0.0,0.06,0.0,0.07,0.0,0.016,0.0,0.007,0.0,0.001,0.0,0.0,0.0,0.0
2018-01-01 09:00:00,0.0,0.042,0.059,0.015,0.007,0.001,0.048,0.0,0.0,0.0,0.059,0.001,0.091,0.0,0.018,0.0,0.015,0.0,0.0,0.002,0.0,0.0,0.0
2018-01-01 10:00:00,0.0,0.042,0.06,0.016,0.007,0.0,0.042,0.0,0.0,0.0,0.046,0.002,0.099,0.0,0.018,0.0,0.02,0.0,0.0,0.0,0.015,0.0,0.0
