timestamp,9xkv40,9xgjq9,9xugqu,9x7vnx,9xsuw9,9xvtst,9xdubt,9xmz3q,9xfbsr,9xu4w9,9xmdfm,9x921r,9xsh6r,9xtsyz,9xfj45,9xmret,9xgyzb,9x9g6c,9x6t42,9xc6x4,9x36u5,9xg3tg,9xv9km
2018-01-01 00:00:00,21.266,13.864,31.313,21.155,9.987,8.249,14.602,4.718,0.87,5.933,47.581,15.25,40.817,2.908,21.996,3.591,31.804,6.026,29.005,29.786,7.535,7.617,0.581
2018-01-01 01:00:00,29.574,18.342,44.232,27.703,13.466,10.617,21.104,6.458,1.037,8.329,65.312,19.549,56.591,3.587,29.842,4.327,42.903,8.147,38.933,41.771,10.175,11.673,0.998
2018-01-01 02:00:00,21.091,20.507,38.472,18.711,12.306,9.976,18.218,7.417,0.364,6.136,47.332,11.558,55.723,4.839,25.71,5.167,38.933,4.995,24.112,30.206,6.989,11.655,0.938
2018-01-01 03:00:00,18.123,20.322,40.7,14.054,10.687,10.784,14.857,8.171,0.095,5.533,46.143,11.122,59.861,5.154,26.767,4.343,41.461,5.206,19.499,24.548,6.308,10.759,0.928
2018-01-01 04:00:00,17.475,21.217,39.92,13.684,11.074,10.655,14.196,8.264,0.232,5.452,49.36,11.895,59.939,5.171,28.917,4.496,40.382,5.568,21.981,26.399,6.728,10.839,0.935
2018-01-01 05:00:00,17.801,21.343,41.228,13.562,10.272,10.986,13.929,8.736,0.353,5.296,48.613,11.101,59.003,4.629,29.373,4.66,39.707,5.091,23.315,26.493,7.471,11.613,0.941
2018-01-01 06:00:00,16.065,22.439,43.056,13.497,10.459,11.402,13.991,8.935,0.438,5.249,48.361,10.468,58.308,4.535,30.718,4.703,40.204,4.811,23.475,27.494,7.543,11.778,1.187
2018-01-01 07:00:00,15.48,21.631,43.774,15.759,10.743,12.466,13.94,8.538,0.474,5.398,48.146,11.11,59.208,4.589,28.917,4.672,40.542,4.957,22.014,28.504,7.232,11.816,1.275
2018-01-01 08:00:00,17.344,19.754,44.046,16.306,11.702,12.292,14.129,7.759,0.541,5.263,48.239,10.973,59.081,4.467,27.055,5.029,40.071,4.943,20.082,32.115,6.94,11.782,1.167
2018-01-01 09:00:00,17.56,20.618,45.192,12.875,11.015,12.361,13.996,8.353,0.525,5.23,50.912,11.554,59.398,4.612,28.373,4.846,40.252,5.148,21.101,34.226,7.543,11.872,0.912
2018-01-01 10:00:00,15.375,20.163,44.319,12.513,10.189,13.062,13.979,7.815,0.502,5.09,48.039,12.61,54.991,4.335,29.894,5.546,39.349,4.999,22.379,32.7,8.893,11.904,0.663
