timestamp,9xkv40,9xgjq9,9xugqu,9x7vnx,9xsuw9,9xvtst,9xdubt,9xmz3q,9xfbsr,9xu4w9,9xmdfm,9x921r,9xsh6r,9xtsyz,9xfj45,9xmret,9xgyzb,9x9g6c,9x6t42,9xc6x4,9x36u5,9xg3tg,9xv9km
2018-01-01 00:00:00,35.496,18.851,49.723,28.804,15.416,11.349,28.474,12.086,2.536,9.243,90.266,22.677,75.67,4.466,34.214,8.531,45.673,10.048,50.584,41.157,16.436,10.975,2.999
2018-01-01 01:00:00,45.816,24.062,66.43,35.848,19.845,14.024,37.716,14.16,2.879,12.459,116.106,27.264,95.394,5.498,45.305,9.263,59.095,12.389,61.088,56.418,20.688,15.646,3.789
2018-01-01 02:00:00,34.61,25.035,57.338,24.931,17.848,12.829,33.14,14.046,2.075,9.354,87.35,17.179,88.146,6.281,38.184,9.134,51.205,8.189,40.866,43.138,14.933,14.317,3.375
2018-01-01 03:00:00,30.476,24.577,59.041,19.709,16.182,13.765,28.855,14.413,1.748,8.581,84.338,16.093,91.999,6.225,38.816,8.118,53.295,8.326,33.474,36.306,14.125,13.224,3.174
2018-01-01 04:00:00,28.919,25.472,56.185,19.76,16.67,13.439,26.978,14.409,1.899,8.422,87.476,16.789,91.639,6.218,42.193,8.247,52.09,8.491,35.891,36.037,13.444,13.535,3.109
2018-01-01 05:00:00,29.581,25.369,58.066,19.442,15.658,13.626,26.53,14.651,2.026,8.082,86.551,15.904,90.43,5.646,41.753,8.371,51.72,8.242,37.263,36.162,14.332,14.256,3.024
2018-01-01 06:00:00,29.096,26.71,61.509,19.557,16.322,14.392,27.318,15.208,2.471,8.462,88.194,16.446,91.085,5.589,43.861,8.5,53.048,9.701,37.821,37.364,14.907,14.437,3.381
2018-01-01 07:00:00,30.414,26.88,65.531,22.161,16.993,15.796,28.293,16.082,2.525,8.483,93.94,18.805,96.303,5.95,43.281,9.377,55.178,9.31,38.563,40.494,15.174,14.745,3.404
2018-01-01 08:00:00,35.695,26.478,70.249,24.287,18.782,15.89,29.996,16.726,2.458,9.454,100.281,21.116,100.362,6.161,42.965,12.255,59.597,9.291,39.664,47.522,16.713,15.385,3.754
2018-01-01 09:00:00,36.956,26.505,75.088,21.908,19.853,16.926,33.69,17.801,2.563,9.125,107.838,22.178,105.484,5.993,45.861,11.309,64.203,10.23,44.186,52.135,18.867,15.693,4.057
2018-01-01 10:00:00,36.12,26.41,74.131,21.968,18.68,17.595,36.261,17.004,4.862,9.384,104.874,22.303,102.338,5.839,46.589,11.39,59.337,10.322,45.094,48.624,20.209,15.226,4.446
2018-01-01 11:00:00,34.056,25.749,68.852,21.745,19.98,15.445,33.264,14.282,4.854,9.368,98.918,19.373,99.96,5.728,43.057,10.962,56.526,9.799,42.549,45.799,22.252,16.127,3.606
2018-01-01 12:00:00,31.25,24.113,64.808,19.538,19.148,12.883,33.841,14.164,2.995,9.704,94.895,17.741,97.368,5.348,43.353,10.942,53.998,9.695,42.351,40.58,19.882,14.168,4.023
2018-01-01 13:00:00,30.455,24.418,63.006,17.973,17.577,12.546,33.682,13.37,2.446,9.037,94.531,14.606,91.359,5.012,38.939,11.003,52.367,7.785,37.694,35.754,17.183,13.581,4.743
